iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
126,12700,0.97586,0.00096,1.49564,0.22452
127,12800,0.98555,0.00096,1.54066,0.22497
128,12900,0.96663,0.00096,1.50747,0.22257
129,13000,0.96371,0.00095,1.47661,0.22307
130,13100,0.97165,0.00095,1.48810,0.22217
131,13200,0.98393,0.00095,1.41311,0.22006
132,13300,0.97645,0.00094,1.48973,0.22137
133,13400,0.95982,0.00094,1.49684,0.22182
134,13500,0.96615,0.00093,1.51909,0.21942
135,13600,0.97830,0.00093,1.46147,0.21909
136,13700,0.95398,0.00093,1.45018,0.21865
137,13800,0.96256,0.00092,1.49360,0.21939
138,13900,0.97222,0.00092,1.48238,0.21860
139,14000,0.97115,0.00092,1.46319,0.21894
140,14100,0.97840,0.00091,1.49626,0.21913
141,14200,0.97157,0.00091,1.50096,0.21871
142,14300,0.97450,0.00091,1.57402,0.21745
143,14400,0.94353,0.00090,1.47254,0.21548
144,14500,0.97049,0.00090,1.46947,0.21552
145,14600,0.98313,0.00090,1.46097,0.21605
146,14700,0.97698,0.00090,1.51211,0.21689
147,14800,0.96295,0.00089,1.51491,0.21568
148,14900,0.95957,0.00089,1.48318,0.21479
149,15000,0.98154,0.00089,1.46508,0.21533
150,15100,0.97196,0.00088,1.48428,0.21555
151,15200,0.98099,0.00088,1.47584,0.21569
152,15300,0.96982,0.00088,1.56201,0.21499
153,15400,0.96894,0.00087,1.53728,0.21669
154,15500,0.94581,0.00087,1.50002,0.21495
155,15600,0.97373,0.00087,1.51167,0.21549
156,15700,1.02144,0.00087,1.47584,0.21112
157,15800,0.97386,0.00086,1.53025,0.21567
158,15900,0.99431,0.00086,1.51130,0.21453
159,16000,0.97069,0.00086,1.50028,0.21127
160,16100,0.99162,0.00086,1.52785,0.21146
161,16200,0.99704,0.00085,1.49928,0.21126
162,16300,0.96527,0.00085,1.56624,0.21287
163,16400,0.94540,0.00085,1.52067,0.21122
164,16500,0.98618,0.00085,1.53030,0.21331
165,16600,0.98846,0.00084,1.55612,0.21299
166,16700,0.96590,0.00084,1.51726,0.21257
167,16800,0.95839,0.00084,1.53610,0.21028
168,16900,0.98276,0.00083,1.54409,0.21235
169,17000,0.93808,0.00083,1.54126,0.20943
170,17100,0.97844,0.00083,1.53902,0.21167
171,17200,0.97061,0.00083,1.51584,0.21152
172,17300,0.96855,0.00083,1.54057,0.21234
173,17400,0.96176,0.00082,1.58122,0.21267
174,17500,0.97329,0.00082,1.55677,0.21066
175,17600,0.97739,0.00082,1.54434,0.21251
176,17700,0.97928,0.00082,1.54030,0.21195
177,17800,0.99747,0.00081,1.54956,0.21184
178,17900,0.96228,0.00081,1.57810,0.21153
179,18000,0.96389,0.00081,1.56548,0.21201
180,18100,1.00585,0.00081,1.59088,0.21286
181,18200,0.97009,0.00080,1.54080,0.21232
182,18300,0.99032,0.00080,1.53676,0.20906
183,18400,0.94680,0.00080,1.53149,0.21112
184,18500,1.00539,0.00080,1.54985,0.20993
185,18600,0.96238,0.00080,1.52737,0.20967
186,18700,0.96831,0.00079,1.57785,0.21088
187,18800,0.98226,0.00079,1.56428,0.21042
188,18900,0.96992,0.00079,1.56835,0.21079
189,19000,0.98080,0.00079,1.60600,0.21130
190,19100,0.95818,0.00079,1.60682,0.21026
191,19200,0.96621,0.00078,1.59517,0.21222
192,19300,0.95361,0.00078,1.60931,0.21139
193,19400,0.93021,0.00078,1.64222,0.21077
194,19500,0.93699,0.00078,1.58317,0.21106
195,19600,0.99684,0.00077,1.60864,0.20929
196,19700,0.96143,0.00077,1.61464,0.20782
197,19800,0.96152,0.00077,1.61042,0.20979
198,19900,0.95837,0.00077,1.61952,0.20966
199,20000,0.96021,0.00077,1.56694,0.20872
200,20100,0.98409,0.00077,1.63045,0.20961
201,20200,1.01215,0.00076,1.54715,0.20810
202,20300,1.01102,0.00076,1.65957,0.21133
203,20400,0.93095,0.00076,1.60487,0.20539
204,20500,0.98643,0.00076,1.62910,0.20876
205,20600,0.98712,0.00076,1.61692,0.20741
206,20700,0.95631,0.00075,1.64819,0.20826
207,20800,1.02860,0.00075,1.63203,0.20634
208,20900,1.01469,0.00075,1.61844,0.20649
209,21000,0.98805,0.00075,1.64733,0.20628
210,21100,0.96896,0.00075,1.60817,0.20451
211,21200,0.96936,0.00075,1.63944,0.20842
212,21300,0.97612,0.00074,1.64727,0.20621
213,21400,0.95811,0.00074,1.59211,0.20609
214,21500,0.97941,0.00074,1.61276,0.20532
215,21600,0.96192,0.00074,1.63453,0.20483
216,21700,0.96095,0.00074,1.63372,0.20442
217,21800,1.01888,0.00073,1.62625,0.20507
218,21900,0.99344,0.00073,1.64798,0.20357
219,22000,0.97466,0.00073,1.59757,0.20163
220,22100,0.94994,0.00073,1.62275,0.20296
221,22200,0.97486,0.00073,1.64555,0.20187
222,22300,0.96503,0.00073,1.66390,0.20284
223,22400,0.99976,0.00072,1.67028,0.20346
224,22500,0.94743,0.00072,1.62121,0.20175
225,22600,0.97362,0.00072,1.59976,0.19919
226,22700,0.98520,0.00072,1.65537,0.20195
227,22800,0.95225,0.00072,1.65446,0.20068
228,22900,0.97301,0.00072,1.63098,0.20376
229,23000,0.98648,0.00072,1.66181,0.19984
230,23100,0.96780,0.00071,1.63578,0.20027
231,23200,1.00576,0.00071,1.64447,0.20219
232,23300,0.99814,0.00071,1.67500,0.19880
233,23400,0.97123,0.00071,1.65020,0.20091
234,23500,0.99652,0.00071,1.67590,0.19778
235,23600,0.97300,0.00071,1.60215,0.19668
236,23700,0.99425,0.00070,1.65631,0.20040
237,23800,0.98254,0.00070,1.64232,0.19789
238,23900,0.98349,0.00070,1.66009,0.19900
239,24000,0.99702,0.00070,1.65797,0.19702
240,24100,0.97405,0.00070,1.63164,0.19876
241,24200,0.97973,0.00070,1.64950,0.19758
242,24300,0.98793,0.00070,1.63382,0.19619
243,24400,0.98656,0.00069,1.68296,0.19710
244,24500,0.96012,0.00069,1.71800,0.19681
245,24600,0.94805,0.00069,1.66136,0.19533
246,24700,0.95714,0.00069,1.66051,0.19492
247,24800,0.98598,0.00069,1.69467,0.19421
248,24900,0.94265,0.00069,1.70521,0.19396
