iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
116,11700,-0.37481,0.81511,-0.09070,0.99913
117,11800,-0.40685,0.92180,-0.12889,0.93891
118,11900,-0.40865,0.89878,-0.12001,0.85377
119,12000,-0.40943,0.96615,-0.11860,1.05177
120,12100,-0.31859,0.90739,-0.16578,1.00436
121,12200,-0.30975,1.00778,-0.12386,0.99424
122,12300,-0.27490,0.85644,-0.11917,1.00885
123,12400,-0.32091,1.00730,-0.10498,0.93110
124,12500,-0.30824,0.83692,-0.11225,1.10569
125,12600,-0.28123,0.98492,-0.15143,0.85574
126,12700,-0.26540,0.87469,-0.09481,0.97468
127,12800,-0.32843,0.93562,-0.14133,1.01449
128,12900,-0.34087,0.91754,-0.12948,0.93957
129,13000,-0.35574,0.96355,-0.14429,0.85983
130,13100,-0.35520,1.01234,-0.15106,0.89660
131,13200,-0.30227,1.01740,-0.14352,0.90812
132,13300,-0.32416,0.97627,-0.09433,1.08447
133,13400,-0.34409,0.92068,-0.12452,0.92911
134,13500,-0.31672,0.94839,-0.13474,0.85893
135,13600,-0.36194,0.94561,-0.13632,0.88235
136,13700,-0.33614,0.99477,-0.13160,1.00913
137,13800,-0.31827,1.05880,-0.12853,0.92950
138,13900,-0.30143,0.91052,-0.15343,0.84946
139,14000,-0.33968,0.80410,-0.14648,0.92922
140,14100,-0.34904,0.94606,-0.15055,0.92402
141,14200,-0.34122,0.94891,-0.15260,0.82005
142,14300,-0.38421,0.89163,-0.13743,0.99362
143,14400,-0.37663,0.89386,-0.15636,0.95373
144,14500,-0.36406,0.96042,-0.18605,0.87817
145,14600,-0.36189,0.88091,-0.16389,1.02347
146,14700,-0.37878,0.93519,-0.15937,0.96370
147,14800,-0.38677,0.73574,-0.18232,0.98366
148,14900,-0.40373,0.76218,-0.18133,0.94387
149,15000,-0.39906,1.03020,-0.20534,0.99681
150,15100,-0.41581,1.04003,-0.20515,1.04262
151,15200,-0.43083,0.90493,-0.23478,1.02094
152,15300,-0.44266,0.97851,-0.22701,0.92072
153,15400,-0.44832,0.93280,-0.27149,0.84353
154,15500,-0.44373,0.91114,-0.26219,0.87733
155,15600,-0.43253,0.89509,-0.25190,0.90309
156,15700,-0.44215,0.82956,-0.27335,0.86313
157,15800,-0.42602,0.95423,-0.28335,0.85081
158,15900,-0.43584,0.94221,-0.27001,0.91076
159,16000,-0.43323,0.84678,-0.31684,0.92660
160,16100,-0.43048,0.86965,-0.32544,0.81659
161,16200,-0.40641,1.06919,-0.31709,0.86750
162,16300,-0.41890,0.87222,-0.30767,0.80599
163,16400,-0.41597,0.88771,-0.32147,0.87674
164,16500,-0.39931,0.96873,-0.30779,0.91214
165,16600,-0.44475,0.91678,-0.28780,1.08811
166,16700,-0.40022,0.93232,-0.34675,0.88085
167,16800,-0.42626,0.87314,-0.33423,0.89944
168,16900,-0.42809,0.83826,-0.31411,1.06725
169,17000,-0.40642,0.84398,-0.34617,0.88436
170,17100,-0.40672,0.88689,-0.34008,0.88578
171,17200,-0.42101,0.87407,-0.34800,0.89302
172,17300,-0.38827,0.84259,-0.36944,0.85116
173,17400,-0.37408,0.94366,-0.35894,0.86311
174,17500,-0.38112,0.99021,-0.34841,0.89796
175,17600,-0.38729,0.90897,-0.33568,0.84444
176,17700,-0.39313,0.90638,-0.32858,1.00444
