iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
85,8600,-0.22131,0.92085,0.00117,-19.10928,1.85233,0.27170
86,8700,-0.24650,0.83877,0.00117,-19.17847,2.05458,0.27128
87,8800,-0.26466,0.98172,0.00116,-19.19417,1.73355,0.27255
88,8900,-0.27928,0.94355,0.00115,-19.27829,1.75335,0.26969
89,9000,-0.24800,1.02134,0.00115,-19.17945,2.00233,0.26860
90,9100,-0.30501,0.93216,0.00114,-19.22818,1.86657,0.27019
91,9200,-0.34769,0.84750,0.00113,-19.38293,1.71681,0.27044
92,9300,-0.32562,0.97263,0.00113,-19.37903,1.75482,0.26671
93,9400,-0.29321,0.93201,0.00112,-19.41859,1.74236,0.26652
94,9500,-0.30864,1.00143,0.00112,-19.47841,1.80191,0.26846
95,9600,-0.36772,0.81658,0.00111,-19.46979,1.75535,0.26548
96,9700,-0.39109,0.98101,0.00110,-19.54294,1.63218,0.26609
97,9800,-0.36319,0.82957,0.00110,-19.50403,1.94205,0.26589
98,9900,-0.32723,0.85228,0.00109,-19.54762,1.91035,0.26388
99,10000,-0.34120,0.93320,0.00109,-19.58889,1.82095,0.26428
100,10100,-0.37923,0.92322,0.00108,-19.60801,1.92881,0.26425
101,10200,-0.34767,0.98630,0.00108,-19.56916,1.73955,0.26305
102,10300,-0.36121,0.91345,0.00107,-19.64137,1.72757,0.26462
103,10400,-0.33828,1.01394,0.00107,-19.58924,1.81408,0.26430
104,10500,-0.38061,0.90734,0.00106,-19.55369,1.96921,0.26449
105,10600,-0.32992,0.97510,0.00106,-19.58525,1.90144,0.26189
106,10700,-0.36642,0.92050,0.00105,-19.72830,1.95782,0.26475
107,10800,-0.40459,0.87325,0.00105,-19.74905,1.98905,0.26233
108,10900,-0.32334,0.98261,0.00104,-19.75745,1.75250,0.25949
109,11000,-0.35809,0.91458,0.00104,-19.77808,1.72081,0.26297
110,11100,-0.40792,0.95738,0.00103,-19.71132,1.80892,0.26241
111,11200,-0.40924,0.91927,0.00103,-19.73350,1.70487,0.26348
112,11300,-0.39860,0.93471,0.00102,-19.62052,2.00821,0.26171
113,11400,-0.39955,0.94708,0.00102,-19.62730,1.93188,0.25961
114,11500,-0.41401,0.89228,0.00101,-19.70946,2.02920,0.26301
115,11600,-0.41168,0.72850,0.00101,-19.82715,1.79238,0.26261
116,11700,-0.40218,0.83957,0.00100,-19.79977,1.78509,0.26008
117,11800,-0.39274,0.93549,0.00100,-19.81227,1.73782,0.26129
118,11900,-0.35293,1.01726,0.00100,-19.90910,1.83098,0.26330
119,12000,-0.36185,0.96269,0.00099,-19.87140,1.98764,0.26118
120,12100,-0.39339,0.92214,0.00099,-19.50578,1.85735,0.25928
121,12200,-0.35754,1.00014,0.00098,-19.67533,1.91192,0.26138
122,12300,-0.35467,1.02419,0.00098,-19.36964,2.01107,0.25861
123,12400,-0.38823,0.88657,0.00098,-19.09958,1.79854,0.25751
124,12500,-0.36109,0.87196,0.00097,-18.98784,1.87915,0.25766
125,12600,-0.33945,0.98366,0.00097,-18.94086,1.81552,0.25769
126,12700,-0.35312,0.90541,0.00096,-18.87180,1.84659,0.25645
127,12800,-0.32160,1.05351,0.00096,-18.92016,1.82510,0.25659
128,12900,-0.34522,0.98415,0.00096,-18.88049,1.79416,0.25522
129,13000,-0.33337,0.93016,0.00095,-18.91874,1.85291,0.25558
130,13100,-0.35491,0.80030,0.00095,-18.92142,1.87598,0.25369
131,13200,-0.29238,1.07168,0.00095,-18.88239,1.90699,0.25481
132,13300,-0.33154,0.88617,0.00094,-18.94723,1.87046,0.25179
133,13400,-0.32118,0.91385,0.00094,-18.90671,1.90758,0.25242
134,13500,-0.30541,0.97314,0.00093,-18.96658,1.91947,0.25497
135,13600,-0.30806,0.94787,0.00093,-19.04425,1.86341,0.25483
136,13700,-0.30263,0.93314,0.00093,-19.10782,1.86473,0.25352
137,13800,-0.30373,0.94577,0.00092,-19.11566,1.99627,0.25530
138,13900,-0.27561,0.89494,0.00092,-19.11011,1.82144,0.25140
139,14000,-0.30793,1.00739,0.00092,-19.04078,1.83208,0.25191
140,14100,-0.27143,0.89088,0.00091,-19.18312,1.84358,0.24925
141,14200,-0.27998,0.94502,0.00091,-19.18952,1.81460,0.25361
142,14300,-0.27519,1.04759,0.00091,-19.09156,2.01280,0.24960
143,14400,-0.24075,1.05314,0.00090,-19.19641,1.93411,0.24987
144,14500,-0.23685,1.02923,0.00090,-19.11892,1.92394,0.24876
145,14600,-0.25334,0.88932,0.00090,-19.10403,2.01590,0.24896
146,14700,-0.24732,0.92833,0.00090,-18.96085,2.00550,0.24911
147,14800,-0.23702,0.94004,0.00089,-19.00655,2.13501,0.25046
148,14900,-0.22336,1.06944,0.00089,-19.14680,1.80557,0.24778
149,15000,-0.18669,1.08314,0.00089,-19.20717,1.94428,0.24897
150,15100,-0.18462,0.94266,0.00088,-19.19970,1.83907,0.24653
151,15200,-0.21012,0.91108,0.00088,-18.99636,1.88186,0.24792
152,15300,-0.17951,0.95671,0.00088,-18.79606,1.99730,0.24809
153,15400,-0.19994,0.89171,0.00087,-18.69925,1.92104,0.24801
154,15500,-0.18384,1.02245,0.00087,-18.56091,1.84595,0.24831
155,15600,-0.17981,0.96164,0.00087,-18.38030,1.97040,0.24807
156,15700,-0.23703,0.96871,0.00087,-18.36551,1.80025,0.24687
157,15800,-0.19815,1.00960,0.00086,-18.28456,1.85802,0.24368
158,15900,-0.17006,0.87045,0.00086,-18.29719,1.91940,0.24801
159,16000,-0.19971,0.88751,0.00086,-18.18914,2.00514,0.24706
160,16100,-0.15287,0.95127,0.00086,-18.15579,1.91545,0.24622
161,16200,-0.17502,0.98059,0.00085,-18.10969,1.68500,0.24556
162,16300,-0.20315,0.84837,0.00085,-17.96910,2.07730,0.24513
163,16400,-0.17785,0.89250,0.00085,-17.98816,1.83455,0.24448
164,16500,-0.13565,0.93065,0.00085,-17.96658,1.92309,0.24360
165,16600,-0.17117,1.02683,0.00084,-17.89640,1.83318,0.24401
166,16700,-0.13898,0.99231,0.00084,-17.92711,1.94052,0.24642
167,16800,-0.12678,0.90687,0.00084,-17.93253,1.86512,0.24445
168,16900,-0.14105,1.06058,0.00083,-17.90592,2.19204,0.24503
169,17000,-0.11197,1.01830,0.00083,-17.95640,1.92392,0.24464
170,17100,-0.13852,0.87056,0.00083,-17.86137,1.81737,0.24523
171,17200,-0.12125,1.02498,0.00083,-17.82833,1.74478,0.24398
172,17300,-0.09908,1.11291,0.00083,-17.83959,1.82754,0.24388
173,17400,-0.07854,1.00706,0.00082,-17.71406,1.83393,0.24282
174,17500,-0.08452,0.99962,0.00082,-17.81291,1.89608,0.24537
175,17600,-0.09075,0.99724,0.00082,-17.75041,1.78891,0.24020
176,17700,-0.05857,0.86604,0.00082,-17.66558,1.84274,0.24341
177,17800,-0.06920,0.93551,0.00081,-17.71770,2.06924,0.24455
178,17900,-0.08576,0.90454,0.00081,-17.64307,1.91993,0.24020
179,18000,-0.09340,0.87730,0.00081,-17.78971,1.72593,0.24144
180,18100,-0.02281,1.05455,0.00081,-17.67712,2.00138,0.24242
181,18200,-0.04930,0.98501,0.00080,-17.63696,1.75454,0.24183
182,18300,-0.05872,0.98203,0.00080,-17.70051,1.86742,0.24182
183,18400,-0.02691,1.13150,0.00080,-17.67388,1.82891,0.24233
184,18500,-0.03484,0.97677,0.00080,-17.60061,1.93033,0.24025
185,18600,-0.00374,0.99629,0.00080,-17.58372,1.92939,0.24003
186,18700,-0.04918,1.05447,0.00079,-17.68921,1.75516,0.24232
187,18800,-0.06731,0.91684,0.00079,-17.56228,1.73393,0.23835
188,18900,-0.03857,1.06866,0.00079,-17.62348,1.72497,0.23988
189,19000,-0.06507,0.88040,0.00079,-17.49276,1.93368,0.24086
190,19100,-0.01665,1.01672,0.00079,-17.49684,1.80139,0.23941
191,19200,-0.00012,1.07298,0.00078,-17.54147,1.86155,0.23932
192,19300,-0.03041,0.95235,0.00078,-17.48491,1.94802,0.23873
193,19400,-0.00354,1.03028,0.00078,-17.38084,1.99319,0.23796
194,19500,0.00484,1.08077,0.00078,-17.45885,1.92243,0.23725
195,19600,-0.00905,0.98253,0.00077,-17.38278,1.86891,0.23843
196,19700,-0.02242,0.89954,0.00077,-17.43296,1.93514,0.24009
197,19800,-0.01084,0.92944,0.00077,-17.33882,1.97684,0.23598
198,19900,-0.03288,1.07791,0.00077,-17.31836,1.94288,0.23702
199,20000,-0.02610,0.90957,0.00077,-17.36661,1.88876,0.23958
200,20100,-0.03514,0.96343,0.00077,-17.30122,1.83629,0.23776
201,20200,-0.04323,0.79770,0.00076,-17.34273,1.68253,0.23632
202,20300,0.01099,1.10172,0.00076,-17.25706,1.84377,0.23511
203,20400,-0.01902,0.96223,0.00076,-17.28227,1.73315,0.23650
204,20500,-0.02218,0.90255,0.00076,-17.20848,1.88815,0.23483
205,20600,-0.03030,0.99517,0.00076,-17.19001,1.79257,0.23573
206,20700,-0.02750,0.92485,0.00075,-17.23384,1.93050,0.23462
207,20800,-0.01548,0.94678,0.00075,-17.10793,1.76480,0.23360
208,20900,0.03602,1.10151,0.00075,-17.05552,1.84674,0.23299
209,21000,-0.05710,0.86521,0.00075,-17.06946,1.71175,0.23460
210,21100,-0.02123,0.93358,0.00075,-17.10900,1.97747,0.23378
211,21200,0.01716,1.04755,0.00075,-17.00568,1.96834,0.23371
212,21300,0.01674,1.03717,0.00074,-16.99697,1.93183,0.23369
213,21400,-0.00811,0.86607,0.00074,-16.99226,1.88244,0.23318
214,21500,-0.01531,0.90092,0.00074,-16.93480,1.93012,0.23266
215,21600,0.01241,1.06383,0.00074,-16.98196,2.00629,0.23180
216,21700,0.01902,1.05552,0.00074,-16.86881,1.80710,0.23335
217,21800,0.01471,0.88019,0.00073,-16.86218,1.80191,0.23111
218,21900,0.01220,0.99158,0.00073,-16.79057,1.93560,0.23103
219,22000,-0.02739,0.96789,0.00073,-16.78790,1.89273,0.23255
220,22100,0.01657,0.95167,0.00073,-16.73554,1.88216,0.23056
221,22200,0.05388,1.09484,0.00073,-16.74153,1.65240,0.23168
222,22300,0.00018,0.81938,0.00073,-16.72980,1.81328,0.22869
223,22400,0.00113,0.96522,0.00072,-16.66881,1.78767,0.22938
224,22500,0.02391,1.06610,0.00072,-16.56710,1.81081,0.22696
225,22600,0.01836,0.97311,0.00072,-16.57465,1.71316,0.22857
226,22700,0.05992,1.04902,0.00072,-16.48376,1.90249,0.22618
227,22800,-0.01695,0.99533,0.00072,-16.50426,1.77220,0.22962
228,22900,-0.00527,0.88716,0.00072,-16.42827,1.89575,0.22563
229,23000,0.01209,0.87917,0.00072,-16.41381,1.90689,0.22866
230,23100,0.02096,1.05255,0.00071,-16.39378,1.75232,0.22671
231,23200,-0.00315,0.90819,0.00071,-16.39841,1.80263,0.22757
232,23300,0.01951,0.94534,0.00071,-16.27326,1.84190,0.22384
233,23400,0.00517,1.04777,0.00071,-16.27786,1.71547,0.22651
234,23500,0.05001,1.00940,0.00071,-16.26549,1.64740,0.22663
235,23600,0.00985,0.97186,0.00071,-16.21726,1.85269,0.22657
236,23700,-0.03794,0.85759,0.00070,-16.20398,1.78503,0.22477
237,23800,-0.01171,0.99199,0.00070,-16.14933,1.87999,0.22633
238,23900,-0.01571,1.02490,0.00070,-16.09894,1.95376,0.22713
239,24000,-0.02118,0.96105,0.00070,-16.02696,1.84066,0.22475
240,24100,-0.02385,0.88887,0.00070,-15.99021,1.83923,0.22446
241,24200,0.00499,1.01698,0.00070,-16.00097,1.58364,0.22320
242,24300,0.02995,1.10859,0.00070,-15.91308,1.77071,0.22541
243,24400,0.03573,1.06847,0.00069,-15.98848,1.80046,0.22397
244,24500,0.00255,0.94525,0.00069,-15.90748,1.76146,0.22364
245,24600,-0.03960,0.95180,0.00069,-15.84291,1.85614,0.22453
246,24700,0.00848,0.99739,0.00069,-15.84533,1.90855,0.22218
247,24800,0.02258,1.09289,0.00069,-15.77509,1.86227,0.22373
248,24900,0.04162,1.02468,0.00069,-15.73248,1.78696,0.22362
