iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
126,12700,1.14442,1.27607,1.13517,1.02426
127,12800,1.19484,1.19625,1.10865,1.05019
128,12900,1.21309,1.24557,1.09655,1.06844
129,13000,1.15322,1.15386,1.19173,0.99070
130,13100,1.10877,1.18276,1.21189,0.97427
131,13200,1.12704,1.21042,1.17857,1.08415
132,13300,1.15753,1.30364,1.18794,0.99723
133,13400,1.14992,1.25243,1.15418,1.05767
134,13500,1.13441,1.17419,1.15848,1.03132
135,13600,1.18446,1.24258,1.19481,1.02631
136,13700,1.24407,1.28557,1.21009,1.04578
137,13800,1.16907,1.17207,1.13965,1.04404
138,13900,1.18310,1.25814,1.13421,1.03461
139,14000,1.20787,1.20500,1.20719,1.02766
140,14100,1.22145,1.24547,1.15403,1.02865
141,14200,1.22409,1.26820,1.16302,0.99598
142,14300,1.20072,1.23057,1.14403,1.00110
143,14400,1.24541,1.25067,1.23104,1.04532
144,14500,1.21053,1.23339,1.17254,1.02926
145,14600,1.25772,1.24889,1.13007,0.98487
146,14700,1.19066,1.23681,1.21362,0.97069
147,14800,1.14398,1.28896,1.15726,0.99507
148,14900,1.19804,1.28830,1.14789,1.02731
149,15000,1.19495,1.28703,1.21579,0.99815
150,15100,1.23523,1.23887,1.18405,1.01886
151,15200,1.26809,1.22458,1.19195,1.01775
152,15300,1.19882,1.24445,1.22890,0.95639
153,15400,1.24919,1.28659,1.18618,1.02640
154,15500,1.19862,1.21709,1.19628,0.98242
155,15600,1.15812,1.21446,1.20642,1.02320
156,15700,1.18915,1.23289,1.20712,0.98034
157,15800,1.21458,1.25676,1.20104,0.96238
158,15900,1.21007,1.28419,1.21832,1.07135
159,16000,1.26470,1.21411,1.20432,1.09210
160,16100,1.16967,1.29102,1.17895,0.99440
161,16200,1.20608,1.23963,1.22321,1.03223
162,16300,1.19526,1.27762,1.28120,0.97547
163,16400,1.22887,1.30721,1.28303,1.03431
164,16500,1.18330,1.26104,1.29133,1.00602
165,16600,1.17735,1.30011,1.17726,1.02203
166,16700,1.19769,1.26208,1.24480,1.01884
167,16800,1.31831,1.31127,1.26353,1.00928
168,16900,1.25435,1.28202,1.20101,1.01863
169,17000,1.26547,1.23888,1.21585,1.03247
170,17100,1.25520,1.32537,1.25942,1.02489
171,17200,1.25872,1.24724,1.21131,0.99861
172,17300,1.22852,1.30936,1.23144,0.97567
173,17400,1.21865,1.36955,1.27437,1.01205
174,17500,1.29058,1.30369,1.25061,1.01605
175,17600,1.29566,1.26024,1.27387,1.03081
176,17700,1.28959,1.29884,1.25143,0.97714
177,17800,1.27512,1.33046,1.22952,1.02477
178,17900,1.30089,1.34298,1.29182,1.03498
179,18000,1.26639,1.37106,1.29395,1.00110
180,18100,1.32229,1.29103,1.26706,1.03688
181,18200,1.25586,1.35903,1.28827,0.96673
182,18300,1.27137,1.32883,1.28066,1.02791
183,18400,1.32299,1.33413,1.25549,0.98257
184,18500,1.25203,1.29265,1.31127,1.03556
185,18600,1.23713,1.37823,1.29851,1.02892
186,18700,1.30175,1.30603,1.27387,1.02333
187,18800,1.30743,1.29507,1.27150,1.06347
188,18900,1.30323,1.39563,1.29490,1.05592
189,19000,1.30399,1.37926,1.28449,1.00792
190,19100,1.30608,1.35873,1.31278,1.05706
191,19200,1.26102,1.36940,1.26294,0.99171
192,19300,1.31643,1.36469,1.32751,0.96995
193,19400,1.29707,1.41064,1.30767,1.07715
194,19500,1.32440,1.37215,1.29180,1.02585
195,19600,1.28949,1.40219,1.27719,0.98929
196,19700,1.22253,1.34909,1.31653,1.03453
197,19800,1.29014,1.30562,1.36703,1.02235
198,19900,1.34712,1.35065,1.27765,1.01928
199,20000,1.27496,1.35464,1.32351,0.95795
200,20100,1.27920,1.37240,1.35626,1.01332
201,20200,1.31444,1.37484,1.29772,0.99584
202,20300,1.33058,1.33686,1.32826,1.05435
203,20400,1.27728,1.36590,1.37789,0.95420
204,20500,1.33093,1.40340,1.32839,0.94919
205,20600,1.33278,1.34936,1.31844,1.02824
206,20700,1.31627,1.41733,1.45968,1.05408
207,20800,1.30083,1.32683,1.29771,1.01894
208,20900,1.33789,1.31822,1.32540,1.05674
209,21000,1.28365,1.42736,1.42523,1.00104
210,21100,1.28699,1.34426,1.33913,0.98903
211,21200,1.34091,1.39702,1.33122,1.04248
212,21300,1.32689,1.38140,1.33314,1.03182
213,21400,1.32851,1.35632,1.33094,0.99302
214,21500,1.34590,1.37063,1.29954,1.02383
215,21600,1.29370,1.41950,1.35100,1.00723
216,21700,1.34317,1.40651,1.37041,1.03393
217,21800,1.31686,1.42438,1.36750,1.00168
218,21900,1.36347,1.29444,1.38464,0.97752
219,22000,1.36104,1.40122,1.36719,1.01070
220,22100,1.32202,1.39068,1.31955,0.97604
221,22200,1.35676,1.36259,1.32037,1.06706
