iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
47,4800,1.13525,0.30954,1.60691,1.10225,0.30885,1.60769,1.15880,0.31100,1.60569,0.91352,0.22510,1.61062
48,4900,1.11490,0.30717,1.60647,1.10690,0.30613,1.60715,1.08732,0.30885,1.60554,0.98070,0.22316,1.60983
49,5000,1.07916,0.30460,1.60605,1.16432,0.30386,1.60725,1.05596,0.30629,1.60486,0.88284,0.22155,1.61089
50,5100,1.09952,0.30193,1.60627,1.14854,0.30111,1.60741,1.09919,0.30353,1.60484,0.95504,0.21958,1.61007
51,5200,1.12441,0.29921,1.60636,1.12523,0.29889,1.60675,1.03975,0.30109,1.60420,0.94167,0.21761,1.60972
52,5300,1.10037,0.29696,1.60596,1.09407,0.29633,1.60696,1.17152,0.29855,1.60405,1.00523,0.21584,1.60997
53,5400,1.07914,0.29445,1.60580,1.10782,0.29376,1.60670,1.14332,0.29620,1.60390,0.86679,0.21417,1.60985
54,5500,1.10347,0.29201,1.60523,1.15267,0.29130,1.60637,1.18617,0.29345,1.60408,0.96518,0.21246,1.60968
55,5600,1.11953,0.28935,1.60557,1.12634,0.28902,1.60604,1.14928,0.29083,1.60385,0.90680,0.21061,1.60962
56,5700,1.09765,0.28717,1.60511,1.21015,0.28648,1.60620,1.05691,0.28868,1.60344,0.97999,0.20885,1.60963
57,5800,1.13207,0.28456,1.60488,1.09591,0.28396,1.60607,1.12511,0.28610,1.60312,0.94307,0.20703,1.60942
58,5900,1.07751,0.28188,1.60483,1.07297,0.28156,1.60587,1.08951,0.28336,1.60362,0.90047,0.20530,1.60944
59,6000,1.07866,0.27942,1.60470,1.16592,0.27917,1.60569,1.07418,0.28098,1.60335,0.92392,0.20355,1.60908
60,6100,1.09480,0.27715,1.60510,1.08379,0.27670,1.60581,1.06720,0.27850,1.60322,0.95496,0.20184,1.60953
61,6200,1.16436,0.27461,1.60434,1.07030,0.27396,1.60590,1.08611,0.27598,1.60343,0.97780,0.20007,1.60954
62,6300,1.13671,0.27252,1.60429,1.17623,0.27187,1.60549,1.14574,0.27370,1.60310,0.97102,0.19841,1.60911
63,6400,1.08601,0.26970,1.60459,1.13572,0.26957,1.60493,1.07441,0.27120,1.60292,0.96891,0.19661,1.60865
64,6500,1.05880,0.26738,1.60416,1.12850,0.26723,1.60519,1.17375,0.26882,1.60279,0.98572,0.19482,1.60784
65,6600,1.00705,0.26506,1.60392,1.07513,0.26493,1.60504,1.13818,0.26645,1.60310,0.98937,0.19322,1.60853
66,6700,1.07549,0.26271,1.60402,1.06299,0.26249,1.60467,1.12217,0.26408,1.60318,0.96295,0.19163,1.60884
67,6800,1.10331,0.26047,1.60407,1.08263,0.26029,1.60432,1.09851,0.26171,1.60290,0.98675,0.18991,1.60822
68,6900,0.98770,0.25791,1.60414,1.07501,0.25809,1.60459,1.11985,0.25925,1.60287,0.97468,0.18828,1.60811
69,7000,1.06191,0.25554,1.60386,1.18909,0.25569,1.60405,1.10229,0.25694,1.60267,0.99331,0.18658,1.60846
70,7100,1.06548,0.25344,1.60375,1.12360,0.25337,1.60413,1.07822,0.25479,1.60224,0.98848,0.18489,1.60821
71,7200,1.15517,0.25095,1.60349,1.11065,0.25082,1.60407,1.05603,0.25206,1.60326,0.99315,0.18332,1.60801
72,7300,1.11625,0.24850,1.60308,1.17642,0.24860,1.60418,1.12035,0.25004,1.60259,0.97191,0.18164,1.60792
73,7400,1.00295,0.24624,1.60333,1.13480,0.24622,1.60357,1.09173,0.24760,1.60292,0.95391,0.18010,1.60808
74,7500,1.13819,0.24416,1.60380,1.14824,0.24403,1.60333,1.15425,0.24527,1.60172,1.03012,0.17835,1.60768
75,7600,1.15293,0.24184,1.60300,1.12470,0.24170,1.60376,1.15474,0.24271,1.60254,0.93952,0.17683,1.60811
76,7700,1.19111,0.23960,1.60292,1.12542,0.23978,1.60289,1.12733,0.24091,1.60222,0.95960,0.17506,1.60717
77,7800,1.07104,0.23734,1.60250,1.11266,0.23746,1.60312,1.16488,0.23863,1.60230,0.92332,0.17355,1.60738
78,7900,1.15654,0.23492,1.60230,1.08496,0.23514,1.60343,1.14829,0.23614,1.60250,0.95224,0.17193,1.60685
79,8000,1.22412,0.23301,1.60183,1.17068,0.23286,1.60296,1.15719,0.23407,1.60141,0.98242,0.17043,1.60753
80,8100,1.15959,0.23080,1.60213,1.17123,0.23038,1.60299,1.06381,0.23178,1.60136,0.95531,0.16879,1.60734
81,8200,1.07292,0.22842,1.60229,1.10824,0.22842,1.60217,1.16364,0.22944,1.60151,0.95810,0.16721,1.60720
82,8300,1.13404,0.22618,1.60184,1.11121,0.22632,1.60222,1.12628,0.22728,1.60176,1.00675,0.16565,1.60744
83,8400,1.16192,0.22418,1.60166,1.16203,0.22402,1.60245,1.23242,0.22508,1.60110,0.97053,0.16404,1.60707
84,8500,1.17221,0.22193,1.60149,1.18497,0.22179,1.60199,1.16075,0.22278,1.60059,0.97321,0.16263,1.60702
85,8600,1.07934,0.21984,1.60135,1.18965,0.21978,1.60206,1.09896,0.22074,1.60083,0.94671,0.16098,1.60691
86,8700,1.08350,0.21758,1.60130,1.13080,0.21768,1.60200,1.22131,0.21857,1.60076,0.99107,0.15964,1.60710
87,8800,1.14807,0.21556,1.60132,1.14661,0.21559,1.60167,1.11804,0.21638,1.60114,0.92593,0.15800,1.60690
88,8900,1.09630,0.21349,1.60075,1.16619,0.21334,1.60185,1.13420,0.21430,1.60092,1.00192,0.15653,1.60747
89,9000,1.15805,0.21140,1.60044,1.10896,0.21135,1.60149,1.10756,0.21209,1.60083,0.97871,0.15491,1.60686
90,9100,1.16078,0.20910,1.60044,1.12264,0.20890,1.60135,1.17437,0.21003,1.60102,0.97055,0.15346,1.60670
91,9200,1.21336,0.20717,1.60046,1.12730,0.20691,1.60133,1.19799,0.20775,1.60120,0.89697,0.15202,1.60679
92,9300,1.10843,0.20498,1.60039,1.29013,0.20492,1.60149,1.25635,0.20556,1.60179,0.94536,0.15055,1.60702
93,9400,1.10364,0.20300,1.60007,1.18836,0.20286,1.60127,1.13079,0.20359,1.60130,0.93426,0.14893,1.60591
94,9500,1.17946,0.20089,1.60013,1.22069,0.20065,1.60095,1.11808,0.20158,1.60112,1.00941,0.14747,1.60648
95,9600,1.13045,0.19884,1.60064,1.14363,0.19876,1.60022,1.02310,0.19927,1.60145,0.98320,0.14604,1.60635
96,9700,1.23103,0.19673,1.59998,1.14807,0.19667,1.60060,1.15508,0.19721,1.60009,0.98474,0.14462,1.60637
97,9800,1.19990,0.19479,1.60012,1.21893,0.19480,1.60041,1.08311,0.19533,1.60095,0.97101,0.14305,1.60571
98,9900,1.10277,0.19264,1.60002,1.17264,0.19274,1.59995,1.16525,0.19338,1.60086,1.00269,0.14172,1.60632
99,10000,1.13585,0.19066,1.60035,1.12282,0.19083,1.59973,1.15440,0.19112,1.60088,1.02071,0.14032,1.60620
100,10100,1.12780,0.18872,1.59965,1.17903,0.18878,1.59988,1.16646,0.18914,1.60081,0.99309,0.13884,1.60607
101,10200,1.20787,0.18691,1.59998,1.16811,0.18675,1.59943,1.18806,0.18716,1.60056,1.02362,0.13744,1.60583
102,10300,1.15088,0.18508,1.59927,1.20215,0.18461,1.59950,1.11244,0.18520,1.60062,0.92745,0.13605,1.60599
103,10400,1.10084,0.18288,1.59904,1.20302,0.18268,1.59948,1.17486,0.18333,1.60075,1.02951,0.13467,1.60600
104,10500,1.09930,0.18105,1.59943,1.15317,0.18083,1.59918,1.15936,0.18127,1.60105,0.95809,0.13313,1.60533
105,10600,1.18699,0.17935,1.59939,1.15138,0.17884,1.59926,1.17943,0.17923,1.60051,1.00722,0.13172,1.60505
106,10700,1.26243,0.17717,1.59918,1.16020,0.17682,1.59925,1.15421,0.17732,1.60009,0.94557,0.13042,1.60579
107,10800,1.17368,0.17527,1.59942,1.18653,0.17481,1.59941,1.17874,0.17537,1.60033,0.99881,0.12903,1.60483
108,10900,1.24227,0.17352,1.59984,1.12143,0.17299,1.59840,1.22761,0.17359,1.59976,0.96360,0.12758,1.60499
109,11000,1.11236,0.17134,1.59947,1.23915,0.17118,1.59841,1.06778,0.17151,1.59950,0.96616,0.12635,1.60562
110,11100,1.18622,0.16957,1.59913,1.15100,0.16919,1.59873,1.16151,0.16965,1.60010,0.98017,0.12497,1.60510
111,11200,1.21745,0.16765,1.59926,1.11582,0.16724,1.59883,1.21081,0.16781,1.60042,0.94565,0.12363,1.60525
112,11300,1.24471,0.16575,1.59917,1.20815,0.16565,1.59780,1.18292,0.16584,1.60043,1.00217,0.12235,1.60536
113,11400,1.13206,0.16406,1.59862,1.20619,0.16360,1.59800,1.21099,0.16402,1.59927,1.01389,0.12089,1.60457
114,11500,1.20123,0.16210,1.59956,1.18103,0.16184,1.59828,1.17857,0.16231,1.59995,0.98622,0.11974,1.60533
115,11600,1.17942,0.16039,1.59919,1.12356,0.16000,1.59819,1.23625,0.16045,1.59860,0.94509,0.11840,1.60510
116,11700,1.24458,0.15859,1.59931,1.22153,0.15814,1.59782,1.24542,0.15858,1.59967,0.99057,0.11707,1.60419
