iteration,episode,1_iql_loss,2_iql_loss
0,100,0.99026,0.95781
1,200,0.97600,0.87981
2,300,0.98028,0.79836
3,400,0.98211,0.76021
4,500,1.00628,0.76834
5,600,0.99361,0.77904
6,700,0.99657,0.75418
7,800,1.00507,0.76026
8,900,1.01227,0.77604
9,1000,0.98861,0.78999
10,1100,1.00769,0.79895
11,1200,0.98653,0.80425
12,1300,1.00012,0.82341
13,1400,0.96578,0.85657
14,1500,0.99817,0.85367
15,1600,1.02028,0.85552
16,1700,1.01384,0.90684
17,1800,1.01720,0.89932
18,1900,0.97666,0.94012
19,2000,0.99051,0.95255
20,2100,0.98488,0.96249
21,2200,1.00992,0.94371
22,2300,1.02832,0.98465
23,2400,0.98123,0.99554
24,2500,0.98845,1.00748
25,2600,1.00465,1.00517
26,2700,1.00192,1.03028
27,2800,1.02104,1.03916
28,2900,0.97967,1.09445
29,3000,1.00383,1.05867
30,3100,0.99902,1.08121
31,3200,0.99759,1.08720
32,3300,1.01203,1.08546
33,3400,0.98321,1.12850
34,3500,0.99830,1.14471
35,3600,1.00931,1.13559
36,3700,0.98696,1.11669
37,3800,0.98794,1.15370
38,3900,1.01117,1.16281
39,4000,0.99920,1.14922
40,4100,0.99589,1.19543
41,4200,1.00124,1.15178
42,4300,1.01627,1.22026
43,4400,0.96393,1.25115
44,4500,0.99665,1.20022
45,4600,1.01412,1.20690
46,4700,1.00016,1.24439
47,4800,1.01736,1.23980
48,4900,0.97217,1.25479
49,5000,1.01043,1.26214
50,5100,0.99069,1.21951
51,5200,1.01882,1.26287
52,5300,1.01761,1.24625
53,5400,1.01168,1.25877
54,5500,1.01601,1.25398
55,5600,1.03154,1.28844
56,5700,0.99422,1.29128
57,5800,1.00335,1.28435
58,5900,0.98477,1.27575
59,6000,1.03372,1.33137
60,6100,1.00584,1.32191
61,6200,0.99078,1.33982
62,6300,0.98678,1.34519
63,6400,1.00706,1.30528
64,6500,1.01396,1.25205
65,6600,0.97677,1.36853
66,6700,1.00833,1.32085
67,6800,1.01323,1.34864
68,6900,0.98008,1.37343
69,7000,1.01291,1.39923
70,7100,0.99632,1.41839
71,7200,0.99832,1.42477
72,7300,1.02906,1.39431
73,7400,0.97604,1.31797
74,7500,1.00766,1.40045
75,7600,1.00303,1.40150
76,7700,0.97602,1.43449
77,7800,0.99536,1.40553
78,7900,0.99622,1.38732
79,8000,0.99204,1.43121
80,8100,0.98031,1.38560
81,8200,0.99665,1.48135
82,8300,0.99406,1.41934
83,8400,1.00052,1.52829
84,8500,1.01059,1.48929
85,8600,1.00271,1.47883
86,8700,0.95932,1.45034
87,8800,0.98679,1.44310
88,8900,1.01960,1.46746
89,9000,0.97875,1.53185
90,9100,0.99128,1.48337
91,9200,0.99413,1.49768
92,9300,1.01206,1.53429
93,9400,1.05104,1.50501
94,9500,1.00744,1.47296
95,9600,0.95342,1.51835
96,9700,0.97193,1.44718
97,9800,0.99466,1.50191
98,9900,0.98513,1.39168
99,10000,1.01447,1.53801
100,10100,0.99914,1.52248
101,10200,1.00224,1.47459
102,10300,1.03359,1.52944
103,10400,1.00987,1.39360
104,10500,1.04231,1.51283
105,10600,0.99994,1.50930
106,10700,0.99359,1.53015
107,10800,1.00026,1.49918
108,10900,1.00208,1.53204
109,11000,1.02167,1.52702
110,11100,1.00820,1.51517
111,11200,0.98242,1.49651
112,11300,1.00935,1.49975
113,11400,1.00829,1.57274
114,11500,1.01384,1.56975
115,11600,1.01785,1.55576
116,11700,1.00795,1.53916
117,11800,0.98457,1.47217
118,11900,0.99372,1.48999
119,12000,0.97271,1.54904
120,12100,0.99733,1.50287
121,12200,1.00326,1.47813
122,12300,0.97434,1.50184
123,12400,1.01946,1.54633
124,12500,0.98832,1.60859
125,12600,1.00599,1.50526
126,12700,0.99641,1.50637
127,12800,1.03153,1.56265
128,12900,1.01979,1.48309
129,13000,0.99830,1.59212
130,13100,0.98128,1.62643
131,13200,1.00136,1.65432
132,13300,0.96463,1.58259
133,13400,0.98367,1.56951
134,13500,0.99632,1.57907
135,13600,1.00812,1.52308
136,13700,0.99567,1.54470
137,13800,1.00446,1.54923
138,13900,1.01479,1.47325
139,14000,0.95956,1.55436
140,14100,0.99616,1.60530
141,14200,0.97886,1.49212
142,14300,0.99794,1.57621
143,14400,0.99910,1.54115
144,14500,0.96024,1.59744
145,14600,1.00863,1.66813
146,14700,0.98710,1.53332
147,14800,1.00638,1.64445
148,14900,0.96730,1.57172
149,15000,1.00796,1.48898
150,15100,0.97795,1.63762
151,15200,1.00727,1.54896
152,15300,0.99484,1.67200
153,15400,0.98847,1.53662
154,15500,1.00649,1.49645
155,15600,0.97933,1.55958
156,15700,1.04726,1.56776
157,15800,0.96429,1.49130
158,15900,1.01671,1.63493
159,16000,1.02075,1.56364
160,16100,0.95421,1.54516
161,16200,0.97617,1.52880
162,16300,0.99362,1.53318
163,16400,0.98697,1.54152
164,16500,1.00116,1.67187
165,16600,0.97425,1.55640
166,16700,1.00543,1.66120
167,16800,0.99872,1.56799
168,16900,0.97866,1.49938
169,17000,0.98338,1.67904
170,17100,1.00187,1.52224
171,17200,1.00716,1.66721
172,17300,0.97910,1.56732
173,17400,1.01021,1.58211
174,17500,1.00545,1.55906
175,17600,0.97599,1.57612
176,17700,0.97826,1.52771
177,17800,1.02997,1.55233
178,17900,0.95125,1.49529
179,18000,1.00206,1.60195
180,18100,1.00432,1.50894
181,18200,0.99756,1.58484
182,18300,0.99702,1.52833
183,18400,1.02496,1.71961
184,18500,0.97877,1.56612
185,18600,0.99332,1.52778
186,18700,0.98483,1.62147
187,18800,1.00172,1.42583
188,18900,0.97424,1.62967
189,19000,0.99407,1.56327
190,19100,1.00037,1.52870
191,19200,0.98278,1.57739
192,19300,1.01835,1.53290
193,19400,1.01548,1.54688
194,19500,0.99340,1.52939
195,19600,1.00773,1.56804
196,19700,0.99654,1.54771
197,19800,0.96534,1.62068
198,19900,1.00357,1.54600
199,20000,1.00790,1.68468
200,20100,1.00977,1.47618
201,20200,1.00448,1.53761
202,20300,1.00675,1.56123
203,20400,0.96728,1.62483
204,20500,0.99711,1.53862
205,20600,1.02292,1.52976
206,20700,1.00519,1.57124
207,20800,0.98940,1.63748
208,20900,0.97057,1.51701
209,21000,1.01837,1.58209
210,21100,1.04846,1.59020
211,21200,0.98862,1.55889
212,21300,1.00801,1.57981
213,21400,1.01593,1.57217
214,21500,0.98522,1.59360
215,21600,0.96336,1.46941
216,21700,1.00442,1.55280
217,21800,0.99017,1.53517
218,21900,1.01078,1.58975
219,22000,0.98464,1.50172
220,22100,1.02205,1.60257
221,22200,1.02041,1.50446
222,22300,1.04905,1.53780
223,22400,0.98432,1.54451
224,22500,1.00290,1.59161
225,22600,1.03536,1.59553
226,22700,0.98417,1.51897
227,22800,1.04836,1.54173
228,22900,0.99724,1.50262
229,23000,0.97592,1.46212
230,23100,0.98608,1.53672
231,23200,1.04746,1.53762
232,23300,1.02159,1.53898
233,23400,1.00205,1.53816
234,23500,1.01847,1.58829
235,23600,0.98401,1.54149
236,23700,0.98620,1.57606
237,23800,1.04536,1.52543
238,23900,1.02025,1.54049
239,24000,1.02358,1.52435
240,24100,0.98981,1.43227
241,24200,1.02470,1.54987
242,24300,1.03419,1.50264
243,24400,1.00881,1.50365
244,24500,0.94977,1.44320
245,24600,1.00110,1.55130
246,24700,0.97493,1.52996
247,24800,0.98303,1.57221
248,24900,0.98231,1.52968
