iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
66,6700,-14.71419,1.26954,0.27319,1.09854,-19.82404,1.30566,0.41884,1.59437
67,6800,-14.58974,1.30313,0.27043,1.09888,-19.67819,1.71657,0.41569,1.59347
68,6900,-14.69405,1.42774,0.26665,1.09809,-19.90953,1.68696,0.41289,1.59330
69,7000,-14.59103,1.37443,0.26375,1.09811,-19.73818,1.48632,0.40961,1.59206
70,7100,-14.65386,1.41845,0.26056,1.09730,-19.82216,1.54738,0.40637,1.59199
71,7200,-14.51362,1.28897,0.25728,1.09727,-19.86792,1.58157,0.40390,1.59163
72,7300,-14.46115,1.34028,0.25423,1.09694,-19.92614,1.61068,0.40051,1.59088
73,7400,-14.44659,1.43550,0.25111,1.09683,-19.88208,1.53170,0.39714,1.59175
74,7500,-14.21290,1.38206,0.24813,1.09692,-19.91113,1.55146,0.39427,1.59095
75,7600,-14.13893,1.39522,0.24524,1.09620,-19.87051,1.47458,0.39110,1.59049
76,7700,-14.15502,1.42426,0.24203,1.09676,-19.84462,1.73467,0.38843,1.59075
77,7800,-14.11612,1.38845,0.23908,1.09648,-19.91928,1.62548,0.38522,1.58960
78,7900,-14.10565,1.42154,0.23628,1.09661,-19.88972,1.47283,0.38228,1.59102
79,8000,-13.89591,1.39909,0.23369,1.09718,-19.80470,1.63482,0.37954,1.58985
80,8100,-13.93274,1.37316,0.23042,1.09711,-19.86376,1.83670,0.37567,1.59100
81,8200,-13.78997,1.38953,0.22766,1.09804,-19.81740,1.84854,0.37329,1.58973
82,8300,-13.83984,1.40089,0.22485,1.09742,-19.56557,1.71301,0.37062,1.59031
83,8400,-13.78121,1.37997,0.22150,1.09706,-19.55670,1.33329,0.36737,1.59093
84,8500,-13.73855,1.29810,0.21882,1.09708,-19.57689,1.43323,0.36459,1.59069
85,8600,-13.69446,1.34351,0.21569,1.09718,-19.58480,1.48329,0.36209,1.59071
86,8700,-13.73967,1.42625,0.21289,1.09637,-19.52954,1.54868,0.35899,1.59118
87,8800,-13.51648,1.36635,0.21008,1.09699,-19.55265,1.51403,0.35631,1.59075
88,8900,-13.52121,1.33552,0.20753,1.09727,-19.53708,1.41406,0.35354,1.59125
89,9000,-13.39711,1.38730,0.20478,1.09696,-19.48636,1.37006,0.35070,1.59073
90,9100,-13.34972,1.46115,0.20223,1.09709,-19.35788,1.38510,0.34789,1.58991
91,9200,-13.25009,1.44388,0.19920,1.09665,-19.33104,1.38205,0.34532,1.59049
92,9300,-13.21281,1.42813,0.19667,1.09776,-19.37716,1.36344,0.34210,1.59205
93,9400,-13.06404,1.38158,0.19385,1.09699,-19.31967,1.42671,0.33956,1.59132
94,9500,-13.04563,1.42103,0.19122,1.09690,-19.33927,1.60108,0.33739,1.59090
95,9600,-12.94655,1.47403,0.18863,1.09670,-19.19617,1.53406,0.33468,1.59079
96,9700,-12.85751,1.44078,0.18585,1.09684,-19.22141,1.57393,0.33193,1.59228
97,9800,-12.85385,1.51364,0.18307,1.09622,-19.10866,1.53066,0.32922,1.59166
98,9900,-12.69955,1.46860,0.18099,1.09697,-19.08959,1.31103,0.32677,1.59176
99,10000,-12.68093,1.48066,0.17802,1.09645,-19.08408,1.49836,0.32396,1.59253
100,10100,-12.55319,1.43004,0.17563,1.09671,-19.00929,1.58284,0.32103,1.59226
101,10200,-12.47368,1.45626,0.17322,1.09634,-18.93673,1.39730,0.31852,1.59341
102,10300,-12.38875,1.50735,0.17111,1.09747,-18.89267,1.52955,0.31592,1.59151
103,10400,-12.34036,1.50023,0.16866,1.09678,-18.87245,1.51825,0.31375,1.59264
104,10500,-12.19331,1.43396,0.16631,1.09667,-18.80168,1.50987,0.31081,1.59261
105,10600,-12.09523,1.43113,0.16374,1.09641,-18.76248,1.52639,0.30814,1.59293
106,10700,-12.13694,1.51160,0.16132,1.09652,-18.68354,1.54410,0.30576,1.59283
107,10800,-12.04563,1.46733,0.15907,1.09643,-18.54652,1.44292,0.30299,1.59421
108,10900,-11.93041,1.47591,0.15682,1.09646,-18.59978,1.40855,0.30064,1.59255
109,11000,-11.76175,1.52051,0.15441,1.09613,-18.50748,1.44089,0.29793,1.59453
110,11100,-11.71775,1.42103,0.15250,1.09669,-18.51187,1.44645,0.29508,1.59312
111,11200,-11.66704,1.44446,0.14992,1.09586,-18.45110,1.46562,0.29280,1.59250
112,11300,-11.58321,1.41289,0.14809,1.09664,-18.36291,1.63413,0.29012,1.59359
113,11400,-11.48081,1.47974,0.14586,1.09630,-18.21218,1.62605,0.28744,1.59294
114,11500,-11.40779,1.47876,0.14351,1.09621,-18.21966,1.51422,0.28503,1.59261
115,11600,-11.30042,1.56112,0.14132,1.09619,-18.16102,1.78688,0.28242,1.59243
116,11700,-11.19897,1.53839,0.13949,1.09645,-18.08356,1.55646,0.27990,1.59208
117,11800,-11.16462,1.48023,0.13708,1.09607,-18.00804,1.67860,0.27773,1.59149
118,11900,-11.04179,1.47923,0.13518,1.09620,-17.86756,1.85607,0.27515,1.59217
119,12000,-10.97976,1.48108,0.13317,1.09622,-17.85615,1.55414,0.27291,1.59250
120,12100,-10.97106,1.44211,0.13086,1.09581,-17.73050,1.58431,0.27010,1.59261
121,12200,-10.87272,1.41607,0.12897,1.09610,-17.76102,1.55893,0.26806,1.59291
122,12300,-10.76522,1.43972,0.12656,1.09527,-17.56175,1.68455,0.26570,1.59254
123,12400,-10.63057,1.44565,0.12457,1.09519,-17.50069,1.57495,0.26319,1.59214
124,12500,-10.54811,1.40320,0.12274,1.09501,-17.47506,1.59363,0.26085,1.59236
125,12600,-10.49244,1.34495,0.12052,1.09478,-17.31005,1.51748,0.25869,1.59337
126,12700,-10.35308,1.49293,0.11894,1.09530,-17.28588,1.46693,0.25635,1.59289
127,12800,-10.31279,1.50174,0.11723,1.09531,-17.28779,1.65872,0.25384,1.59253
128,12900,-10.17373,1.42976,0.11520,1.09504,-17.17679,1.69235,0.25158,1.59116
129,13000,-10.10372,1.48573,0.11329,1.09488,-17.08599,1.52432,0.24941,1.59229
130,13100,-9.98405,1.49089,0.11161,1.09494,-16.91500,1.57969,0.24680,1.59175
131,13200,-9.92698,1.52932,0.10953,1.09428,-16.89936,1.67924,0.24467,1.59313
132,13300,-9.88496,1.46335,0.10790,1.09459,-16.74911,1.46172,0.24223,1.59272
133,13400,-9.75952,1.49381,0.10618,1.09453,-16.70798,1.57634,0.23998,1.59261
134,13500,-9.69115,1.43244,0.10435,1.09413,-16.68538,1.54249,0.23790,1.59240
135,13600,-9.62129,1.49280,0.10265,1.09427,-16.67081,1.57653,0.23582,1.59244
136,13700,-9.54044,1.37090,0.10093,1.09450,-16.52881,1.43798,0.23334,1.59301
137,13800,-9.48216,1.44806,0.09911,1.09387,-16.49673,1.56578,0.23117,1.59308
138,13900,-9.37463,1.54342,0.09747,1.09377,-16.28983,1.68249,0.22916,1.59197
139,14000,-9.26668,1.46861,0.09573,1.09344,-16.26578,1.46307,0.22681,1.59240
140,14100,-9.17621,1.39802,0.09395,1.09276,-16.21974,1.52437,0.22472,1.59239
141,14200,-9.09007,1.51873,0.09252,1.09317,-16.11807,1.55270,0.22258,1.59164
142,14300,-9.09390,1.53497,0.09058,1.09232,-16.05307,1.53119,0.22057,1.59291
143,14400,-8.97199,1.42343,0.08908,1.09242,-16.01286,1.47753,0.21847,1.59160
144,14500,-8.88300,1.48155,0.08768,1.09242,-15.90884,1.57511,0.21654,1.59222
145,14600,-8.86386,1.44665,0.08612,1.09224,-15.87865,1.39126,0.21448,1.59235
146,14700,-8.82897,1.52582,0.08477,1.09251,-15.74378,1.41641,0.21220,1.59255
147,14800,-8.66363,1.47962,0.08303,1.09173,-15.71059,1.54354,0.21027,1.59202
148,14900,-8.56180,1.52628,0.08181,1.09232,-15.61280,1.48074,0.20790,1.59200
149,15000,-8.41605,1.50038,0.08030,1.09195,-15.50559,1.55651,0.20615,1.59237
150,15100,-8.40043,1.49650,0.07866,1.09147,-15.38066,1.51997,0.20379,1.59225
