iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
0,100,0.94395,0.96345,0.99856,0.95221
1,200,1.00508,1.00969,1.02406,0.95808
2,300,0.87901,0.96816,0.98876,0.90966
3,400,0.91635,0.90590,0.95901,0.89935
4,500,0.93386,1.02009,0.97636,0.81869
5,600,0.92621,1.04364,0.99924,0.71911
6,700,0.98061,0.89506,1.01931,0.71247
7,800,0.88200,0.86186,0.94293,0.77231
8,900,1.06294,0.99674,0.98727,0.75133
9,1000,1.03682,0.99550,1.00255,0.70912
10,1100,1.01037,0.97360,0.90590,0.76161
11,1200,0.98365,1.00803,0.88583,0.75317
12,1300,0.87538,1.00447,0.97758,0.75976
13,1400,0.89681,0.96052,0.94106,0.69893
14,1500,0.95681,1.08036,1.03067,0.78103
15,1600,0.95429,1.03546,1.03224,0.83260
16,1700,0.87612,1.00622,1.02985,0.80840
17,1800,0.91982,0.95336,1.04070,0.78022
18,1900,0.93479,1.02151,0.98581,0.81202
19,2000,1.01230,1.00071,0.92238,0.84019
20,2100,0.92956,0.95298,1.06303,0.80311
21,2200,0.97856,0.99117,0.93624,0.79528
22,2300,0.96988,0.94277,1.00867,0.91082
23,2400,0.99826,0.95660,1.00846,0.81108
24,2500,0.94470,0.99106,0.99447,0.93671
25,2600,0.93163,0.90265,1.01008,0.86285
26,2700,0.88179,1.01191,0.96605,0.87833
27,2800,1.03664,0.91772,0.99355,0.89078
28,2900,0.99926,1.01129,0.95397,0.86489
29,3000,0.99391,0.99841,0.92529,0.91475
30,3100,1.01151,0.99736,0.94458,0.82192
31,3200,0.99267,1.01420,0.98335,0.88570
32,3300,0.97793,0.97023,0.93538,0.93033
33,3400,1.09610,0.99273,1.03180,0.86870
34,3500,0.96074,0.97220,0.92245,0.88319
35,3600,1.03929,1.02629,1.04630,0.86335
36,3700,1.05119,1.05818,0.95726,0.91318
37,3800,1.05098,1.01532,0.97222,0.93107
38,3900,1.05711,0.96691,1.00813,0.98744
39,4000,1.01855,0.98963,0.98987,0.91685
40,4100,0.98595,0.95686,0.97551,0.91024
41,4200,1.04079,0.95877,0.99314,0.91659
42,4300,1.00052,0.95380,0.98263,0.87072
43,4400,1.05954,0.94803,0.96831,0.97595
44,4500,0.95123,0.94053,0.97406,0.92896
45,4600,1.01991,0.96511,0.84027,0.93843
46,4700,0.95911,0.95360,0.98735,0.95793
47,4800,1.03491,1.06910,0.98636,0.89499
48,4900,1.01756,1.05593,1.02087,0.88900
49,5000,0.97989,1.01376,1.08364,0.94885
50,5100,0.98578,1.04056,1.01567,0.86460
51,5200,0.98422,0.99034,1.00284,0.90442
52,5300,1.00245,1.04287,0.93351,0.91119
53,5400,1.01090,1.02248,0.95206,0.92800
54,5500,1.00403,1.05413,1.03705,0.96364
55,5600,0.90970,0.97632,0.96514,0.86801
56,5700,1.04262,1.02024,0.98388,0.94821
57,5800,0.98377,0.96982,1.01804,0.90899
