iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-2.44171,3.56021,0.44732,-2.38084,3.60727,0.44157,-2.44514,3.60341,0.44828,-2.29752,3.36782,0.41328
1,200,-2.53295,1.81747,0.35387,-2.48981,1.81986,0.35196,-2.53016,1.86746,0.36422,-2.30022,1.70558,0.32995
2,300,-2.85291,1.76614,0.33784,-2.90557,1.76624,0.33828,-2.88944,1.76670,0.34971,-2.55713,1.35394,0.32360
3,400,-3.39196,1.82141,0.33923,-3.29303,1.84101,0.33393,-3.37181,2.00238,0.34198,-3.15679,1.32331,0.32106
4,500,-3.74680,1.73936,0.33732,-3.69825,1.97894,0.33209,-3.71764,1.89401,0.34085,-3.66762,1.32139,0.32183
5,600,-4.19585,1.90596,0.33377,-4.11317,1.80264,0.33377,-4.18312,1.81871,0.33784,-4.01925,1.30759,0.32080
6,700,-4.56037,1.89711,0.32730,-4.57269,1.82388,0.33751,-4.51546,1.96648,0.33593,-4.46144,1.31446,0.32155
7,800,-4.85669,1.89838,0.32727,-5.04793,1.71769,0.33981,-4.81296,2.07978,0.33238,-4.83672,1.27744,0.32644
8,900,-5.24221,1.96965,0.32689,-5.44761,1.83545,0.34224,-5.19428,1.85227,0.33327,-5.21343,1.41068,0.33156
9,1000,-5.68750,1.92818,0.32908,-5.76680,1.78921,0.34140,-5.53664,1.82975,0.33031,-5.69971,1.42507,0.33369
10,1100,-5.95102,1.89893,0.32662,-6.15759,1.96348,0.34365,-5.89914,1.89834,0.33094,-6.01478,1.42634,0.33748
11,1200,-6.29095,2.02157,0.32443,-6.50944,2.01160,0.34400,-6.22961,1.88715,0.33017,-6.40381,1.42868,0.33954
12,1300,-6.56857,1.87370,0.32421,-6.89488,2.04550,0.34332,-6.56885,1.79903,0.33015,-6.80053,1.42810,0.34235
13,1400,-6.77767,2.00609,0.31983,-7.20629,1.98421,0.34798,-6.85634,1.94397,0.32949,-7.06685,1.49653,0.33856
14,1500,-7.16371,1.94636,0.32029,-7.59020,1.92032,0.34792,-7.15533,1.90292,0.32385,-7.34743,1.57237,0.34103
15,1600,-7.47729,1.91641,0.32115,-7.89848,2.01967,0.34815,-7.43767,2.01340,0.32529,-7.81693,1.63743,0.34225
16,1700,-7.74274,1.95715,0.32324,-8.25010,2.01139,0.35153,-7.67393,2.08041,0.32875,-8.13751,1.70781,0.34267
17,1800,-8.14214,1.90019,0.32590,-8.53012,2.04292,0.34922,-8.05144,2.05074,0.32888,-8.45826,1.67663,0.34314
18,1900,-8.47217,1.96600,0.32309,-8.88269,1.80199,0.34952,-8.36962,2.07790,0.32944,-8.85986,2.03584,0.34169
19,2000,-8.78978,1.81692,0.32298,-9.20989,1.94320,0.35170,-8.66806,2.55352,0.33033,-9.23017,1.85154,0.34059
20,2100,-9.13971,2.05229,0.32831,-9.47257,1.93114,0.35089,-9.10158,2.05764,0.33147,-9.62596,1.85954,0.34082
21,2200,-9.37141,2.09858,0.32673,-9.93020,1.94678,0.35392,-9.32903,2.14484,0.33180,-9.88134,1.82035,0.33890
22,2300,-9.86310,2.42183,0.32622,-10.21084,1.93309,0.35348,-9.70689,2.03146,0.33528,-10.15663,1.93733,0.33995
23,2400,-10.23242,2.13605,0.32853,-10.65400,2.36199,0.35135,-10.17739,2.07959,0.33533,-10.37093,2.08331,0.34020
24,2500,-10.50872,2.12570,0.32834,-11.07215,2.31599,0.35306,-10.45225,1.94959,0.33626,-10.73740,2.42551,0.33977
25,2600,-10.83087,2.17187,0.32831,-11.32346,2.47239,0.35281,-10.69165,1.91516,0.33802,-11.05490,2.00157,0.33892
