iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
89,9000,0.97301,0.03944,1.88111,0.58636,0.03949,1.88236
90,9100,1.00949,0.03936,1.87860,0.58366,0.03927,1.87754
91,9200,1.02536,0.03955,1.87302,0.58565,0.03920,1.87201
92,9300,1.01025,0.03958,1.86708,0.58930,0.03958,1.86653
93,9400,1.00056,0.03954,1.86389,0.63064,0.03958,1.86348
94,9500,1.00830,0.03984,1.85551,0.56731,0.03970,1.85628
95,9600,0.99661,0.03984,1.85263,0.59798,0.03966,1.85626
96,9700,0.98538,0.03962,1.84930,0.56222,0.03975,1.84854
97,9800,0.99807,0.03975,1.84251,0.60146,0.03986,1.84294
98,9900,0.99646,0.03979,1.83748,0.57434,0.03994,1.83701
99,10000,1.03499,0.04027,1.83067,0.57445,0.03991,1.83257
100,10100,0.98579,0.04005,1.82820,0.58439,0.04024,1.82676
101,10200,0.99066,0.04020,1.82120,0.58554,0.04006,1.82228
102,10300,1.03419,0.04002,1.81893,0.56595,0.04022,1.81776
103,10400,1.01863,0.04020,1.81382,0.58564,0.04022,1.81187
104,10500,1.03539,0.04031,1.80543,0.60051,0.04013,1.80512
105,10600,1.03241,0.04043,1.80081,0.57770,0.04036,1.79716
106,10700,0.99943,0.04065,1.79372,0.60469,0.04036,1.79202
107,10800,0.98806,0.04031,1.78906,0.59431,0.04027,1.78784
108,10900,1.01907,0.04059,1.78299,0.58314,0.04060,1.78291
109,11000,1.01320,0.04047,1.77438,0.60113,0.04044,1.77815
110,11100,0.99222,0.04056,1.77161,0.60171,0.04047,1.76892
111,11200,0.97857,0.04046,1.76445,0.58703,0.04087,1.76089
112,11300,1.02834,0.04096,1.76118,0.60638,0.04062,1.76038
113,11400,0.97693,0.04029,1.75373,0.56924,0.04030,1.75368
114,11500,0.99192,0.04046,1.74575,0.61241,0.04063,1.74930
115,11600,0.98845,0.04031,1.74026,0.62180,0.04047,1.73898
116,11700,0.99116,0.04029,1.73369,0.59546,0.04039,1.73631
117,11800,1.00248,0.04042,1.73049,0.59012,0.04035,1.72708
118,11900,0.97162,0.04036,1.71912,0.57115,0.04021,1.72065
119,12000,0.97708,0.04011,1.71688,0.61896,0.04049,1.71582
120,12100,0.96625,0.04014,1.70820,0.57745,0.04017,1.70809
121,12200,1.00504,0.04027,1.70231,0.57533,0.04021,1.70657
122,12300,0.98793,0.04004,1.69634,0.60535,0.03986,1.69260
123,12400,0.98953,0.03983,1.69118,0.64261,0.04004,1.68949
124,12500,0.99595,0.03978,1.68589,0.60550,0.03958,1.68403
125,12600,0.97085,0.03970,1.67752,0.60616,0.03964,1.67991
126,12700,0.95684,0.03948,1.67174,0.60145,0.03945,1.67167
127,12800,0.97135,0.03929,1.66058,0.63007,0.03953,1.66834
128,12900,1.02977,0.03920,1.66212,0.63129,0.03933,1.66133
129,13000,0.99292,0.03921,1.65404,0.62750,0.03916,1.65299
130,13100,1.02074,0.03910,1.65117,0.61665,0.03893,1.64297
131,13200,0.98066,0.03874,1.64301,0.59654,0.03889,1.64121
132,13300,0.97745,0.03837,1.63879,0.64632,0.03855,1.64064
133,13400,0.99244,0.03864,1.62756,0.62677,0.03861,1.62736
134,13500,0.98994,0.03828,1.62204,0.63111,0.03841,1.62388
135,13600,0.99423,0.03822,1.61584,0.60540,0.03829,1.61976
136,13700,0.98925,0.03817,1.61162,0.62948,0.03796,1.61186
137,13800,1.03130,0.03789,1.60790,0.61704,0.03801,1.60624
138,13900,0.99086,0.03773,1.59363,0.64141,0.03793,1.60273
139,14000,0.96520,0.03739,1.59113,0.62209,0.03772,1.59552
140,14100,0.98537,0.03757,1.59226,0.64062,0.03772,1.58776
141,14200,0.99946,0.03721,1.58342,0.61264,0.03732,1.58108
142,14300,0.99949,0.03743,1.57294,0.61119,0.03751,1.57614
143,14400,0.97449,0.03705,1.57682,0.63364,0.03701,1.57240
144,14500,1.00433,0.03694,1.57149,0.63951,0.03670,1.56573
145,14600,1.01071,0.03662,1.56096,0.60946,0.03666,1.56320
146,14700,1.02408,0.03702,1.55303,0.65114,0.03685,1.55507
147,14800,0.99824,0.03676,1.55110,0.61792,0.03655,1.54827
148,14900,0.95851,0.03663,1.54941,0.62862,0.03650,1.55250
149,15000,0.95847,0.03652,1.54472,0.64838,0.03657,1.54581
150,15100,0.98952,0.03639,1.53769,0.61525,0.03619,1.54037
151,15200,0.99454,0.03649,1.53643,0.67792,0.03617,1.53745
152,15300,0.98884,0.03634,1.52734,0.65877,0.03644,1.53033
153,15400,0.96621,0.03610,1.52549,0.64105,0.03611,1.52764
154,15500,1.01923,0.03628,1.52323,0.64621,0.03620,1.51626
155,15600,1.01287,0.03618,1.51618,0.65447,0.03608,1.52446
156,15700,0.97027,0.03609,1.51910,0.66702,0.03587,1.52284
157,15800,0.92474,0.03607,1.50790,0.68456,0.03611,1.50862
158,15900,1.01393,0.03591,1.51042,0.65586,0.03565,1.51399
159,16000,0.99870,0.03598,1.50937,0.66799,0.03582,1.50548
160,16100,0.96027,0.03578,1.50204,0.66419,0.03607,1.50498
161,16200,0.95473,0.03569,1.49852,0.64367,0.03591,1.49899
162,16300,0.95581,0.03556,1.49034,0.65198,0.03581,1.49725
163,16400,0.97525,0.03577,1.49076,0.64281,0.03576,1.48934
164,16500,0.97807,0.03599,1.48617,0.68133,0.03605,1.48485
165,16600,0.94021,0.03565,1.47955,0.67944,0.03587,1.48138
166,16700,0.99561,0.03603,1.47918,0.66823,0.03580,1.47818
167,16800,0.97846,0.03589,1.48200,0.67881,0.03592,1.48106
168,16900,0.98133,0.03573,1.46924,0.67024,0.03586,1.46860
169,17000,1.00204,0.03585,1.47641,0.65621,0.03588,1.46453
170,17100,0.99681,0.03575,1.46598,0.67174,0.03603,1.46474
171,17200,0.98276,0.03566,1.46374,0.66958,0.03609,1.46659
172,17300,0.99931,0.03580,1.45660,0.67081,0.03602,1.45863
173,17400,1.02602,0.03607,1.46237,0.69425,0.03621,1.45814
174,17500,1.00878,0.03611,1.44648,0.66603,0.03627,1.45491
