iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
69,7000,2.32952,0.32633,2.17144,0.31271,2.20205,0.28152,2.05478,0.33362
70,7100,2.18531,0.32713,2.15659,0.31418,2.05166,0.28525,1.98456,0.33450
71,7200,2.31505,0.32646,2.23775,0.31501,2.18540,0.28702,1.77666,0.33608
72,7300,2.23632,0.32706,2.29391,0.31592,1.91690,0.28852,1.84824,0.33376
73,7400,2.17405,0.32566,2.33750,0.31538,2.18147,0.28601,1.91124,0.33212
74,7500,2.12622,0.32478,2.25195,0.31593,2.02048,0.28412,2.01176,0.33262
75,7600,2.15818,0.32301,2.19960,0.31667,2.05508,0.28350,2.08518,0.33153
76,7700,2.23432,0.32370,2.15004,0.31833,2.26358,0.28534,1.99041,0.33260
77,7800,2.33778,0.32559,2.23457,0.31815,2.20245,0.28708,2.03958,0.33635
78,7900,2.37129,0.32299,2.40244,0.31755,2.16456,0.29005,1.92923,0.33324
79,8000,2.19149,0.32250,2.37393,0.32082,2.15422,0.28840,1.89595,0.33231
80,8100,2.39298,0.32471,2.23875,0.31948,2.12396,0.28732,1.91648,0.33520
81,8200,2.16960,0.32360,2.17658,0.31984,2.41998,0.28907,1.86376,0.33587
82,8300,2.34761,0.32133,2.49087,0.31577,2.15259,0.29293,2.07313,0.33478
83,8400,2.40857,0.32024,2.20904,0.31617,2.11030,0.28864,1.86215,0.33595
84,8500,2.33097,0.32112,2.30370,0.31939,2.19716,0.29458,1.97596,0.33567
85,8600,2.14542,0.31866,2.37739,0.32250,2.33581,0.29103,2.05650,0.33433
86,8700,2.11369,0.31795,2.59346,0.32176,2.49290,0.29513,1.98712,0.33568
87,8800,2.10320,0.31975,2.23941,0.32253,2.31272,0.29535,2.17938,0.33561
88,8900,2.16634,0.31685,2.49372,0.32103,2.24484,0.29534,1.86347,0.33318
89,9000,2.21554,0.31824,2.42979,0.32144,2.30492,0.29708,1.92929,0.33406
90,9100,2.13458,0.31625,2.18383,0.32243,2.11085,0.29437,1.85497,0.33645
91,9200,2.37317,0.31675,2.19271,0.32202,2.39346,0.29618,1.84956,0.33442
92,9300,2.45657,0.31639,2.23431,0.32444,2.34197,0.29666,1.84600,0.33619
93,9400,2.47438,0.31316,2.64909,0.32238,2.34927,0.29830,2.09448,0.33828
94,9500,2.18170,0.31373,2.31331,0.32502,2.29268,0.29831,1.82723,0.33845
95,9600,2.38367,0.31249,2.18611,0.32564,2.23916,0.30181,1.84767,0.33345
96,9700,2.30199,0.31225,2.41415,0.32694,2.31528,0.30198,2.02691,0.33441
97,9800,2.26033,0.31558,2.25556,0.32944,2.38703,0.30455,1.76456,0.33558
98,9900,2.39682,0.31107,2.34485,0.32786,2.64871,0.30330,2.09943,0.33434
99,10000,2.32508,0.31294,2.40910,0.32902,2.44684,0.30306,1.82430,0.33480
100,10100,2.18885,0.31189,2.43052,0.32900,2.23765,0.30469,2.03304,0.33534
101,10200,2.30192,0.30943,2.37470,0.32818,2.30884,0.30594,1.90721,0.33605
102,10300,2.19499,0.31135,2.28876,0.32852,2.38602,0.30432,1.92295,0.33733
103,10400,2.25246,0.31233,2.40206,0.32809,2.17873,0.30521,1.85364,0.33602
104,10500,2.39032,0.31255,2.22709,0.32809,2.09665,0.30682,2.08526,0.33247
105,10600,2.33167,0.31254,2.43060,0.32763,2.36070,0.30856,1.95471,0.33462
106,10700,2.49297,0.30996,2.22074,0.33111,2.42666,0.31104,2.03637,0.33426
107,10800,2.48812,0.30804,2.45276,0.32937,2.37528,0.31165,2.01253,0.33565
108,10900,2.54246,0.30811,2.26493,0.32949,2.18062,0.31028,2.04310,0.33405
109,11000,2.20797,0.30842,2.23339,0.33008,2.37693,0.31203,1.93766,0.33423
110,11100,2.13485,0.31028,2.45253,0.32802,2.47368,0.31136,1.97089,0.33207
111,11200,2.40440,0.30986,2.43902,0.32920,2.54686,0.31395,1.94466,0.33431
112,11300,2.18469,0.30636,2.30027,0.32998,2.37898,0.31387,2.03692,0.33165
113,11400,2.23198,0.30713,2.34080,0.32873,2.60997,0.31142,1.91366,0.33269
114,11500,2.11978,0.30498,2.33231,0.33089,2.44371,0.31568,2.01039,0.33138
115,11600,2.37043,0.30745,2.43101,0.33376,2.58862,0.31732,1.99037,0.32942
116,11700,2.49656,0.30551,2.59525,0.32891,2.31789,0.31867,1.83607,0.33144
117,11800,2.30524,0.30663,2.37058,0.32955,2.51403,0.31735,1.85266,0.33024
118,11900,2.29988,0.30622,2.53401,0.32795,2.40708,0.32114,2.12244,0.33025
119,12000,2.27536,0.30492,2.36716,0.33014,2.34580,0.31582,1.97314,0.32694
120,12100,2.51787,0.30670,2.28289,0.32868,2.28619,0.31958,2.27286,0.32649
121,12200,2.42239,0.30461,2.38252,0.32838,2.40324,0.31997,1.87264,0.32372
122,12300,2.23712,0.30318,2.39133,0.33217,2.45016,0.32085,1.86892,0.32794
