iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
58,5900,-30.99474,2.88635,0.76798,-32.35477,2.56574,0.77673,-31.90858,2.42325,0.79803
59,6000,-30.77795,3.26661,0.76510,-32.41460,2.47246,0.77336,-31.99410,2.54750,0.79464
60,6100,-31.30558,2.82783,0.76260,-32.61209,2.26225,0.77112,-32.23043,3.30126,0.79074
61,6200,-31.15763,2.57182,0.75916,-32.74242,2.27887,0.76793,-32.38937,2.89212,0.78809
62,6300,-31.29911,2.28795,0.75675,-32.82833,3.47417,0.76446,-32.46898,2.82455,0.78443
63,6400,-31.75386,2.69308,0.75388,-32.98670,3.23981,0.76169,-33.03146,4.68972,0.78126
64,6500,-31.83746,2.02479,0.75078,-33.12649,3.18350,0.75899,-33.28801,2.70683,0.77787
65,6600,-31.96673,2.24275,0.74822,-33.22550,2.99850,0.75673,-32.91825,2.42816,0.77492
66,6700,-31.84178,2.12264,0.74548,-33.29857,2.64086,0.75337,-32.96020,2.70752,0.77140
67,6800,-32.10879,4.16594,0.74249,-33.41046,4.59576,0.74986,-33.35235,3.20419,0.76819
68,6900,-32.48220,3.40139,0.74031,-33.43208,3.81712,0.74760,-33.22109,2.57343,0.76467
69,7000,-32.80401,5.98567,0.73625,-33.69185,2.40320,0.74453,-33.28431,2.32049,0.76108
70,7100,-32.32498,2.79229,0.73397,-33.83900,2.91345,0.74202,-33.37131,3.01576,0.75851
71,7200,-32.61754,4.10500,0.73142,-33.59226,2.64497,0.73844,-33.47865,3.06525,0.75504
72,7300,-32.95481,2.59934,0.72888,-33.61284,2.14016,0.73552,-33.72278,2.48634,0.75217
73,7400,-32.92267,2.44623,0.72601,-33.56219,2.12529,0.73301,-33.79532,2.36998,0.74838
74,7500,-32.50081,2.62188,0.72290,-33.74532,2.02045,0.72958,-33.78844,3.53665,0.74563
75,7600,-32.67302,2.75856,0.72015,-33.69440,2.01517,0.72754,-33.84052,3.27375,0.74209
76,7700,-32.63241,2.49518,0.71723,-33.78264,2.06746,0.72494,-33.89202,3.02039,0.73945
77,7800,-32.70426,4.92191,0.71474,-33.94409,2.01137,0.72070,-33.91898,2.22746,0.73644
78,7900,-33.26606,2.92607,0.71148,-33.84845,1.99421,0.71937,-33.62758,2.14866,0.73306
79,8000,-33.03924,3.47443,0.70944,-33.87805,1.93580,0.71629,-33.70411,2.28116,0.72974
80,8100,-32.75029,3.39084,0.70626,-33.90897,2.37343,0.71425,-33.89255,2.12185,0.72645
81,8200,-32.95195,2.60270,0.70355,-34.34390,4.51488,0.71125,-33.91464,2.45389,0.72370
82,8300,-33.39090,3.10473,0.70033,-34.17255,3.61696,0.70837,-33.89233,3.60404,0.72108
83,8400,-33.19379,2.74982,0.69831,-34.33617,3.13399,0.70472,-33.90795,3.10786,0.71809
84,8500,-33.31297,2.91260,0.69529,-34.23785,2.43566,0.70239,-33.73205,3.13009,0.71428
85,8600,-32.95761,3.21452,0.69289,-34.15181,2.92570,0.69952,-34.03184,4.32728,0.71193
86,8700,-33.23906,4.41854,0.68995,-34.08114,4.02334,0.69654,-33.99832,2.65348,0.70894
87,8800,-32.77817,3.62452,0.68673,-34.11255,3.61608,0.69463,-33.92421,2.99772,0.70604
88,8900,-33.02340,2.94310,0.68468,-34.43703,2.61924,0.69177,-33.95193,3.10903,0.70290
89,9000,-32.93017,4.18204,0.68179,-34.16932,3.14777,0.68888,-33.80742,2.38328,0.69991
90,9100,-32.73011,3.42551,0.67904,-34.02631,3.32309,0.68577,-34.09457,3.62749,0.69710
91,9200,-33.06652,2.40736,0.67627,-34.10144,3.20633,0.68255,-33.88225,3.17658,0.69396
92,9300,-32.65743,3.24762,0.67405,-34.01358,2.79094,0.68010,-33.96768,2.87947,0.69142
93,9400,-33.40140,3.52185,0.67121,-34.03064,2.29395,0.67706,-33.99269,2.61116,0.68742
94,9500,-33.10408,3.75033,0.66862,-33.99306,2.81415,0.67487,-33.94688,2.61720,0.68579
95,9600,-32.81683,3.41827,0.66601,-33.68524,3.08377,0.67210,-33.73374,2.57248,0.68200
96,9700,-32.97773,2.86885,0.66362,-34.14125,2.42653,0.66942,-34.00157,3.00791,0.67914
97,9800,-33.01818,3.35203,0.66039,-33.94793,3.13203,0.66621,-33.79383,3.09067,0.67711
98,9900,-32.81430,2.90894,0.65801,-34.14701,4.20413,0.66346,-33.65462,5.21474,0.67329
99,10000,-32.75367,4.03797,0.65546,-34.06837,4.24789,0.66087,-33.82446,3.59827,0.67057
100,10100,-32.98580,3.07698,0.65278,-33.84226,3.65883,0.65904,-33.83306,2.30719,0.66763
