iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
0,100,0.07710,0.38445,-0.05048,0.39146,-0.03977,0.42632
1,200,-0.00848,0.11707,-0.02491,0.20907,-0.02459,0.16440
2,300,-0.07880,0.05250,-0.00375,0.10890,0.01512,0.10501
3,400,-0.17864,0.03809,0.02360,0.08190,0.00720,0.09117
4,500,-0.24667,0.04580,0.00852,0.06946,0.02650,0.07066
5,600,-0.26805,0.04397,-0.02432,0.06930,-0.02664,0.06993
6,700,-0.29880,0.04971,-0.06040,0.06863,-0.04616,0.06134
7,800,-0.27781,0.05173,-0.09260,0.06695,-0.08214,0.06438
8,900,-0.29503,0.06396,-0.11226,0.08120,-0.10944,0.07913
9,1000,-0.31477,0.06712,-0.10148,0.08247,-0.11877,0.07790
10,1100,-0.32315,0.08107,-0.17876,0.08633,-0.17234,0.08523
11,1200,-0.32011,0.08465,-0.17950,0.08992,-0.17496,0.09799
12,1300,-0.32459,0.08518,-0.21392,0.11327,-0.22527,0.10150
13,1400,-0.36101,0.08518,-0.26336,0.10927,-0.25274,0.11269
14,1500,-0.42422,0.10289,-0.29989,0.12555,-0.28843,0.13887
15,1600,-0.41222,0.10463,-0.33157,0.13420,-0.30892,0.14505
16,1700,-0.42439,0.13495,-0.32755,0.14516,-0.34200,0.14613
17,1800,-0.46347,0.13831,-0.36841,0.15702,-0.31826,0.15019
18,1900,-0.48490,0.13670,-0.32344,0.15917,-0.36471,0.16475
19,2000,-0.54316,0.16270,-0.38409,0.17693,-0.34084,0.17600
20,2100,-0.51032,0.14331,-0.38845,0.17903,-0.41656,0.19238
21,2200,-0.60460,0.16633,-0.38799,0.20228,-0.42215,0.20658
22,2300,-0.58715,0.17048,-0.40715,0.21430,-0.44714,0.22834
23,2400,-0.65522,0.18482,-0.45075,0.22803,-0.45946,0.24794
