iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
0,100,-0.16638,0.93867,-0.17841,0.94965
1,200,-0.18795,0.84777,-0.19523,0.79974
2,300,-0.16815,0.82211,-0.16210,0.88706
3,400,-0.13518,0.74867,-0.17128,0.86524
4,500,-0.12668,0.83298,-0.16840,0.85400
5,600,-0.16162,0.79109,-0.16018,0.84307
6,700,-0.15911,0.88189,-0.13508,0.90622
7,800,-0.12866,0.90149,-0.17875,0.90636
8,900,-0.17451,0.78283,-0.15157,0.91705
9,1000,-0.16516,0.84800,-0.15339,0.87457
10,1100,-0.14861,0.79356,-0.15737,0.80537
11,1200,-0.17369,0.83936,-0.18516,0.79455
12,1300,-0.13466,0.89507,-0.16520,0.88449
13,1400,-0.13474,0.88736,-0.11360,0.85830
14,1500,-0.16669,0.84053,-0.16294,0.94758
15,1600,-0.13124,1.00011,-0.11411,0.87610
16,1700,-0.09765,0.83523,-0.10003,0.77298
17,1800,-0.04401,0.89961,-0.07594,0.93318
18,1900,-0.11676,0.91630,-0.08553,0.89303
19,2000,-0.13649,0.88437,-0.08963,0.90224
20,2100,-0.12088,1.03170,-0.11115,0.92211
21,2200,-0.12060,0.85288,-0.08612,0.85858
22,2300,-0.21783,0.97760,-0.13117,0.91219
23,2400,-0.14433,0.90149,-0.09447,1.04314
24,2500,-0.19185,0.98126,-0.13642,0.91789
25,2600,-0.15497,0.96176,-0.14228,0.78813
26,2700,-0.20339,0.91993,-0.13523,0.88149
27,2800,-0.14938,0.92771,-0.17736,0.79280
28,2900,-0.18528,0.83324,-0.11134,0.87444
29,3000,-0.12244,0.95008,-0.09089,0.90745
30,3100,-0.17210,0.88179,-0.10973,0.94348
31,3200,-0.17440,1.05897,-0.12752,0.78746
32,3300,-0.15761,0.91127,-0.13163,0.85373
33,3400,-0.19919,0.84381,-0.14037,0.81180
34,3500,-0.20659,0.80260,-0.12044,0.89286
35,3600,-0.17462,0.81824,-0.13112,0.91031
36,3700,-0.14385,0.91397,-0.08937,1.02314
37,3800,-0.15752,0.93856,-0.11719,0.90593
38,3900,-0.15582,0.86725,-0.11430,0.84414
39,4000,-0.14334,0.96222,-0.08859,0.96556
40,4100,-0.18595,0.85803,-0.13098,0.82443
41,4200,-0.13292,0.94051,-0.12902,0.92388
42,4300,-0.13877,0.87562,-0.11510,0.89252
43,4400,-0.14837,0.85099,-0.08512,0.88096
44,4500,-0.09260,0.99255,-0.06377,1.00403
45,4600,-0.11906,0.97571,-0.08394,0.95749
46,4700,-0.01856,0.91962,-0.11483,0.79920
47,4800,-0.05104,0.92504,-0.09908,0.87370
48,4900,-0.03973,1.04316,-0.09734,0.89159
49,5000,0.03686,1.19351,-0.04471,1.07299
50,5100,-0.03109,0.99472,-0.03320,1.00071
51,5200,0.03610,1.17026,-0.00766,1.03380
52,5300,0.05430,1.12266,0.01167,1.07388
53,5400,0.01347,1.07649,0.01618,0.97156
54,5500,-0.00906,0.91228,0.00212,0.84059
55,5600,-0.02282,1.01884,0.01531,0.90378
56,5700,0.04229,0.95835,0.04724,0.95617
57,5800,0.01308,0.99081,0.05240,0.95831
58,5900,0.02474,0.97834,0.03070,0.96762
59,6000,0.06086,0.93563,0.08450,0.94604
60,6100,0.05714,0.97141,0.04834,0.90857
61,6200,0.03067,0.90495,0.11343,0.99231
62,6300,0.03832,0.89270,0.07933,0.93162
63,6400,0.06379,0.95208,0.08608,0.92609
64,6500,0.07591,0.95327,0.11699,1.00441
65,6600,0.09749,0.84233,0.09018,0.96165
66,6700,0.11361,0.96841,0.12514,0.97646
67,6800,0.04808,1.02371,0.11092,0.89863
68,6900,0.08465,0.87867,0.13221,1.05113
69,7000,0.13894,1.07451,0.16443,0.99526
70,7100,0.06720,0.97756,0.10270,1.00036
71,7200,0.12509,1.00628,0.14014,0.95329
72,7300,0.08795,1.01409,0.11736,0.94948
73,7400,0.10267,1.01100,0.12948,0.89200
74,7500,0.12458,1.34730,0.15042,0.97831
75,7600,0.13404,1.33449,0.14550,1.05487
76,7700,0.16850,1.43987,0.14213,1.05831
77,7800,0.14690,1.26423,0.15215,1.21700
78,7900,0.13242,1.25867,0.14181,1.01365
79,8000,0.14283,1.58591,0.18947,1.29884
80,8100,0.17165,3.00757,0.14563,2.28154
81,8200,0.20971,3.45681,0.14624,3.27117
82,8300,0.24134,3.31607,0.14753,2.35027
83,8400,0.26034,3.81400,0.16797,2.78105
84,8500,0.27955,4.75357,0.18803,3.21109
85,8600,0.28293,3.15493,0.16696,2.97275
86,8700,0.28632,3.20166,0.19820,3.11737
87,8800,0.27469,1.77488,0.17077,1.81921
88,8900,0.32459,0.92600,0.16975,1.30333
89,9000,0.32507,2.34927,0.17457,1.80950
90,9100,0.38506,2.95804,0.17295,3.62389
91,9200,0.36623,3.39559,0.25365,4.92321
92,9300,0.37027,2.58602,0.20213,3.09721
93,9400,0.31818,1.85275,0.18587,2.64455
94,9500,0.39051,2.16369,0.17904,2.51147
95,9600,0.39236,2.84614,0.17176,2.92699
96,9700,0.38530,3.00762,0.17081,3.12876
97,9800,0.44460,2.39822,0.27035,4.24147
98,9900,0.47319,2.28214,0.23910,3.37760
99,10000,0.48602,2.41050,0.18855,3.07900
100,10100,0.41297,1.48373,0.20506,2.82577
101,10200,0.48072,2.41941,0.20230,0.96570
102,10300,0.49525,3.98021,0.26759,13.62641
103,10400,0.43936,10.64950,0.28507,13.42734
104,10500,0.40850,6.13041,0.27231,4.79859
105,10600,0.35904,1.55658,0.21707,1.22233
