iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
126,12700,1.03624,0.00096,1.96106,0.24862
127,12800,1.02259,0.00096,1.83724,0.24914
128,12900,1.01360,0.00096,1.89888,0.24703
129,13000,1.01021,0.00095,1.78203,0.24899
130,13100,1.06844,0.00095,1.79860,0.24546
131,13200,0.89577,0.00095,1.82222,0.24454
132,13300,1.08446,0.00094,1.70134,0.24528
133,13400,1.04340,0.00094,1.87966,0.24604
134,13500,0.90716,0.00094,1.80582,0.24589
135,13600,0.80832,0.00093,1.79616,0.24302
136,13700,1.01006,0.00093,1.84772,0.24283
137,13800,1.02363,0.00092,1.77748,0.24171
138,13900,0.97034,0.00092,1.87068,0.23964
139,14000,0.92082,0.00092,1.90010,0.23939
140,14100,1.06623,0.00091,1.79362,0.23968
141,14200,0.96212,0.00091,1.67967,0.23824
142,14300,0.97830,0.00091,1.85353,0.24062
143,14400,0.98870,0.00091,1.72723,0.23827
144,14500,1.01063,0.00090,1.78712,0.23809
145,14600,1.00993,0.00090,1.83405,0.23564
146,14700,0.91432,0.00090,1.82902,0.23491
147,14800,0.96072,0.00089,1.79939,0.23489
148,14900,1.01554,0.00089,1.81970,0.23387
149,15000,0.89213,0.00089,1.81355,0.23501
150,15100,1.09989,0.00088,1.74809,0.23141
151,15200,1.14378,0.00088,1.75880,0.23264
152,15300,0.93712,0.00088,1.65531,0.23023
153,15400,1.04613,0.00088,1.83728,0.23391
154,15500,1.01168,0.00087,1.61792,0.23108
155,15600,1.05648,0.00087,1.80377,0.22965
156,15700,0.93889,0.00087,1.80001,0.22963
157,15800,1.11925,0.00086,1.71755,0.22730
158,15900,1.03545,0.00086,1.76677,0.22838
159,16000,0.97183,0.00086,1.82511,0.22886
160,16100,0.96845,0.00086,1.71359,0.22676
161,16200,1.08205,0.00085,1.78036,0.22857
162,16300,0.87261,0.00085,1.88493,0.22868
163,16400,1.02965,0.00085,1.74162,0.22612
164,16500,0.92301,0.00085,1.64912,0.22542
165,16600,0.94361,0.00084,1.82865,0.22410
166,16700,0.91049,0.00084,1.93022,0.22365
167,16800,1.06155,0.00084,1.80567,0.22464
168,16900,0.98075,0.00083,1.89431,0.22330
169,17000,1.03726,0.00083,1.79263,0.22278
170,17100,1.08395,0.00083,1.71169,0.22429
171,17200,1.10628,0.00083,1.80462,0.22355
172,17300,0.90365,0.00083,1.80649,0.22348
173,17400,1.01021,0.00082,1.76052,0.22096
174,17500,1.04082,0.00082,1.73118,0.22188
175,17600,0.88302,0.00082,1.76211,0.22139
176,17700,1.11928,0.00082,1.88624,0.21986
177,17800,1.14775,0.00081,1.62537,0.21989
178,17900,0.95103,0.00081,1.78062,0.22035
179,18000,1.12933,0.00081,1.77154,0.21985
180,18100,1.05029,0.00081,1.83650,0.21989
181,18200,1.12446,0.00080,1.81388,0.22005
182,18300,0.91571,0.00080,1.73032,0.21873
183,18400,0.95965,0.00080,1.72677,0.21607
184,18500,0.92510,0.00080,1.69074,0.21692
185,18600,0.96530,0.00080,1.63550,0.21667
186,18700,0.93434,0.00079,1.69877,0.21673
187,18800,1.02260,0.00079,1.79005,0.21864
188,18900,1.02717,0.00079,1.79053,0.21498
189,19000,1.20219,0.00079,1.68225,0.21404
190,19100,1.25643,0.00079,1.84177,0.21575
191,19200,0.96888,0.00078,1.74692,0.21648
192,19300,0.93783,0.00078,1.59405,0.21488
193,19400,0.87837,0.00078,1.86274,0.21492
194,19500,0.99861,0.00078,1.61775,0.21266
195,19600,0.98589,0.00078,1.74942,0.21380
196,19700,0.94091,0.00077,1.91317,0.21432
197,19800,1.05044,0.00077,1.81070,0.21126
198,19900,0.96412,0.00077,1.68124,0.21244
199,20000,1.17103,0.00077,1.69400,0.21149
200,20100,1.08655,0.00077,1.69816,0.20982
201,20200,0.90919,0.00076,1.71570,0.21229
202,20300,0.95821,0.00076,1.61035,0.21056
203,20400,0.88726,0.00076,1.72805,0.21130
204,20500,0.98761,0.00076,1.78451,0.20992
205,20600,1.15424,0.00076,1.86152,0.20956
206,20700,1.07892,0.00075,1.60375,0.21055
207,20800,0.96236,0.00075,1.85646,0.21028
208,20900,0.94833,0.00075,1.62242,0.20947
209,21000,0.90965,0.00075,1.80222,0.20965
210,21100,0.82228,0.00075,1.80296,0.20848
211,21200,0.96576,0.00075,1.68161,0.20805
212,21300,0.90829,0.00074,1.76043,0.20927
213,21400,0.88439,0.00074,1.72868,0.20598
214,21500,0.96174,0.00074,1.69144,0.20837
215,21600,0.93527,0.00074,1.73308,0.20807
216,21700,0.99245,0.00074,1.66214,0.20568
217,21800,0.94452,0.00073,1.72281,0.20723
218,21900,0.93225,0.00073,1.73936,0.20843
219,22000,1.07924,0.00073,1.80798,0.20831
220,22100,1.04442,0.00073,1.76799,0.20617
221,22200,0.97342,0.00073,1.73896,0.20617
222,22300,0.94312,0.00073,1.58477,0.20623
223,22400,0.94129,0.00072,1.96084,0.20532
224,22500,1.03922,0.00072,1.87675,0.20522
225,22600,1.06419,0.00072,1.75336,0.20428
226,22700,0.94472,0.00072,1.76947,0.20662
227,22800,0.86351,0.00072,1.77983,0.20449
228,22900,1.00217,0.00072,1.74196,0.20617
229,23000,1.14250,0.00072,1.65498,0.20367
230,23100,0.87566,0.00071,1.73570,0.20412
231,23200,1.20420,0.00071,1.80863,0.20427
232,23300,0.93755,0.00071,1.81981,0.20262
233,23400,0.97432,0.00071,1.64317,0.20216
234,23500,0.98162,0.00071,2.02556,0.20127
235,23600,0.89671,0.00071,1.83756,0.20437
236,23700,0.89000,0.00070,1.85343,0.20438
237,23800,1.08099,0.00070,1.65062,0.20142
238,23900,0.89398,0.00070,1.77234,0.20222
239,24000,1.15517,0.00070,1.77914,0.20130
240,24100,1.01099,0.00070,1.78481,0.20490
241,24200,1.01731,0.00070,1.82853,0.20312
242,24300,1.08372,0.00070,1.74793,0.20238
243,24400,1.11345,0.00069,1.66625,0.20104
244,24500,0.97588,0.00069,1.78185,0.19983
245,24600,0.93816,0.00069,1.82682,0.19924
246,24700,0.90846,0.00069,1.75850,0.19738
247,24800,1.00654,0.00069,1.87448,0.20099
248,24900,0.89155,0.00069,1.66999,0.19973
