iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
126,12700,1.63065,0.17467,1.26395,0.17618
127,12800,1.64789,0.17595,1.28847,0.17468
128,12900,1.62590,0.17622,1.25627,0.17502
129,13000,1.64510,0.17573,1.24884,0.17538
130,13100,1.62488,0.17425,1.27100,0.17452
131,13200,1.65435,0.17336,1.22506,0.17307
132,13300,1.61909,0.17337,1.25435,0.17422
133,13400,1.60065,0.17314,1.23940,0.17275
134,13500,1.60891,0.17219,1.27559,0.17436
135,13600,1.63156,0.17271,1.25744,0.17165
136,13700,1.59154,0.17211,1.22311,0.17309
137,13800,1.64369,0.17502,1.28154,0.17289
138,13900,1.62651,0.17175,1.22949,0.17152
139,14000,1.64077,0.17259,1.26051,0.17290
140,14100,1.63161,0.17215,1.29083,0.17202
141,14200,1.64249,0.17213,1.26194,0.17082
142,14300,1.58025,0.16956,1.29992,0.17037
143,14400,1.60382,0.17185,1.25760,0.17070
144,14500,1.62405,0.17112,1.27117,0.17178
145,14600,1.62754,0.17168,1.25525,0.17064
146,14700,1.59829,0.16881,1.30857,0.17134
147,14800,1.59665,0.16973,1.27911,0.17095
148,14900,1.60822,0.16972,1.27085,0.16919
149,15000,1.65402,0.17081,1.26824,0.16908
150,15100,1.63971,0.17036,1.26689,0.16845
151,15200,1.62865,0.17017,1.28101,0.17192
152,15300,1.62882,0.16951,1.30598,0.17018
153,15400,1.63872,0.16857,1.29573,0.16847
154,15500,1.60560,0.16855,1.28576,0.16668
155,15600,1.59203,0.16763,1.31010,0.16745
156,15700,1.66889,0.16829,1.30078,0.16817
157,15800,1.62905,0.16930,1.30588,0.16898
158,15900,1.62209,0.16796,1.33410,0.16746
159,16000,1.63020,0.16836,1.33238,0.16760
160,16100,1.61638,0.16748,1.30909,0.16705
161,16200,1.63713,0.16771,1.33123,0.16772
162,16300,1.58407,0.16451,1.35391,0.16750
163,16400,1.58640,0.16699,1.33007,0.16541
164,16500,1.62835,0.16756,1.33961,0.16599
165,16600,1.62105,0.16496,1.38355,0.16722
166,16700,1.58386,0.16496,1.31990,0.16489
167,16800,1.59293,0.16566,1.35072,0.16456
168,16900,1.62173,0.16612,1.34674,0.16566
169,17000,1.57035,0.16542,1.38351,0.16556
170,17100,1.60726,0.16481,1.32541,0.16375
171,17200,1.59908,0.16314,1.41055,0.16437
172,17300,1.60375,0.16683,1.38061,0.16553
173,17400,1.55672,0.16298,1.39741,0.16502
174,17500,1.60046,0.16556,1.38975,0.16444
175,17600,1.60778,0.16566,1.36136,0.16473
176,17700,1.60847,0.16450,1.36741,0.16440
177,17800,1.63350,0.16402,1.41855,0.16427
178,17900,1.57936,0.16329,1.39005,0.16420
179,18000,1.59502,0.16367,1.46669,0.16517
180,18100,1.61474,0.16400,1.44291,0.16367
181,18200,1.55805,0.16378,1.41804,0.16352
182,18300,1.60073,0.16152,1.37821,0.16218
183,18400,1.53528,0.16250,1.38475,0.16121
184,18500,1.61374,0.16441,1.40829,0.16212
185,18600,1.57802,0.16128,1.44293,0.16216
186,18700,1.59283,0.16306,1.43153,0.16174
187,18800,1.56319,0.16044,1.41615,0.15978
188,18900,1.57560,0.16054,1.44443,0.16136
189,19000,1.56514,0.15992,1.42399,0.16009
190,19100,1.55193,0.16016,1.43005,0.15975
191,19200,1.56172,0.16082,1.46955,0.15950
192,19300,1.55057,0.15885,1.45444,0.15981
193,19400,1.51272,0.16020,1.54790,0.16187
194,19500,1.51947,0.16071,1.46036,0.15867
195,19600,1.57589,0.16016,1.47652,0.15931
196,19700,1.54278,0.15984,1.45775,0.15737
197,19800,1.54457,0.15935,1.48019,0.15922
198,19900,1.53403,0.15633,1.50807,0.15922
199,20000,1.50607,0.15702,1.42882,0.15812
200,20100,1.58695,0.15899,1.51378,0.15957
201,20200,1.57880,0.15645,1.46530,0.15477
202,20300,1.58286,0.15846,1.49386,0.15827
203,20400,1.50254,0.15690,1.47168,0.15513
204,20500,1.54867,0.15632,1.46960,0.15524
205,20600,1.55221,0.15626,1.48705,0.15565
206,20700,1.52373,0.15610,1.53371,0.15767
207,20800,1.60491,0.15532,1.47219,0.15625
208,20900,1.55767,0.15495,1.49127,0.15331
209,21000,1.55926,0.15492,1.47754,0.15356
210,21100,1.49798,0.15479,1.49012,0.15440
211,21200,1.53349,0.15450,1.56949,0.15515
212,21300,1.55892,0.15585,1.52972,0.15592
213,21400,1.52355,0.15334,1.49163,0.15411
214,21500,1.54051,0.15360,1.48000,0.15382
215,21600,1.52449,0.15347,1.56999,0.15406
216,21700,1.55332,0.15520,1.56689,0.15248
217,21800,1.57858,0.15272,1.51119,0.15182
218,21900,1.53096,0.15284,1.51478,0.15149
219,22000,1.51167,0.15167,1.51616,0.15171
220,22100,1.48412,0.15182,1.55245,0.15242
221,22200,1.50947,0.15178,1.51212,0.15139
222,22300,1.47775,0.15135,1.52373,0.15254
223,22400,1.56030,0.15306,1.49717,0.14984
224,22500,1.46334,0.15087,1.53356,0.15082
225,22600,1.50928,0.15162,1.54574,0.15094
226,22700,1.53925,0.15117,1.55955,0.15044
227,22800,1.46122,0.14969,1.50436,0.15031
228,22900,1.52624,0.15038,1.54173,0.14894
229,23000,1.51247,0.14919,1.55544,0.14976
230,23100,1.51315,0.15144,1.55663,0.14987
231,23200,1.54068,0.14940,1.52658,0.15112
232,23300,1.52426,0.14787,1.53249,0.14758
233,23400,1.47494,0.14808,1.56645,0.15006
234,23500,1.52798,0.14876,1.55353,0.14844
235,23600,1.50799,0.14781,1.54074,0.14892
236,23700,1.49658,0.14847,1.50240,0.14873
237,23800,1.53136,0.14824,1.49305,0.14765
238,23900,1.51391,0.14865,1.51354,0.14703
239,24000,1.50983,0.14677,1.56704,0.14796
240,24100,1.51142,0.14789,1.49422,0.14778
241,24200,1.50378,0.14728,1.50357,0.14844
242,24300,1.50242,0.14781,1.50628,0.14623
243,24400,1.51113,0.14742,1.48879,0.14438
244,24500,1.46965,0.14592,1.57765,0.14701
245,24600,1.46120,0.14662,1.53013,0.14610
246,24700,1.45392,0.14414,1.54307,0.14565
247,24800,1.49988,0.14474,1.50077,0.14495
248,24900,1.46161,0.14552,1.56440,0.14672
