iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
89,9000,0.99936,0.18954,1.09465,1.43364,0.22135,1.60631
90,9100,0.99300,0.18749,1.09467,1.46963,0.21877,1.60664
91,9200,1.00289,0.18498,1.09507,1.43279,0.21613,1.60627
92,9300,1.02648,0.18310,1.09458,1.40542,0.21403,1.60590
93,9400,0.98941,0.18092,1.09478,1.47194,0.21144,1.60555
94,9500,1.03166,0.17860,1.09480,1.42130,0.20899,1.60550
95,9600,1.00718,0.17651,1.09506,1.39788,0.20645,1.60500
96,9700,1.00401,0.17433,1.09499,1.49503,0.20418,1.60536
97,9800,1.02368,0.17258,1.09372,1.44776,0.20140,1.60538
98,9900,1.00077,0.17054,1.09415,1.46911,0.19931,1.60539
99,10000,0.99729,0.16825,1.09508,1.47789,0.19726,1.60415
100,10100,1.00445,0.16636,1.09415,1.43832,0.19478,1.60412
101,10200,1.01302,0.16431,1.09523,1.39907,0.19232,1.60446
102,10300,0.98822,0.16232,1.09466,1.45651,0.19021,1.60359
103,10400,0.99579,0.16028,1.09473,1.39865,0.18798,1.60364
104,10500,0.99657,0.15830,1.09502,1.42443,0.18531,1.60410
105,10600,0.99524,0.15644,1.09502,1.42713,0.18298,1.60366
106,10700,1.00424,0.15434,1.09476,1.45418,0.18112,1.60364
107,10800,1.00436,0.15251,1.09530,1.37578,0.17895,1.60308
108,10900,1.02246,0.15036,1.09536,1.42888,0.17686,1.60267
109,11000,1.01455,0.14883,1.09509,1.41152,0.17430,1.60337
110,11100,1.00730,0.14685,1.09567,1.46544,0.17254,1.60245
111,11200,1.01173,0.14497,1.09532,1.44946,0.17030,1.60268
112,11300,1.01842,0.14335,1.09506,1.42650,0.16782,1.60214
113,11400,1.02605,0.14158,1.09494,1.47090,0.16579,1.60213
114,11500,1.03485,0.13981,1.09535,1.38827,0.16385,1.60150
115,11600,1.01796,0.13784,1.09562,1.39425,0.16166,1.60184
116,11700,1.01289,0.13633,1.09464,1.41640,0.15959,1.60114
117,11800,1.01960,0.13449,1.09523,1.44903,0.15784,1.60077
118,11900,1.00529,0.13275,1.09591,1.44967,0.15535,1.60068
119,12000,1.01114,0.13105,1.09621,1.43512,0.15353,1.60022
120,12100,1.01441,0.12943,1.09612,1.45365,0.15161,1.59983
121,12200,1.00834,0.12780,1.09541,1.48999,0.14972,1.59999
122,12300,1.01843,0.12611,1.09607,1.45243,0.14781,1.59878
123,12400,1.01058,0.12451,1.09561,1.42623,0.14559,1.59946
124,12500,1.00500,0.12272,1.09620,1.40779,0.14371,1.59909
125,12600,1.00255,0.12119,1.09530,1.45836,0.14203,1.59860
126,12700,1.00608,0.11956,1.09643,1.48093,0.14006,1.59855
127,12800,0.99973,0.11785,1.09626,1.46402,0.13767,1.59865
128,12900,0.98629,0.11645,1.09595,1.44628,0.13604,1.59827
129,13000,0.99934,0.11472,1.09622,1.40244,0.13450,1.59788
130,13100,1.01966,0.11291,1.09629,1.44253,0.13240,1.59723
131,13200,1.01984,0.11140,1.09635,1.48662,0.13052,1.59710
132,13300,1.00758,0.10976,1.09635,1.45900,0.12931,1.59569
133,13400,1.00965,0.10825,1.09616,1.44636,0.12713,1.59604
134,13500,1.00149,0.10676,1.09622,1.43325,0.12545,1.59584
135,13600,0.99722,0.10508,1.09608,1.41951,0.12362,1.59618
136,13700,1.00046,0.10368,1.09586,1.44879,0.12202,1.59502
137,13800,0.99392,0.10216,1.09688,1.39455,0.12009,1.59572
138,13900,0.99610,0.10071,1.09634,1.40971,0.11848,1.59464
139,14000,0.99558,0.09916,1.09671,1.39438,0.11679,1.59457
140,14100,1.03614,0.09776,1.09731,1.47012,0.11524,1.59398
141,14200,1.00937,0.09633,1.09731,1.52425,0.11343,1.59358
142,14300,1.00557,0.09482,1.09737,1.41657,0.11171,1.59365
143,14400,1.00533,0.09356,1.09728,1.44600,0.11015,1.59361
144,14500,0.99945,0.09213,1.09696,1.40959,0.10860,1.59265
145,14600,1.00962,0.09074,1.09750,1.42466,0.10698,1.59249
146,14700,0.99272,0.08947,1.09660,1.44193,0.10560,1.59176
147,14800,1.01156,0.08808,1.09725,1.49679,0.10387,1.59151
148,14900,1.02745,0.08666,1.09757,1.48359,0.10243,1.59166
149,15000,1.03092,0.08543,1.09787,1.48603,0.10088,1.59177
150,15100,0.98140,0.08413,1.09819,1.42819,0.09947,1.59105
151,15200,0.99249,0.08295,1.09744,1.41316,0.09786,1.59071
152,15300,1.01556,0.08159,1.09788,1.40865,0.09650,1.59016
153,15400,1.00990,0.08040,1.09666,1.47146,0.09507,1.58993
154,15500,0.97984,0.07934,1.09770,1.42994,0.09364,1.58975
155,15600,0.98792,0.07792,1.09798,1.47148,0.09203,1.59009
156,15700,1.02716,0.07674,1.09788,1.46306,0.09095,1.58888
157,15800,1.00955,0.07557,1.09784,1.47377,0.08939,1.58965
158,15900,1.02705,0.07435,1.09822,1.43587,0.08779,1.58933
159,16000,1.03814,0.07310,1.09792,1.41744,0.08688,1.58842
160,16100,1.02179,0.07204,1.09799,1.41661,0.08523,1.58874
161,16200,1.00445,0.07086,1.09853,1.44553,0.08416,1.58828
162,16300,1.00802,0.06973,1.09856,1.41527,0.08275,1.58702
163,16400,0.99381,0.06859,1.09879,1.42660,0.08147,1.58719
164,16500,1.01361,0.06746,1.09830,1.44748,0.08052,1.58641
165,16600,1.05279,0.06634,1.09819,1.42882,0.07891,1.58671
166,16700,1.00778,0.06539,1.09865,1.42982,0.07761,1.58634
167,16800,0.98113,0.06415,1.09873,1.49456,0.07664,1.58606
168,16900,1.00537,0.06313,1.09842,1.45381,0.07544,1.58470
169,17000,0.97632,0.06207,1.09825,1.39503,0.07420,1.58589
170,17100,0.99314,0.06103,1.09830,1.42723,0.07292,1.58483
171,17200,0.98962,0.06009,1.09877,1.42215,0.07177,1.58405
172,17300,1.01036,0.05908,1.09895,1.43211,0.07066,1.58338
173,17400,0.98545,0.05816,1.09884,1.44260,0.06970,1.58431
174,17500,1.02468,0.05712,1.09929,1.44249,0.06861,1.58361
175,17600,0.99230,0.05609,1.09907,1.46277,0.06743,1.58307
176,17700,1.00572,0.05515,1.09872,1.41452,0.06630,1.58366
177,17800,1.00759,0.05421,1.09904,1.40230,0.06543,1.58339
178,17900,1.00800,0.05335,1.09948,1.37011,0.06423,1.58269
179,18000,1.00423,0.05236,1.09928,1.46532,0.06325,1.58182
180,18100,1.02300,0.05153,1.09912,1.44528,0.06226,1.58156
181,18200,1.01554,0.05082,1.09884,1.36285,0.06147,1.58105
182,18300,0.99375,0.04979,1.09904,1.42504,0.06024,1.58141
183,18400,0.99454,0.04898,1.09842,1.40428,0.05934,1.58063
184,18500,1.01314,0.04812,1.09967,1.41931,0.05843,1.58099
185,18600,1.00224,0.04735,1.09911,1.42816,0.05735,1.57957
186,18700,1.00285,0.04647,1.09909,1.43014,0.05638,1.57978
187,18800,0.98973,0.04569,1.09905,1.42690,0.05549,1.57910
188,18900,0.97700,0.04501,1.09916,1.42765,0.05484,1.57844
189,19000,0.99624,0.04431,1.09900,1.40269,0.05379,1.57865
190,19100,1.00466,0.04350,1.09855,1.41692,0.05302,1.57910
191,19200,1.00259,0.04277,1.09899,1.40297,0.05226,1.57861
192,19300,0.97752,0.04215,1.09898,1.42233,0.05149,1.57733
193,19400,0.99372,0.04144,1.09929,1.36972,0.05052,1.57748
194,19500,0.97023,0.04089,1.09906,1.36924,0.05004,1.57629
195,19600,1.00855,0.04005,1.09929,1.43676,0.04918,1.57685
196,19700,0.99327,0.03950,1.09943,1.38867,0.04846,1.57750
197,19800,0.98284,0.03863,1.09955,1.38926,0.04775,1.57453
198,19900,0.99701,0.03818,1.09957,1.37964,0.04719,1.57405
199,20000,0.98593,0.03754,1.09948,1.40303,0.04650,1.57528
200,20100,1.01814,0.03692,1.09917,1.36907,0.04588,1.57416
201,20200,1.03020,0.03628,1.09854,1.42041,0.04524,1.57339
202,20300,1.01030,0.03566,1.09994,1.40787,0.04460,1.57396
203,20400,0.99124,0.03512,1.09918,1.40414,0.04388,1.57281
204,20500,1.01245,0.03459,1.09977,1.35589,0.04323,1.57084
205,20600,0.99222,0.03397,1.09992,1.43022,0.04276,1.57157
206,20700,0.99837,0.03349,1.09937,1.36366,0.04214,1.57054
207,20800,1.01861,0.03301,1.10006,1.42147,0.04153,1.56979
208,20900,1.00829,0.03249,1.09931,1.45368,0.04101,1.57017
209,21000,1.00852,0.03199,1.09924,1.36548,0.04052,1.56976
210,21100,1.01494,0.03136,1.10000,1.41892,0.04003,1.56877
211,21200,1.01498,0.03085,1.09987,1.40813,0.03941,1.56964
212,21300,0.98955,0.03036,1.10023,1.42226,0.03899,1.56730
213,21400,1.00085,0.02999,1.09952,1.43282,0.03848,1.56727
214,21500,1.00264,0.02958,1.09959,1.43670,0.03801,1.56764
215,21600,0.98396,0.02904,1.09966,1.46338,0.03752,1.56806
216,21700,1.00978,0.02857,1.09980,1.42036,0.03708,1.56703
217,21800,1.02014,0.02814,1.09916,1.38267,0.03657,1.56644
218,21900,1.02309,0.02771,1.09946,1.41528,0.03615,1.56685
219,22000,1.00854,0.02726,1.09955,1.42313,0.03588,1.56657
220,22100,0.99259,0.02682,1.09956,1.45769,0.03527,1.56508
221,22200,0.99206,0.02644,1.09934,1.39473,0.03490,1.56487
222,22300,0.99397,0.02606,1.09912,1.39734,0.03436,1.56432
223,22400,1.00150,0.02565,1.09920,1.38739,0.03404,1.56397
