iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
0,100,-0.08985,0.94896,-0.09310,0.95815,-0.09139,0.94145
1,200,-0.16136,0.78716,-0.17554,0.78385,-0.19369,0.75843
2,300,-0.21025,0.74753,-0.23941,0.69765,-0.17504,0.75199
3,400,-0.24102,0.78769,-0.22556,0.80462,-0.24994,0.71205
4,500,-0.23843,0.81192,-0.27306,0.74550,-0.21091,0.79663
5,600,-0.25059,0.81874,-0.26923,0.83525,-0.24613,0.82029
6,700,-0.27782,0.80270,-0.28866,0.82304,-0.24016,0.81955
7,800,-0.29949,0.85166,-0.30505,0.82271,-0.26200,0.84118
8,900,-0.32055,0.83909,-0.30754,0.83327,-0.27346,0.85378
9,1000,-0.32265,0.78422,-0.31037,0.86861,-0.30415,0.80524
10,1100,-0.36945,0.83028,-0.31996,0.87808,-0.31162,0.80715
11,1200,-0.35567,0.83630,-0.32877,0.81792,-0.33544,0.82243
12,1300,-0.34603,0.86728,-0.32309,0.84723,-0.33371,0.85569
13,1400,-0.40471,0.83041,-0.33061,0.83363,-0.34903,0.82825
14,1500,-0.40826,0.85016,-0.34513,0.84687,-0.35414,0.85061
15,1600,-0.36966,0.89247,-0.38614,0.81578,-0.35287,0.81937
16,1700,-0.40786,0.83731,-0.38691,0.84747,-0.36650,0.87086
17,1800,-0.41280,0.85021,-0.37752,0.84850,-0.39662,0.88328
18,1900,-0.43213,0.79363,-0.39562,0.83599,-0.41694,0.82438
19,2000,-0.41295,0.87448,-0.41927,0.85817,-0.43597,0.87586
20,2100,-0.44736,0.87282,-0.45550,0.82481,-0.45528,0.86859
21,2200,-0.45341,0.83669,-0.43292,0.88822,-0.44176,0.86497
22,2300,-0.42497,0.83050,-0.46570,0.86606,-0.45438,0.81955
23,2400,-0.46696,0.83500,-0.48497,0.86078,-0.49569,0.83524
24,2500,-0.49685,0.85973,-0.47956,0.87645,-0.48320,0.87592
25,2600,-0.49977,0.90260,-0.47891,0.83744,-0.51353,0.89578
26,2700,-0.51035,0.86227,-0.48338,0.82467,-0.51398,0.94333
27,2800,-0.51716,0.83444,-0.49856,0.88951,-0.54224,0.87770
28,2900,-0.50792,0.86183,-0.51178,0.84340,-0.52466,0.88734
29,3000,-0.51891,0.86028,-0.51463,0.83447,-0.56188,0.87325
30,3100,-0.51316,0.90015,-0.51772,0.81746,-0.51732,0.91610
31,3200,-0.54977,0.87826,-0.53987,0.89245,-0.55569,0.93265
32,3300,-0.55234,0.86604,-0.56715,0.83163,-0.54460,0.88898
33,3400,-0.55990,0.90674,-0.58890,0.84835,-0.55775,0.87261
34,3500,-0.56325,0.83335,-0.56610,0.90885,-0.56207,0.87972
35,3600,-0.58669,0.84165,-0.57960,0.83959,-0.60243,0.89344
36,3700,-0.60012,0.89979,-0.57638,0.89245,-0.59870,0.87514
37,3800,-0.60371,0.86922,-0.56639,0.85426,-0.59870,0.90895
38,3900,-0.61173,0.86407,-0.58545,0.85211,-0.60557,0.92966
39,4000,-0.60904,0.86033,-0.58834,0.84867,-0.60191,0.86006
40,4100,-0.62682,0.88859,-0.58106,0.83859,-0.60894,0.89749
41,4200,-0.62695,0.88058,-0.58011,0.88984,-0.61072,0.87630
42,4300,-0.61220,0.90051,-0.59857,0.86689,-0.63801,0.84481
43,4400,-0.65529,0.85013,-0.58315,0.92591,-0.62671,0.88923
44,4500,-0.65261,0.88635,-0.60795,0.87934,-0.62683,0.86810
45,4600,-0.66006,0.91873,-0.61615,0.84403,-0.61872,0.87327
46,4700,-0.65708,0.88737,-0.58483,0.92610,-0.61292,0.89526
47,4800,-0.65655,0.85661,-0.59330,0.87471,-0.62961,0.89714
48,4900,-0.65174,0.90727,-0.59536,0.90823,-0.63902,0.89077
49,5000,-0.62194,0.99369,-0.61420,0.89238,-0.63470,0.89753
50,5100,-0.66447,0.85367,-0.62022,0.87317,-0.63195,0.91856
51,5200,-0.66108,0.91393,-0.60898,0.94734,-0.64405,0.86552
52,5300,-0.65928,0.88934,-0.61671,0.91756,-0.64616,0.90054
53,5400,-0.67759,0.91407,-0.63513,0.88776,-0.66651,0.88322
54,5500,-0.65259,0.92415,-0.64450,0.89560,-0.66922,0.84603
55,5600,-0.65659,0.88698,-0.65025,0.88803,-0.68099,0.86494
56,5700,-0.62744,0.92644,-0.62830,0.91964,-0.63123,0.93375
57,5800,-0.66685,0.84956,-0.65141,0.90651,-0.67586,0.83082
58,5900,-0.64729,0.92886,-0.65033,0.91104,-0.66199,0.87635
