iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
89,9000,1.50359,1.61013,1.02571,1.78388,1.22080,1.83193
90,9100,0.93048,1.59914,1.02802,1.79084,1.28551,1.83174
91,9200,1.03015,1.58692,1.26680,1.77226,1.28252,1.82409
92,9300,1.50286,1.57088,1.08623,1.75125,1.09241,1.80939
93,9400,0.98092,1.57556,1.02310,1.76408,1.05448,1.79731
94,9500,1.04660,1.57048,1.09114,1.76320,1.08943,1.80055
95,9600,1.46606,1.56954,1.41903,1.75318,1.55565,1.77013
96,9700,1.11408,1.54679,1.19424,1.73956,1.10060,1.77111
97,9800,1.46408,1.53427,1.02301,1.72881,1.08541,1.75846
98,9900,1.28464,1.53050,1.10880,1.72832,1.37123,1.77170
99,10000,0.96910,1.52699,1.07067,1.71522,1.35220,1.75138
100,10100,1.52667,1.52146,1.00374,1.71944,1.12411,1.74027
101,10200,1.23047,1.50379,1.06115,1.69401,1.31971,1.74663
102,10300,1.42281,1.49342,1.34873,1.70830,1.05936,1.74981
103,10400,1.59770,1.48313,1.55471,1.69110,1.11143,1.73969
104,10500,1.45681,1.47913,1.41525,1.69453,1.10603,1.73396
105,10600,1.70101,1.47983,1.05695,1.68346,1.30268,1.74113
106,10700,1.11312,1.47189,1.15252,1.66720,1.26960,1.72551
107,10800,1.53336,1.46317,1.34977,1.66094,1.12347,1.71654
108,10900,1.47405,1.45232,1.11325,1.65164,1.42925,1.71151
109,11000,1.04508,1.43364,1.34024,1.64264,1.10714,1.69956
110,11100,1.22838,1.44487,1.34451,1.62568,0.98577,1.70018
111,11200,0.95107,1.42608,1.16363,1.64164,1.00240,1.69624
112,11300,1.60184,1.40400,1.32950,1.63691,1.19143,1.69164
113,11400,0.98524,1.40036,0.97581,1.61330,1.95329,1.66066
114,11500,1.17221,1.37506,1.28375,1.61369,1.68691,1.66595
115,11600,1.22614,1.38408,1.95403,1.58736,1.31081,1.64940
116,11700,1.30974,1.38489,2.02632,1.60241,1.37485,1.64281
117,11800,1.78813,1.37175,1.00692,1.58000,1.41166,1.64914
118,11900,0.95549,1.35747,1.08707,1.58113,1.43929,1.63557
119,12000,1.35585,1.35056,1.15041,1.56043,1.17650,1.63954
120,12100,1.45693,1.34211,1.25217,1.55377,0.99983,1.62286
121,12200,1.16216,1.33239,1.25200,1.55035,1.33171,1.61785
122,12300,1.56676,1.32970,2.29968,1.53882,1.01282,1.60147
123,12400,1.32525,1.32991,1.30751,1.53833,1.01502,1.60172
124,12500,1.52755,1.32378,0.93336,1.52678,1.11488,1.59990
125,12600,1.02807,1.30782,1.57735,1.52803,1.35938,1.58045
126,12700,2.07393,1.29156,1.09083,1.51430,1.10205,1.59050
127,12800,1.10737,1.28529,1.04243,1.49584,1.31546,1.57910
128,12900,1.14177,1.28467,1.32701,1.48140,0.99592,1.57709
129,13000,1.15032,1.27718,0.94274,1.48376,1.05513,1.55655
130,13100,1.33863,1.26554,1.32232,1.46623,1.36420,1.54725
131,13200,1.18689,1.26399,1.17375,1.45480,1.47115,1.55273
132,13300,1.44161,1.25731,2.06390,1.47669,1.29942,1.54569
133,13400,1.03382,1.24926,1.05397,1.46092,1.32122,1.53608
134,13500,0.96323,1.24410,1.13785,1.44757,1.10705,1.54185
135,13600,1.38168,1.22540,1.44059,1.44149,1.01778,1.52178
136,13700,1.00401,1.23101,0.96894,1.42699,1.30838,1.50834
137,13800,1.49369,1.22789,1.21661,1.43157,1.02695,1.50174
138,13900,0.97830,1.20617,1.46406,1.40619,1.13848,1.50165
139,14000,1.18509,1.19999,1.04282,1.41481,1.37552,1.49204
140,14100,1.51613,1.20203,1.06489,1.40206,1.39773,1.47727
141,14200,1.94994,1.19058,1.32439,1.39066,1.38875,1.47975
142,14300,1.29491,1.18075,1.27299,1.39393,1.30920,1.45438
143,14400,1.51001,1.17073,1.30113,1.39264,1.15744,1.47150
144,14500,0.99179,1.18140,1.24767,1.37754,1.57697,1.44406
145,14600,1.24750,1.16871,1.20866,1.36837,1.35950,1.45351
146,14700,1.53078,1.16086,1.06072,1.36319,1.23026,1.44835
147,14800,1.49336,1.14588,1.16130,1.35753,1.03624,1.43483
148,14900,1.60835,1.14630,1.29222,1.34978,1.18185,1.44121
149,15000,1.67212,1.13738,1.36391,1.34710,1.10162,1.43400
150,15100,1.29792,1.12504,1.34304,1.34102,1.18701,1.40165
151,15200,1.40838,1.12828,1.74830,1.33888,1.08840,1.40464
152,15300,1.77431,1.11654,1.24673,1.32298,1.46481,1.41448
153,15400,1.28247,1.11753,1.71856,1.32423,1.07555,1.39761
154,15500,1.31969,1.10693,1.07674,1.31016,1.24077,1.38414
