iteration,episode,1_iql_loss,2_iql_loss
212,21300,0.98737,0.83289
213,21400,1.01266,0.82134
214,21500,0.98140,0.79699
215,21600,0.95329,0.83097
216,21700,0.98842,0.82150
217,21800,0.95784,0.81199
218,21900,0.99201,0.81780
219,22000,1.00216,0.81637
220,22100,0.97356,0.85636
221,22200,0.96649,0.83005
222,22300,0.98438,0.82152
223,22400,0.98854,0.83877
224,22500,0.97064,0.83691
225,22600,0.98306,0.84650
226,22700,1.00587,0.84098
227,22800,1.00265,0.88381
228,22900,0.98412,0.82730
229,23000,1.00993,0.84370
230,23100,0.97640,0.83282
231,23200,1.02388,0.86578
232,23300,0.99933,0.86489
233,23400,1.02086,0.85199
234,23500,0.98669,0.85062
235,23600,1.02072,0.84631
236,23700,0.96028,0.86571
237,23800,1.01633,0.83497
238,23900,1.01272,0.85815
239,24000,1.02622,0.86806
240,24100,1.01727,0.87330
241,24200,1.00769,0.86066
242,24300,0.97500,0.84580
243,24400,0.96170,0.85864
244,24500,0.96070,0.87072
245,24600,0.96336,0.90804
246,24700,0.93183,0.84866
247,24800,0.98153,0.90558
248,24900,0.97317,0.89965
