iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
44,4500,-25.82754,1.88090,0.66077,1.62901,-31.81881,2.63802,0.85462,1.60031,-30.26839,1.98694,0.83124,1.59627
45,4600,-25.93593,2.14125,0.64711,1.62892,-31.89366,2.97703,0.84384,1.59934,-30.50543,2.82081,0.81358,1.59655
46,4700,-25.79807,1.86394,0.64127,1.62781,-32.01615,3.86511,0.82444,1.59959,-30.75765,2.66241,0.80861,1.59615
47,4800,-26.06089,1.81238,0.63021,1.62763,-32.24122,4.66235,0.81450,1.59901,-30.78897,3.26614,0.80251,1.59465
48,4900,-25.58588,2.73255,0.62355,1.62675,-32.27823,4.47421,0.80323,1.59854,-31.21182,3.83221,0.80128,1.59518
49,5000,-25.91774,1.81616,0.61456,1.62630,-32.94764,4.06102,0.80069,1.59777,-31.10809,3.99217,0.79044,1.59401
50,5100,-26.19588,1.87269,0.60873,1.62708,-32.60338,3.50950,0.78661,1.59638,-31.35097,2.87061,0.77681,1.59458
51,5200,-26.35287,2.52398,0.59877,1.62727,-33.00023,2.22147,0.77934,1.59597,-31.27376,2.07603,0.76617,1.59494
52,5300,-26.22551,1.66181,0.59510,1.62609,-32.53284,1.64704,0.76762,1.59487,-31.23042,1.74949,0.75001,1.59476
53,5400,-26.24817,1.52618,0.58819,1.62674,-32.77844,1.90640,0.75183,1.59543,-31.41316,2.21273,0.74458,1.59499
54,5500,-26.34887,2.43137,0.57898,1.62594,-32.75816,2.18999,0.73712,1.59518,-31.60741,2.56152,0.73464,1.59454
55,5600,-26.52593,3.03046,0.57069,1.62640,-32.53489,2.53077,0.73098,1.59421,-31.47243,2.96276,0.72070,1.59448
56,5700,-26.65602,2.44876,0.56199,1.62546,-32.81420,2.52705,0.72094,1.59327,-31.60315,2.71919,0.71520,1.59397
57,5800,-26.41063,2.80847,0.55376,1.62570,-32.41071,1.78622,0.70891,1.59340,-31.58720,1.56585,0.71093,1.59333
58,5900,-26.58255,1.80842,0.54856,1.62551,-32.56627,1.63495,0.69823,1.59399,-31.49692,1.38793,0.69968,1.59326
59,6000,-26.34630,1.54494,0.54320,1.62471,-32.20550,1.54249,0.68654,1.59425,-31.79660,2.89183,0.69948,1.59263
60,6100,-26.46828,1.36845,0.53073,1.62507,-32.12331,1.59439,0.68015,1.59356,-31.50682,1.61249,0.67810,1.59316
61,6200,-26.46068,2.29007,0.52741,1.62524,-32.12004,1.55169,0.67210,1.59349,-31.68610,1.40676,0.67206,1.59207
62,6300,-26.45385,1.23640,0.52024,1.62445,-31.72951,1.69931,0.66185,1.59354,-31.43708,1.71044,0.66899,1.59160
63,6400,-26.51259,1.93715,0.51539,1.62383,-31.74844,1.50125,0.65062,1.59321,-31.47835,1.46505,0.65958,1.59163
64,6500,-26.56842,1.51895,0.50817,1.62416,-31.50483,1.49392,0.64765,1.59287,-31.25671,1.28639,0.64899,1.59175
65,6600,-26.21452,1.64240,0.50274,1.62386,-31.55411,1.65830,0.63749,1.59232,-31.08525,2.46395,0.64834,1.59104
66,6700,-26.28894,1.25502,0.49599,1.62381,-31.45072,1.57126,0.62309,1.59219,-30.93412,1.58877,0.63685,1.59041
67,6800,-26.21694,1.41425,0.48859,1.62330,-31.23312,1.66053,0.61523,1.59155,-30.80044,2.84287,0.62582,1.58942
68,6900,-26.33478,1.35274,0.48234,1.62325,-30.85871,1.89178,0.61186,1.59038,-30.96311,1.93848,0.61758,1.58989
69,7000,-25.89877,1.17739,0.47523,1.62317,-30.85320,1.77625,0.60140,1.59075,-30.69252,2.05068,0.60942,1.58948
70,7100,-25.90286,2.31154,0.47169,1.62214,-30.58849,2.47473,0.59379,1.59025,-30.76713,1.43093,0.60634,1.58948
71,7200,-25.81247,1.62390,0.46385,1.62277,-30.37338,2.49115,0.58121,1.59039,-30.62588,1.26914,0.60003,1.58862
72,7300,-25.75604,2.34063,0.46273,1.62218,-30.52526,2.98751,0.57489,1.59009,-30.62146,2.28429,0.59522,1.58842
73,7400,-25.46407,1.83689,0.45402,1.62174,-30.30393,2.43917,0.57044,1.58952,-30.89048,2.38025,0.58663,1.58864
74,7500,-25.53843,2.65449,0.45373,1.62133,-30.13700,1.99728,0.56292,1.58902,-30.44030,1.66022,0.58193,1.58812
75,7600,-25.27801,1.79115,0.44586,1.62164,-30.04784,2.11411,0.55703,1.58828,-30.34146,2.10645,0.57472,1.58738
76,7700,-25.74121,2.26285,0.44042,1.62124,-30.05876,2.72217,0.54727,1.58832,-30.28592,1.49045,0.56576,1.58732
