iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
58,5900,-70.67609,3.87871,1.38782,-67.89806,11.38926,1.40098,-68.19118,11.64881,1.40275
59,6000,-69.96521,5.05766,1.36937,-67.22573,11.02088,1.38284,-68.04390,12.21410,1.37225
60,6100,-70.31656,5.38409,1.36814,-67.68213,18.26521,1.36842,-68.14271,10.64536,1.36659
61,6200,-69.97448,6.04653,1.36109,-67.69378,17.71924,1.35527,-68.16595,12.69846,1.35222
62,6300,-70.38018,7.80017,1.35807,-68.12691,10.41167,1.35649,-67.71261,11.46157,1.37696
63,6400,-69.81249,7.88186,1.37438,-67.70574,5.79205,1.36123,-67.36403,8.56498,1.36898
64,6500,-69.67229,5.40476,1.35020,-67.78407,4.27607,1.35891,-67.45740,6.63324,1.35200
65,6600,-68.90391,6.21700,1.33997,-67.62180,5.46134,1.34465,-67.93585,5.23958,1.34122
66,6700,-69.48928,6.10359,1.33853,-67.52877,15.21506,1.33030,-67.59678,4.37458,1.32196
67,6800,-69.12502,13.49931,1.32250,-67.27240,15.12785,1.31862,-67.08605,5.08570,1.32665
68,6900,-69.35974,12.08133,1.31527,-66.57148,7.77763,1.29578,-66.97141,6.93086,1.30471
69,7000,-68.13162,10.62035,1.28181,-66.61590,6.85999,1.29087,-67.09751,6.11487,1.28426
70,7100,-68.44327,8.11706,1.29511,-66.79343,6.52554,1.29245,-66.87712,5.40721,1.29017
71,7200,-67.88650,8.58885,1.27059,-66.49568,6.42352,1.25381,-66.68619,12.94705,1.25635
72,7300,-67.76658,6.23993,1.24047,-66.45942,6.04791,1.25201,-66.47876,8.85033,1.23427
73,7400,-67.07892,4.54533,1.24248,-65.76408,6.15923,1.22245,-66.48647,9.37568,1.21453
