iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
66,6700,-10.75124,0.87025,0.18774,2.01083,-10.67450,1.08078,0.18801,2.01020
67,6800,-10.63772,1.06419,0.18475,2.00747,-10.74875,0.94439,0.18424,2.00869
68,6900,-10.60122,0.96361,0.18089,2.00509,-10.61391,0.88279,0.18097,2.00561
69,7000,-10.46415,1.04557,0.17770,2.00349,-10.46802,1.00041,0.17763,2.00362
70,7100,-10.48207,0.91893,0.17392,2.00013,-10.42892,0.98749,0.17386,2.00001
71,7200,-10.33190,0.95871,0.17107,1.99734,-10.35263,1.02107,0.17051,1.99796
72,7300,-10.25186,1.00855,0.16818,1.99454,-10.27199,0.90222,0.16783,1.99526
73,7400,-10.13025,0.95799,0.16467,1.99173,-10.23861,0.96937,0.16439,1.99198
74,7500,-10.06893,0.96729,0.16121,1.98956,-10.08332,0.89176,0.16105,1.98932
75,7600,-9.99019,1.02675,0.15862,1.98658,-10.02449,0.88584,0.15801,1.98646
76,7700,-9.90857,0.90182,0.15561,1.98347,-10.00199,0.99839,0.15595,1.98344
77,7800,-9.83097,1.02119,0.15282,1.97923,-9.88562,0.88783,0.15237,1.98149
78,7900,-9.71506,0.94908,0.15005,1.97682,-9.80786,0.92323,0.14960,1.97797
79,8000,-9.63719,0.91824,0.14700,1.97453,-9.68258,0.91204,0.14727,1.97526
80,8100,-9.53146,0.97635,0.14457,1.97125,-9.62069,0.97848,0.14449,1.97196
81,8200,-9.43667,0.94493,0.14213,1.96821,-9.54753,0.95546,0.14196,1.96760
82,8300,-9.37031,0.94778,0.13957,1.96436,-9.47587,0.90479,0.13921,1.96539
83,8400,-9.31638,0.87773,0.13685,1.96201,-9.38452,0.96379,0.13697,1.96213
84,8500,-9.21521,0.93983,0.13457,1.95853,-9.25828,0.93749,0.13462,1.95983
85,8600,-9.12051,0.97824,0.13261,1.95493,-9.27003,0.87628,0.13223,1.95562
86,8700,-9.04020,0.95349,0.12997,1.95309,-9.08457,0.91585,0.13010,1.95259
87,8800,-8.99421,0.85518,0.12734,1.94973,-9.06860,0.91966,0.12790,1.94883
88,8900,-8.85852,0.98964,0.12574,1.94542,-8.99579,1.01420,0.12537,1.94722
89,9000,-8.75559,0.93601,0.12338,1.94229,-8.90654,0.90358,0.12319,1.94237
90,9100,-8.72169,0.93608,0.12148,1.93789,-8.86137,0.89340,0.12111,1.93903
91,9200,-8.65128,0.87714,0.11910,1.93476,-8.76075,0.96936,0.11915,1.93621
92,9300,-8.54426,0.94081,0.11712,1.93331,-8.67223,0.85967,0.11762,1.93232
93,9400,-8.48327,0.98276,0.11584,1.92991,-8.59078,0.92704,0.11490,1.92894
94,9500,-8.40732,1.02621,0.11392,1.92491,-8.54641,0.92436,0.11378,1.92529
95,9600,-8.30255,0.94640,0.11162,1.92096,-8.48822,0.92454,0.11210,1.92175
96,9700,-8.28074,1.04132,0.10992,1.91910,-8.40635,0.89075,0.11016,1.91821
