iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss
84,8500,-35.65601,1.42060,0.64796,-33.62918,1.04251,0.64849
85,8600,-35.53031,1.31309,0.64107,-33.46474,1.10545,0.64385
86,8700,-35.39710,1.48847,0.63271,-33.33007,1.31553,0.63340
87,8800,-35.17089,1.98686,0.62595,-33.23401,1.76358,0.62234
88,8900,-35.16726,1.89010,0.61664,-33.12316,1.40353,0.61376
89,9000,-34.94856,1.57846,0.60851,-33.08558,1.17295,0.60594
90,9100,-34.90812,1.42442,0.60060,-32.91864,1.13400,0.60003
91,9200,-34.66468,1.21880,0.58975,-32.88876,1.79512,0.59291
92,9300,-34.43250,1.21955,0.58213,-32.62386,1.43478,0.58225
93,9400,-34.48275,1.27479,0.57548,-32.57222,1.06499,0.57407
94,9500,-34.15632,1.31742,0.56670,-32.35549,1.01878,0.56525
95,9600,-34.02717,1.37556,0.55837,-32.24068,1.09395,0.55959
96,9700,-33.92721,1.45527,0.55000,-32.07999,1.20990,0.55144
97,9800,-33.72241,1.37242,0.54267,-31.84269,1.15505,0.54127
98,9900,-33.53886,1.39719,0.53219,-31.72033,1.17115,0.53401
99,10000,-33.32603,1.53782,0.52773,-31.43431,1.30399,0.52758
100,10100,-33.10886,1.52765,0.51874,-31.36811,1.15706,0.51732
101,10200,-32.83488,1.77455,0.51482,-31.14848,1.16254,0.51299
102,10300,-32.75734,1.59821,0.50466,-30.96115,1.28217,0.50457
103,10400,-32.49681,1.79865,0.49735,-30.72129,1.29810,0.49741
104,10500,-32.36633,2.01570,0.49208,-30.51302,1.22257,0.49032
105,10600,-31.99079,1.83720,0.48286,-30.31845,1.34575,0.48395
106,10700,-31.80963,1.76545,0.47692,-30.11012,1.37587,0.47610
107,10800,-31.64136,1.75492,0.47065,-29.88448,1.21890,0.46853
108,10900,-31.53516,1.60895,0.46345,-29.60725,1.25511,0.46200
109,11000,-31.25965,1.75185,0.45695,-29.52719,1.49707,0.45816
110,11100,-30.72702,1.89582,0.45318,-29.31846,1.78372,0.45189
111,11200,-30.76479,1.84309,0.44501,-29.07155,1.63425,0.44351
112,11300,-30.36516,1.78286,0.43808,-28.96987,1.36203,0.43837
113,11400,-30.20009,1.83777,0.43232,-28.66700,1.72781,0.43379
114,11500,-29.96271,1.76297,0.42650,-28.42676,1.65950,0.42615
115,11600,-29.82010,1.66111,0.42104,-28.13058,1.49600,0.42084
116,11700,-29.47488,1.50929,0.41618,-27.93162,1.42867,0.41720
117,11800,-29.20354,1.18923,0.41002,-27.60600,1.16398,0.40694
118,11900,-29.04252,1.17902,0.40389,-27.32105,1.17129,0.40424
119,12000,-28.71041,1.24119,0.39856,-27.09539,1.23939,0.40160
120,12100,-28.49526,1.56956,0.39141,-26.87253,1.27622,0.39237
121,12200,-28.23393,1.33755,0.38704,-26.58329,1.27120,0.38750
122,12300,-28.03928,1.58299,0.38144,-26.41256,1.15115,0.38089
123,12400,-27.89235,1.47862,0.37672,-26.12434,1.24167,0.37720
124,12500,-27.48488,1.36867,0.37204,-26.01228,1.32583,0.37231
125,12600,-27.43454,1.60992,0.36890,-25.82328,1.39691,0.36832
