iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
0,100,0.93336,0.95790,0.98829,0.95214
1,200,0.99114,0.98177,1.00242,0.96428
2,300,0.87860,0.98085,1.02316,0.89519
3,400,0.82253,0.88652,0.94382,0.90522
4,500,0.87647,1.03313,0.96374,0.76290
5,600,0.92570,0.96258,1.04787,0.77602
6,700,0.87843,0.93631,0.98522,0.71349
7,800,0.88810,0.90782,0.96545,0.74113
8,900,1.06015,0.94220,0.89825,0.77090
9,1000,1.10112,0.97291,0.98428,0.76663
10,1100,0.91894,0.95019,0.93504,0.77826
11,1200,0.98714,0.97536,0.99305,0.81716
12,1300,0.96339,0.94123,1.01010,0.81754
13,1400,0.96838,1.01294,1.05797,0.78010
14,1500,0.91645,1.03410,1.02974,0.81023
15,1600,0.95582,0.96609,1.06004,0.87523
16,1700,0.96961,1.00837,0.93687,0.82152
17,1800,1.01598,1.01460,1.08350,0.81790
18,1900,1.00624,1.05508,0.87891,0.77642
19,2000,1.00394,1.03731,1.01811,0.86434
20,2100,1.03907,0.99467,1.06090,0.82774
21,2200,0.97358,1.01176,1.05807,0.86829
22,2300,0.96290,1.01353,0.98540,0.90213
23,2400,0.97239,1.03473,1.00836,0.85000
24,2500,1.07023,0.99984,1.00264,0.90404
25,2600,1.01432,1.05805,1.02087,0.90606
26,2700,1.00314,0.94423,1.00734,0.94566
27,2800,1.06674,1.01385,1.03199,0.93791
28,2900,1.14916,0.98414,1.03074,0.90316
29,3000,1.06687,1.01266,1.08073,0.88180
30,3100,0.99700,1.01413,1.07916,0.87250
31,3200,1.00613,1.02578,1.04033,0.84067
32,3300,1.05501,1.07604,1.02376,0.90345
33,3400,1.05605,0.99876,0.99926,0.88248
34,3500,0.98357,1.04981,1.11584,0.92403
35,3600,1.03110,1.11441,1.04231,0.91522
36,3700,1.02618,0.99849,1.06005,0.92004
37,3800,1.12559,1.06150,1.07519,1.04663
38,3900,1.08320,1.03508,1.05338,0.96971
39,4000,1.03917,1.10446,1.06348,0.88428
40,4100,1.07014,1.10138,1.04592,0.84295
41,4200,1.09109,1.08747,1.00283,0.88391
42,4300,1.04321,1.05851,1.04823,0.91046
43,4400,1.07279,0.99233,1.03031,0.93886
44,4500,1.06156,1.05265,1.04743,0.97638
45,4600,1.03040,1.00290,1.00073,0.98638
46,4700,0.97770,1.04503,1.05836,0.92293
47,4800,1.12709,1.10686,1.07228,0.94775
48,4900,1.00415,1.11409,1.10868,0.96099
49,5000,1.04426,1.09735,1.04934,1.03961
50,5100,1.07766,1.05594,1.01044,0.97917
51,5200,1.08822,1.06352,1.03265,0.91266
52,5300,1.17295,1.13642,0.98673,0.97743
53,5400,1.15217,1.01766,1.05926,0.95077
54,5500,1.11811,1.09929,1.06264,0.98810
55,5600,0.98431,1.03424,1.08654,0.99423
56,5700,1.13215,1.17227,1.08809,0.97425
57,5800,0.97872,1.08102,1.08336,1.01058
58,5900,1.04811,1.14050,1.03758,0.96484
59,6000,1.04131,1.04768,1.11135,1.00718
60,6100,1.03107,0.99108,1.06755,0.97413
61,6200,1.08560,1.07014,1.05692,0.99957
62,6300,1.07390,1.13742,1.07817,0.97897
63,6400,1.09123,1.07623,1.09530,0.92560
64,6500,1.08774,1.14423,1.07597,0.99274
65,6600,1.08665,1.11232,1.13604,1.02944
66,6700,1.06800,1.10549,1.06906,1.02883
67,6800,1.12078,1.10573,1.12358,0.96827
68,6900,1.03447,1.07688,1.07328,0.99292
69,7000,1.09737,1.10596,1.10398,0.95133
70,7100,1.04521,1.06944,1.02940,1.01219
71,7200,1.09970,1.12414,1.07216,0.96950
72,7300,1.02228,1.10200,1.12145,0.98169
73,7400,1.07257,1.02834,1.12446,1.00580
74,7500,1.08048,1.13684,1.13543,1.00285
75,7600,1.15312,1.12606,1.11826,1.02577
76,7700,1.14005,1.08531,1.05032,0.96596
77,7800,1.07844,1.09062,1.10461,0.97443
78,7900,1.11065,1.07021,1.08082,0.97222
79,8000,1.13987,1.06426,1.14846,0.98582
80,8100,1.16457,1.15604,1.07958,1.01717
81,8200,1.10618,1.11579,1.11591,0.97971
82,8300,1.09010,1.01273,1.10140,0.98808
83,8400,1.12211,1.09093,1.13030,1.00850
84,8500,1.18742,1.04591,1.08350,1.00732
85,8600,1.09806,1.10422,1.06055,1.01092
