iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-2.00675,3.99087,0.35602,-2.00100,3.07979,0.31946,-1.93761,2.65155,0.29666,-1.98559,2.44347,0.28214
1,200,-1.81663,1.72002,0.24089,-1.78741,1.55555,0.23448,-1.73330,1.42229,0.23108,-1.66908,1.12142,0.22577
2,300,-1.94341,1.67548,0.23292,-1.92190,1.48336,0.22672,-1.90668,1.47117,0.22246,-1.84809,1.10103,0.22178
3,400,-2.18296,1.58831,0.22729,-2.18038,1.48195,0.22422,-2.13513,1.47349,0.22015,-2.09205,1.09376,0.22040
4,500,-2.49880,1.61117,0.22859,-2.50136,1.56190,0.22606,-2.41417,1.44480,0.22411,-2.41312,1.07026,0.22369
5,600,-2.69931,1.49374,0.22699,-2.71924,1.48675,0.22649,-2.68599,1.49297,0.22389,-2.72426,1.01323,0.22330
6,700,-2.99856,1.58598,0.22551,-3.03581,1.52819,0.22690,-2.91382,1.41341,0.22543,-2.98502,1.01889,0.22443
7,800,-3.19133,1.53145,0.22716,-3.24560,1.54779,0.22673,-3.16287,1.44196,0.22721,-3.25341,1.14636,0.22335
8,900,-3.47351,1.59460,0.22960,-3.51141,1.65409,0.22725,-3.46400,1.59842,0.22575,-3.55684,1.14392,0.22564
9,1000,-3.74823,1.54174,0.22660,-3.78802,1.67206,0.22812,-3.77729,1.55809,0.22888,-3.80663,1.14255,0.22669
10,1100,-3.92709,1.62543,0.22828,-4.03838,1.57503,0.22947,-3.97725,1.58149,0.22704,-4.09309,1.20492,0.22478
11,1200,-4.16206,1.63258,0.23071,-4.32447,1.60815,0.22884,-4.22564,1.61356,0.22879,-4.37664,1.17515,0.22767
12,1300,-4.36631,1.63714,0.22924,-4.60733,1.68351,0.23037,-4.55879,1.65038,0.23040,-4.65513,1.19612,0.22806
13,1400,-4.69876,1.57742,0.23152,-4.84552,1.54032,0.23088,-4.78224,1.60916,0.23125,-4.88543,1.29263,0.22870
14,1500,-4.97840,1.66899,0.23079,-5.09616,1.52909,0.22949,-5.02126,1.54344,0.23053,-5.20031,1.36202,0.22911
15,1600,-5.20147,1.61179,0.22910,-5.24586,1.65736,0.22954,-5.29897,1.63791,0.23137,-5.42555,1.33231,0.22973
16,1700,-5.50687,1.52590,0.23266,-5.54636,1.54597,0.23063,-5.48581,1.65244,0.22787,-5.73237,1.29417,0.23067
17,1800,-5.68348,1.60988,0.23054,-5.80493,1.74824,0.22957,-5.74286,1.54718,0.22776,-5.95395,1.36982,0.22881
18,1900,-5.94462,1.59303,0.22914,-5.96448,1.58498,0.22944,-6.03866,1.57357,0.22906,-6.19236,1.36949,0.22969
