iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
0,100,21.39047,0.98589,22.29309,0.98514
1,200,6.39127,0.97304,7.69298,0.97267
2,300,1.13646,0.96473,2.17077,0.96435
3,400,1.01279,0.95779,1.30296,0.95804
4,500,1.02074,0.94830,1.15298,0.94942
5,600,1.00582,0.94054,1.13739,0.94057
6,700,1.01498,0.93182,1.11934,0.93197
7,800,1.02284,0.92401,1.14285,0.92328
8,900,1.03069,0.91577,1.18974,0.91537
9,1000,0.99935,0.90693,1.20764,0.90773
10,1100,0.99697,0.89865,1.23346,0.89763
11,1200,0.99667,0.88987,1.22494,0.88959
12,1300,1.05568,0.88227,1.24053,0.88191
13,1400,0.97568,0.87349,1.30341,0.87440
14,1500,1.02019,0.86466,1.29030,0.86481
15,1600,1.04628,0.85686,1.26705,0.85630
16,1700,1.02251,0.84780,1.31787,0.84736
17,1800,1.03259,0.84075,1.34367,0.83942
18,1900,1.00020,0.83117,1.36000,0.83032
19,2000,0.99753,0.82317,1.40532,0.82255
20,2100,0.99413,0.81470,1.43303,0.81431
21,2200,1.01152,0.80650,1.37998,0.80531
22,2300,1.03307,0.79908,1.41052,0.79919
23,2400,0.99828,0.79038,1.45289,0.78962
24,2500,1.00319,0.78279,1.46656,0.78146
25,2600,1.01065,0.77441,1.44772,0.77433
26,2700,1.01968,0.76532,1.50989,0.76680
27,2800,1.02605,0.75817,1.49849,0.75766
28,2900,1.00052,0.75063,1.52630,0.75046
29,3000,1.02406,0.74277,1.50425,0.74205
30,3100,0.99755,0.73523,1.46808,0.73585
31,3200,1.01311,0.72761,1.54235,0.72743
32,3300,1.01195,0.71997,1.47597,0.71986
33,3400,1.02486,0.71192,1.54742,0.71255
34,3500,1.00413,0.70605,1.47774,0.70505
35,3600,1.02630,0.69756,1.50645,0.69704
36,3700,0.99908,0.69011,1.47901,0.69032
37,3800,1.01035,0.68189,1.50808,0.68281
38,3900,1.00814,0.67469,1.51935,0.67525
39,4000,0.98282,0.66725,1.53804,0.66699
40,4100,0.99155,0.66037,1.54676,0.66011
41,4200,0.99811,0.65320,1.52987,0.65288
42,4300,1.03150,0.64558,1.54323,0.64531
43,4400,0.99960,0.63787,1.53456,0.63801
44,4500,1.01565,0.63084,1.60554,0.63068
45,4600,1.03820,0.62382,1.53309,0.62354
46,4700,1.03153,0.61643,1.57615,0.61589
47,4800,1.00152,0.60944,1.66368,0.60850
48,4900,0.99881,0.60248,1.50267,0.60197
49,5000,1.02175,0.59519,1.54858,0.59542
50,5100,1.01282,0.58789,1.49416,0.58769
51,5200,1.02711,0.58077,1.52936,0.58072
52,5300,1.02014,0.57353,1.52718,0.57403
53,5400,1.01670,0.56747,1.53792,0.56659
54,5500,1.02671,0.55980,1.52379,0.55946
55,5600,1.02048,0.55306,1.55044,0.55271
56,5700,1.01570,0.54673,1.50970,0.54616
57,5800,1.02360,0.53926,1.49351,0.53941
58,5900,0.99864,0.53257,1.55718,0.53262
59,6000,1.03810,0.52595,1.53400,0.52587
60,6100,1.02825,0.51899,1.48343,0.51902
61,6200,1.02016,0.51185,1.48825,0.51281
62,6300,1.00246,0.50555,1.49736,0.50514
63,6400,1.00346,0.49898,1.50201,0.49789
64,6500,1.01625,0.49176,1.47241,0.49172
65,6600,0.98809,0.48593,1.43830,0.48526
66,6700,1.01679,0.47876,1.47135,0.47876
67,6800,0.99618,0.47238,1.49902,0.47208
68,6900,1.01709,0.46548,1.43251,0.46509
69,7000,1.03099,0.45897,1.46437,0.45883
70,7100,1.02611,0.45241,1.43922,0.45262
71,7200,1.00299,0.44622,1.44195,0.44599
72,7300,1.05381,0.43949,1.42945,0.43950
73,7400,1.02247,0.43272,1.43428,0.43269
74,7500,1.00229,0.42628,1.44783,0.42606
75,7600,1.03125,0.41996,1.44428,0.41979
76,7700,0.99486,0.41359,1.39512,0.41363
77,7800,0.99308,0.40749,1.45054,0.40718
78,7900,1.02959,0.40121,1.47998,0.40139
79,8000,1.01114,0.39521,1.37416,0.39515
80,8100,1.02121,0.38951,1.42761,0.38872
81,8200,1.01352,0.38275,1.43508,0.38236
82,8300,1.01579,0.37667,1.42870,0.37668
83,8400,1.02729,0.37147,1.37064,0.37136
84,8500,0.98316,0.36455,1.43656,0.36539
85,8600,0.99860,0.35923,1.45053,0.35947
86,8700,1.00671,0.35319,1.39326,0.35320
87,8800,1.01131,0.34741,1.36887,0.34704
88,8900,1.02756,0.34169,1.36171,0.34147
89,9000,0.99971,0.33645,1.44655,0.33580
90,9100,1.01955,0.33029,1.41836,0.32997
91,9200,1.00371,0.32449,1.37827,0.32436
92,9300,1.01381,0.31923,1.40383,0.31904
93,9400,1.01420,0.31351,1.39035,0.31344
94,9500,1.01894,0.30856,1.34575,0.30852
95,9600,1.01858,0.30264,1.38151,0.30196
96,9700,0.98740,0.29771,1.37340,0.29698
97,9800,0.99490,0.29222,1.41008,0.29225
98,9900,1.01618,0.28661,1.39925,0.28693
99,10000,1.02333,0.28204,1.33741,0.28147
100,10100,1.00289,0.27644,1.44127,0.27623
101,10200,1.00625,0.27149,1.36356,0.27101
102,10300,1.02336,0.26590,1.39603,0.26598
103,10400,1.01856,0.26112,1.46547,0.26098
104,10500,1.02654,0.25658,1.38970,0.25648
105,10600,1.04645,0.25145,1.41162,0.25145
106,10700,1.01589,0.24629,1.37863,0.24636
107,10800,1.01818,0.24199,1.39262,0.24195
108,10900,1.00991,0.23762,1.38845,0.23738
109,11000,0.99768,0.23330,1.37333,0.23285
110,11100,1.04226,0.22837,1.38067,0.22817
111,11200,0.99340,0.22388,1.42201,0.22376
112,11300,1.02820,0.21912,1.37231,0.21933
113,11400,1.00114,0.21466,1.42557,0.21496
114,11500,0.99260,0.21029,1.42970,0.21037
115,11600,1.02986,0.20679,1.41284,0.20671
116,11700,1.02610,0.20265,1.38716,0.20241
117,11800,1.00241,0.19837,1.43083,0.19874
118,11900,0.97829,0.19440,1.40359,0.19449
119,12000,1.00710,0.19035,1.36460,0.19037
120,12100,0.98670,0.18661,1.39331,0.18621
121,12200,1.03481,0.18268,1.37224,0.18265
122,12300,0.99292,0.17880,1.39455,0.17870
123,12400,1.01575,0.17534,1.39201,0.17529
124,12500,0.99569,0.17133,1.39400,0.17178
125,12600,1.01112,0.16843,1.38388,0.16801
126,12700,1.03339,0.16463,1.41208,0.16459
127,12800,0.98710,0.16134,1.35802,0.16119
128,12900,1.01430,0.15762,1.38763,0.15776
129,13000,0.96410,0.15497,1.36787,0.15473
130,13100,1.02631,0.15134,1.36447,0.15105
131,13200,1.00787,0.14813,1.34211,0.14828
132,13300,0.99940,0.14487,1.32458,0.14490
133,13400,0.98375,0.14218,1.37987,0.14192
134,13500,0.99872,0.13941,1.41097,0.13912
135,13600,0.98332,0.13659,1.35932,0.13640
136,13700,0.99710,0.13359,1.42028,0.13334
137,13800,1.03583,0.13043,1.39877,0.13051
138,13900,1.02437,0.12770,1.39902,0.12764
139,14000,0.99464,0.12512,1.38388,0.12508
140,14100,0.98994,0.12217,1.38891,0.12244
141,14200,1.00491,0.11958,1.38743,0.11953
142,14300,1.00333,0.11747,1.39604,0.11740
143,14400,0.99039,0.11479,1.33536,0.11455
144,14500,1.00466,0.11240,1.37682,0.11205
145,14600,1.00281,0.10995,1.38820,0.10969
146,14700,1.01041,0.10728,1.37490,0.10776
147,14800,0.99875,0.10510,1.39304,0.10513
148,14900,1.02451,0.10282,1.39051,0.10305
149,15000,1.01719,0.10058,1.41903,0.10109
150,15100,0.98519,0.09842,1.35009,0.09834
151,15200,1.01729,0.09658,1.35762,0.09641
152,15300,1.01346,0.09434,1.37039,0.09417
153,15400,1.00362,0.09229,1.40457,0.09221
154,15500,1.01565,0.09029,1.35443,0.09019
155,15600,0.99670,0.08834,1.39614,0.08821
156,15700,1.01908,0.08624,1.39943,0.08642
157,15800,0.98946,0.08474,1.40881,0.08436
158,15900,1.01822,0.08266,1.35807,0.08238
159,16000,0.99688,0.08083,1.43771,0.08098
160,16100,1.00338,0.07893,1.43541,0.07923
161,16200,0.97761,0.07745,1.39717,0.07759
162,16300,1.00834,0.07554,1.39432,0.07566
163,16400,0.97337,0.07382,1.39418,0.07407
164,16500,0.98224,0.07223,1.39629,0.07244
165,16600,0.95843,0.07099,1.41899,0.07101
166,16700,1.00705,0.06966,1.41592,0.06950
167,16800,1.02724,0.06832,1.39789,0.06823
168,16900,1.00822,0.06687,1.36222,0.06690
169,17000,0.99548,0.06539,1.34707,0.06548
170,17100,0.99975,0.06450,1.38883,0.06426
171,17200,0.99430,0.06304,1.37529,0.06318
172,17300,1.03861,0.06233,1.44035,0.06192
173,17400,1.02307,0.06090,1.42650,0.06084
174,17500,1.01226,0.05998,1.37883,0.05976
175,17600,0.98961,0.05894,1.42382,0.05879
176,17700,0.99345,0.05800,1.40018,0.05772
177,17800,0.98980,0.05677,1.40262,0.05670
178,17900,0.97842,0.05602,1.40126,0.05611
179,18000,1.00983,0.05517,1.36515,0.05501
180,18100,1.03608,0.05459,1.36103,0.05427
181,18200,1.03118,0.05338,1.38665,0.05334
182,18300,1.00734,0.05259,1.44893,0.05276
183,18400,1.00753,0.05187,1.48181,0.05202
184,18500,1.00316,0.05127,1.39838,0.05132
185,18600,0.99768,0.05032,1.41996,0.05030
186,18700,1.00873,0.04974,1.37457,0.04985
187,18800,1.02010,0.04906,1.36835,0.04882
188,18900,0.99611,0.04819,1.43506,0.04833
189,19000,1.02556,0.04780,1.39372,0.04769
