iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
126,12700,0.99762,0.17267,1.46329,0.17227
127,12800,1.05303,0.16979,1.41823,0.16954
128,12900,1.02843,0.16645,1.38396,0.16636
129,13000,0.99583,0.16324,1.43913,0.16284
130,13100,1.01843,0.15981,1.46262,0.16017
131,13200,1.01795,0.15717,1.40696,0.15690
132,13300,1.01253,0.15441,1.40556,0.15417
133,13400,0.99684,0.15146,1.38854,0.15108
134,13500,1.00385,0.14840,1.43285,0.14852
135,13600,0.97901,0.14576,1.38896,0.14549
136,13700,1.01890,0.14282,1.44843,0.14295
137,13800,1.01479,0.14029,1.45141,0.14043
138,13900,1.01704,0.13804,1.40433,0.13774
139,14000,1.00754,0.13493,1.46980,0.13498
140,14100,1.00902,0.13268,1.38600,0.13207
141,14200,0.98914,0.12980,1.43301,0.13003
142,14300,1.01036,0.12721,1.38070,0.12717
143,14400,1.00948,0.12496,1.46787,0.12493
144,14500,1.01055,0.12204,1.47116,0.12238
145,14600,0.99362,0.12027,1.43251,0.11992
146,14700,1.00792,0.11782,1.43618,0.11776
147,14800,0.98342,0.11562,1.39732,0.11576
148,14900,1.00208,0.11339,1.40102,0.11324
149,15000,0.99809,0.11120,1.40609,0.11096
150,15100,0.98999,0.10928,1.43743,0.10887
151,15200,1.01858,0.10679,1.38043,0.10694
152,15300,0.99419,0.10486,1.42146,0.10482
153,15400,0.99639,0.10300,1.40795,0.10283
154,15500,0.99108,0.10100,1.47566,0.10107
155,15600,1.01222,0.09852,1.42520,0.09874
156,15700,0.98444,0.09683,1.39925,0.09702
157,15800,0.99498,0.09483,1.38705,0.09491
158,15900,0.99111,0.09332,1.42476,0.09334
159,16000,1.01261,0.09120,1.42528,0.09163
160,16100,1.00651,0.08960,1.41949,0.08944
161,16200,0.98855,0.08786,1.43695,0.08786
162,16300,1.01178,0.08631,1.44266,0.08631
163,16400,1.01244,0.08450,1.39871,0.08437
164,16500,0.99401,0.08296,1.41853,0.08277
165,16600,1.03230,0.08146,1.39080,0.08099
166,16700,1.01427,0.07953,1.40013,0.07968
167,16800,1.01585,0.07824,1.41077,0.07827
168,16900,0.99143,0.07680,1.41716,0.07663
169,17000,0.98190,0.07569,1.46154,0.07539
170,17100,0.98886,0.07416,1.40643,0.07417
171,17200,1.01312,0.07288,1.49313,0.07282
172,17300,1.00559,0.07146,1.44495,0.07164
173,17400,0.97931,0.07041,1.44614,0.07036
174,17500,1.00148,0.06948,1.43323,0.06903
175,17600,1.03225,0.06827,1.41255,0.06805
176,17700,1.00897,0.06711,1.41203,0.06707
177,17800,0.99078,0.06609,1.41704,0.06628
178,17900,0.98984,0.06484,1.42447,0.06497
179,18000,1.02011,0.06391,1.39668,0.06387
180,18100,1.01382,0.06303,1.44546,0.06298
181,18200,1.02530,0.06218,1.40452,0.06220
182,18300,1.02890,0.06121,1.39813,0.06098
183,18400,1.01608,0.06038,1.42188,0.06014
184,18500,0.99732,0.05942,1.39098,0.05947
185,18600,1.00689,0.05862,1.41466,0.05866
186,18700,1.01026,0.05801,1.40349,0.05788
