iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
44,4500,-10.80079,1.59930,0.17522,-10.64468,1.50803,0.17202,-10.44068,1.43499,0.17509,-10.41023,1.61313,0.17744
45,4600,-11.06942,1.67871,0.17525,-10.80942,1.79476,0.17410,-10.63233,1.51331,0.17499,-10.48253,1.50598,0.17505
46,4700,-11.20064,1.74349,0.17441,-10.94282,2.09515,0.17579,-10.90637,1.63525,0.17623,-10.53504,1.44221,0.17441
47,4800,-11.37301,1.92624,0.17566,-11.02933,1.79884,0.17533,-10.98196,1.63386,0.17467,-10.67709,1.50114,0.17521
48,4900,-11.59297,2.54610,0.17609,-11.24408,1.92418,0.17603,-11.10130,1.57607,0.17463,-10.72943,1.50819,0.17594
49,5000,-11.72424,2.33802,0.17758,-11.31966,1.90969,0.17485,-11.30335,1.62315,0.17726,-10.84840,1.59364,0.17747
50,5100,-11.86914,1.81110,0.17778,-11.68933,1.83603,0.17810,-11.42494,1.54515,0.17742,-11.05597,1.54212,0.17674
51,5200,-12.04376,1.90949,0.17909,-11.87855,1.83986,0.17692,-11.52899,1.62279,0.17698,-11.02599,1.68854,0.17626
52,5300,-12.23354,2.14863,0.17623,-12.06867,1.86408,0.17752,-11.70487,1.71355,0.17630,-11.24916,1.43307,0.17583
53,5400,-12.46792,2.08807,0.17868,-12.05379,2.08817,0.17720,-11.90478,1.51218,0.17931,-11.36837,1.51775,0.17622
54,5500,-12.55812,2.08301,0.17687,-12.36836,1.70054,0.17942,-12.10178,1.67420,0.17786,-11.42683,1.48608,0.17779
55,5600,-12.73577,2.13724,0.17919,-12.56138,1.90538,0.17929,-12.24927,1.62148,0.17966,-11.60654,1.40676,0.17903
56,5700,-12.88627,2.16831,0.17970,-12.61371,1.87183,0.17882,-12.40341,1.81116,0.17990,-11.82697,1.49475,0.17843
57,5800,-13.10233,2.25007,0.18121,-12.88139,2.15570,0.17935,-12.63627,1.71021,0.17673,-11.97771,1.37639,0.17961
58,5900,-13.21499,2.58754,0.18053,-12.82711,2.63327,0.17832,-12.74619,1.85906,0.17959,-12.11419,1.43003,0.17978
