iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
63,6400,-1.14981,1.05944,-1.71114,1.00692,-1.25915,1.06218,-1.02254,0.83454
64,6500,-1.19783,1.07870,-1.70796,1.08542,-1.26191,1.08118,-1.00118,0.92271
65,6600,-1.20978,1.06272,-1.71364,1.04262,-1.25632,1.01372,-0.99942,0.93229
66,6700,-1.18698,1.05364,-1.73942,1.02379,-1.29701,1.12434,-1.00827,0.85522
67,6800,-1.28190,1.13875,-1.72902,1.07750,-1.30540,1.05587,-1.00866,0.90897
68,6900,-1.21444,1.05787,-1.71436,0.99118,-1.28806,1.05214,-1.02405,0.88754
69,7000,-1.22053,1.02971,-1.74476,1.07909,-1.34405,1.08983,-1.01679,0.90858
70,7100,-1.20963,1.08998,-1.74709,1.03144,-1.30430,0.99361,-1.00630,0.94914
71,7200,-1.23107,0.99597,-1.71165,1.13688,-1.32078,0.99940,-1.02980,0.83959
72,7300,-1.23806,1.02826,-1.80555,1.08332,-1.32680,1.06512,-1.01681,0.90124
73,7400,-1.20940,0.92070,-1.78087,1.02110,-1.31429,1.02619,-0.99280,0.91248
74,7500,-1.27422,1.09867,-1.73616,1.05368,-1.28274,0.94778,-1.00015,0.92130
75,7600,-1.25276,1.12004,-1.74120,1.11066,-1.33324,1.02522,-1.00200,0.91430
76,7700,-1.27291,1.07937,-1.75042,1.11917,-1.32579,1.05733,-1.02951,0.88411
77,7800,-1.24075,1.05644,-1.75087,1.04046,-1.34402,1.08868,-1.00290,0.90101
78,7900,-1.25040,1.05501,-1.77919,1.11392,-1.38674,1.08386,-0.97973,0.91201
79,8000,-1.25681,1.05886,-1.75422,1.13441,-1.33504,1.04309,-0.95294,0.95045
80,8100,-1.25967,1.04850,-1.76229,1.17016,-1.35252,1.02629,-0.99081,0.87902
81,8200,-1.24318,1.04248,-1.74200,1.10582,-1.37370,1.08326,-0.96207,0.90700
82,8300,-1.26219,1.17879,-1.78319,1.08674,-1.35477,1.08897,-0.96328,0.94028
83,8400,-1.24347,1.09746,-1.78602,1.08000,-1.35024,1.10953,-0.98899,0.85368
84,8500,-1.22265,1.11335,-1.80790,1.13798,-1.36346,0.96714,-0.98909,0.89016
85,8600,-1.23183,1.03859,-1.73040,1.15256,-1.38087,1.10845,-0.95513,0.92165
86,8700,-1.26710,1.09448,-1.81111,1.20132,-1.42169,1.10583,-0.96035,0.90657
87,8800,-1.27259,1.12350,-1.81104,1.21574,-1.45154,1.06595,-0.94296,0.94382
88,8900,-1.29930,1.18079,-1.80771,1.19052,-1.41692,1.06359,-0.92242,0.96379
89,9000,-1.28186,1.11243,-1.81506,1.21968,-1.43967,1.16537,-0.94928,0.91490
90,9100,-1.25485,1.12628,-1.79064,1.21850,-1.42448,1.24197,-0.92604,0.95986
91,9200,-1.28404,1.13853,-1.80810,1.25218,-1.44484,1.10438,-0.91678,0.96856
92,9300,-1.28935,1.16929,-1.81084,1.29505,-1.44793,1.17701,-0.92615,0.88152
93,9400,-1.22288,1.11923,-1.74573,1.14239,-1.42308,1.23569,-0.90766,0.97763
94,9500,-1.23921,1.21528,-1.80579,1.20017,-1.44444,1.22649,-0.90382,0.92994
95,9600,-1.22525,1.11043,-1.75145,1.22948,-1.45344,1.35185,-0.91463,0.96040
96,9700,-1.23481,1.14555,-1.74153,1.26410,-1.42110,1.18985,-0.92665,0.94855
97,9800,-1.23206,1.15027,-1.70226,1.24419,-1.44420,1.24856,-0.93489,0.94072
98,9900,-1.26273,1.18184,-1.71696,1.23803,-1.39459,1.27159,-0.88379,0.98192
99,10000,-1.21121,1.14255,-1.72155,1.31893,-1.38996,1.22423,-0.88905,0.96451
100,10100,-1.19569,1.22731,-1.70502,1.26751,-1.36852,1.23392,-0.88741,0.93724
101,10200,-1.20763,1.20864,-1.71066,1.33042,-1.41679,1.30454,-0.86576,1.07312
102,10300,-1.16575,1.23542,-1.67376,1.26175,-1.37463,1.33084,-0.88833,0.99233
103,10400,-1.20324,1.13894,-1.63479,1.23176,-1.37330,1.28678,-0.86168,0.98472
104,10500,-1.15545,1.17921,-1.63940,1.26215,-1.32623,1.25197,-0.87454,0.97496
105,10600,-1.12799,1.18336,-1.64798,1.28009,-1.34668,1.37337,-0.87400,1.00782
106,10700,-1.14348,1.24428,-1.60798,1.27288,-1.31239,1.29445,-0.87697,0.91859
107,10800,-1.11027,1.21279,-1.63535,1.30655,-1.34883,1.33985,-0.89524,0.94999
108,10900,-1.10752,1.15395,-1.63954,1.29933,-1.35224,1.36533,-0.84836,0.99044
109,11000,-1.10746,1.26452,-1.66180,1.28546,-1.31794,1.32501,-0.84184,0.95824
110,11100,-1.11475,1.18298,-1.62366,1.31501,-1.32947,1.33834,-0.86530,0.97909
111,11200,-1.10717,1.27668,-1.61045,1.25950,-1.33064,1.30156,-0.86198,0.98422
112,11300,-1.02809,1.22962,-1.58959,1.29316,-1.29166,1.35564,-0.88825,0.94882
113,11400,-1.07593,1.26036,-1.57840,1.18809,-1.26955,1.26892,-0.83606,1.01780
114,11500,-1.08367,1.31544,-1.56279,1.28966,-1.29399,1.32995,-0.83432,1.01258
115,11600,-1.08432,1.40207,-1.55988,1.21086,-1.28566,1.33862,-0.82787,1.05371
116,11700,-1.03941,1.19084,-1.52167,1.17998,-1.25018,1.31846,-0.84220,0.99083
117,11800,-1.01825,1.19878,-1.52925,1.25186,-1.21894,1.28327,-0.84915,1.02344
118,11900,-0.99255,1.22636,-1.50832,1.23137,-1.25743,1.21490,-0.80449,1.02027
119,12000,-0.96719,1.21538,-1.47537,1.24958,-1.19477,1.26961,-0.78572,1.07767
120,12100,-0.92505,1.23020,-1.44345,1.20798,-1.18148,1.29792,-0.81939,1.01245
121,12200,-0.95372,1.29751,-1.47660,1.21934,-1.18910,1.24344,-0.84776,1.00697
122,12300,-0.93330,1.25368,-1.40590,1.18134,-1.13513,1.29624,-0.81606,1.04741
123,12400,-0.95932,1.29851,-1.39210,1.30299,-1.13125,1.28251,-0.81978,1.11236
124,12500,-0.91514,1.21354,-1.40885,1.22242,-1.11172,1.22930,-0.84142,1.00649
125,12600,-0.88148,1.28996,-1.38612,1.25403,-1.07335,1.20363,-0.82553,1.05720
126,12700,-0.88069,1.18389,-1.34138,1.16797,-1.09373,1.25257,-0.82926,1.06348
127,12800,-0.82721,1.16418,-1.32833,1.21644,-1.08899,1.20959,-0.80260,1.09152
128,12900,-0.85147,1.17486,-1.28027,1.12773,-1.08332,1.23170,-0.79905,1.06901
129,13000,-0.81159,1.25281,-1.28151,1.17841,-1.05063,1.25514,-0.82664,1.10287
130,13100,-0.81101,1.17449,-1.27185,1.24671,-1.05721,1.26430,-0.83591,1.03473
131,13200,-0.76577,1.27140,-1.21763,1.17354,-0.98688,1.23162,-0.84958,1.04572
