iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,7.02906,0.56184,1.60945,7.74967,0.58843,1.60991,6.98583,0.55559,1.60983,4.78212,0.45089,1.61007
1,200,1.95426,0.56586,1.61078,2.13548,0.58842,1.61100,1.81228,0.55149,1.61037,1.68930,0.42825,1.60942
2,300,1.24598,0.55685,1.61036,1.26018,0.56341,1.61108,1.15458,0.54318,1.61074,1.27249,0.41662,1.60911
3,400,1.16730,0.54721,1.61158,1.12534,0.54890,1.61060,1.07676,0.53386,1.61005,1.03917,0.40712,1.60879
4,500,1.07619,0.53342,1.61125,1.00883,0.53580,1.61095,1.10300,0.52541,1.60916,0.94603,0.39334,1.60857
5,600,1.15023,0.51827,1.61066,0.98785,0.52411,1.61021,0.97844,0.51934,1.60900,0.82592,0.38454,1.60883
6,700,1.05919,0.50629,1.61072,1.09365,0.51306,1.61050,1.18325,0.50988,1.60872,0.80920,0.37351,1.60843
7,800,1.12007,0.49339,1.61056,1.04147,0.50046,1.61064,1.06177,0.49938,1.60958,0.77859,0.36310,1.60834
8,900,1.05434,0.48194,1.61030,1.06146,0.48720,1.61028,0.93856,0.48699,1.60920,0.81070,0.35365,1.60887
9,1000,1.07482,0.47423,1.61125,0.95480,0.47879,1.60966,0.97182,0.48016,1.60890,0.85642,0.34324,1.60851
10,1100,0.92390,0.46762,1.61024,1.04057,0.47128,1.60977,1.08552,0.47037,1.60928,0.80927,0.33508,1.60906
11,1200,0.99515,0.45722,1.61064,1.05319,0.46227,1.60933,1.01267,0.46070,1.60926,0.82780,0.32656,1.60848
12,1300,1.09252,0.44949,1.61037,1.03086,0.45295,1.60962,1.00671,0.45165,1.60916,0.84808,0.31842,1.60833
13,1400,0.98862,0.44010,1.61012,0.99412,0.44597,1.60963,1.02880,0.44279,1.60949,0.84952,0.30870,1.60857
14,1500,1.00333,0.43016,1.60981,0.93177,0.43457,1.60911,1.00221,0.43315,1.60891,0.92315,0.30137,1.60835
15,1600,1.03915,0.41986,1.60988,1.00005,0.42442,1.60910,1.01673,0.42368,1.60856,0.83307,0.29235,1.60829
16,1700,1.04428,0.41104,1.60930,0.98402,0.41474,1.60823,1.06400,0.41607,1.60938,0.78780,0.28622,1.60821
