iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
90,9100,1.55208,0.22849,1.57427,0.22771,1.56565,0.22735
91,9200,1.57036,0.22981,1.60940,0.22934,1.56835,0.22803
92,9300,1.55959,0.22803,1.58499,0.22696,1.58561,0.22948
93,9400,1.60107,0.22686,1.58504,0.22668,1.52194,0.22629
94,9500,1.59489,0.22631,1.59846,0.22625,1.58730,0.22565
95,9600,1.55275,0.22355,1.60184,0.22377,1.57598,0.22308
96,9700,1.59797,0.22501,1.55557,0.22490,1.54726,0.22338
97,9800,1.57626,0.22229,1.56131,0.22320,1.55029,0.22433
98,9900,1.57025,0.22521,1.57773,0.22501,1.53381,0.22375
99,10000,1.51503,0.22226,1.54472,0.22347,1.54018,0.22239
100,10100,1.54056,0.22200,1.54625,0.22129,1.54524,0.21812
101,10200,1.50028,0.22188,1.54124,0.22114,1.56686,0.22000
102,10300,1.51517,0.22101,1.55981,0.22154,1.54955,0.22101
103,10400,1.53636,0.22026,1.56943,0.22161,1.59426,0.21988
104,10500,1.54338,0.21981,1.57118,0.21977,1.48978,0.21818
105,10600,1.52380,0.21910,1.58157,0.22053,1.54356,0.22004
106,10700,1.50235,0.21878,1.53501,0.21963,1.53396,0.21773
107,10800,1.55614,0.21891,1.51895,0.21758,1.56896,0.22070
108,10900,1.49370,0.21713,1.52124,0.21837,1.49899,0.21762
109,11000,1.48099,0.21621,1.52566,0.21710,1.52385,0.21693
110,11100,1.50378,0.21521,1.49109,0.21671,1.51745,0.21628
111,11200,1.49812,0.21624,1.49472,0.21489,1.59636,0.21547
112,11300,1.51880,0.21565,1.51237,0.21456,1.54336,0.21452
113,11400,1.51099,0.21542,1.52772,0.21495,1.59791,0.21547
114,11500,1.52661,0.21455,1.46421,0.21462,1.53675,0.21461
115,11600,1.54322,0.21458,1.54524,0.21313,1.49928,0.21409
116,11700,1.51363,0.21224,1.49926,0.21420,1.55418,0.21261
117,11800,1.51166,0.21347,1.48863,0.21193,1.49054,0.21129
118,11900,1.49419,0.21281,1.47686,0.21177,1.49799,0.21267
119,12000,1.48344,0.21205,1.50995,0.21270,1.53001,0.21104
120,12100,1.51259,0.21040,1.47720,0.20997,1.56076,0.21379
121,12200,1.49401,0.21196,1.48721,0.21253,1.52356,0.21071
122,12300,1.47920,0.20986,1.50286,0.21200,1.50147,0.20891
123,12400,1.48170,0.20971,1.49682,0.21168,1.51051,0.21059
124,12500,1.50203,0.21079,1.46602,0.20997,1.51887,0.21061
125,12600,1.50957,0.21034,1.43085,0.20796,1.51210,0.21045
126,12700,1.48169,0.20973,1.51543,0.20808,1.47165,0.20922
127,12800,1.49882,0.20948,1.45471,0.20869,1.52266,0.20940
128,12900,1.48283,0.20971,1.44014,0.20967,1.51268,0.20791
129,13000,1.47715,0.20754,1.47381,0.20831,1.54444,0.20884
130,13100,1.45418,0.20769,1.42529,0.20783,1.49329,0.20657
131,13200,1.49857,0.20672,1.44277,0.20660,1.53759,0.20664
132,13300,1.50490,0.20632,1.41735,0.20578,1.51678,0.20649
133,13400,1.48578,0.20665,1.46693,0.20558,1.54565,0.20616
134,13500,1.44333,0.20506,1.45497,0.20578,1.50598,0.20557
135,13600,1.43502,0.20595,1.41417,0.20749,1.50923,0.20627
136,13700,1.48763,0.20739,1.44450,0.20533,1.51024,0.20507
137,13800,1.44427,0.20628,1.41998,0.20810,1.48974,0.20419
138,13900,1.48187,0.20666,1.42837,0.20565,1.52279,0.20600
139,14000,1.47594,0.20585,1.43973,0.20472,1.53333,0.20562
140,14100,1.43369,0.20486,1.42656,0.20425,1.49127,0.20562
141,14200,1.46537,0.20428,1.43190,0.20609,1.57071,0.20630
142,14300,1.46212,0.20337,1.43621,0.20509,1.48803,0.20415
143,14400,1.43154,0.20243,1.41878,0.20638,1.53773,0.20477
144,14500,1.44580,0.20258,1.39835,0.20250,1.48490,0.20394
145,14600,1.48841,0.20279,1.40138,0.20289,1.53169,0.20377
146,14700,1.50912,0.20388,1.42486,0.20331,1.51026,0.20393
147,14800,1.44335,0.20379,1.42562,0.20326,1.54191,0.20358
148,14900,1.45356,0.20305,1.45813,0.20394,1.55825,0.20400
149,15000,1.49714,0.20121,1.42416,0.20306,1.53570,0.20335
150,15100,1.43381,0.20224,1.40759,0.20211,1.52855,0.20178
151,15200,1.47518,0.20333,1.41772,0.20483,1.49854,0.20044
152,15300,1.45963,0.20291,1.38858,0.20268,1.51874,0.20287
153,15400,1.49829,0.20201,1.36337,0.20107,1.51223,0.20189
154,15500,1.49036,0.20250,1.42273,0.20218,1.50666,0.20184
155,15600,1.41700,0.20143,1.41323,0.20080,1.53457,0.20390
156,15700,1.44738,0.20146,1.37641,0.20306,1.52301,0.20315
157,15800,1.44689,0.20068,1.38996,0.20094,1.55008,0.20109
158,15900,1.46481,0.20289,1.38968,0.20238,1.56657,0.20137
159,16000,1.46917,0.20035,1.42746,0.20072,1.55178,0.20082
160,16100,1.48783,0.20057,1.37429,0.20151,1.53180,0.20137
161,16200,1.46863,0.20107,1.37801,0.19984,1.49995,0.20127
162,16300,1.51834,0.20003,1.36996,0.20200,1.55388,0.20119
163,16400,1.49979,0.20039,1.37171,0.20103,1.52443,0.20087
164,16500,1.52477,0.20097,1.37268,0.19962,1.48361,0.20049
165,16600,1.42248,0.19771,1.39990,0.19822,1.49956,0.20093
166,16700,1.47068,0.20035,1.38856,0.20035,1.52531,0.20136
167,16800,1.51443,0.20043,1.41493,0.20252,1.53801,0.20014
168,16900,1.46295,0.19999,1.38382,0.20102,1.51242,0.19853
169,17000,1.47739,0.19961,1.40443,0.19997,1.51292,0.19817
170,17100,1.50129,0.20031,1.41395,0.19987,1.57927,0.19983
171,17200,1.47365,0.19895,1.39925,0.19860,1.56577,0.19805
172,17300,1.48401,0.20020,1.37168,0.19803,1.53821,0.19996
173,17400,1.56864,0.20106,1.37757,0.20027,1.52973,0.19960
174,17500,1.49538,0.19894,1.42872,0.20058,1.53730,0.19707
175,17600,1.46280,0.19977,1.40980,0.20143,1.54669,0.20008
176,17700,1.47724,0.19835,1.41170,0.19944,1.55013,0.19933
177,17800,1.48267,0.19779,1.38183,0.19936,1.58402,0.19682
178,17900,1.48919,0.19956,1.37871,0.20024,1.54335,0.19932
179,18000,1.52468,0.19782,1.42595,0.19965,1.56563,0.19944
180,18100,1.53965,0.19979,1.40314,0.19720,1.57531,0.20006
181,18200,1.49789,0.19937,1.42535,0.19925,1.56239,0.19855
182,18300,1.47931,0.19784,1.40636,0.19943,1.61488,0.19949
183,18400,1.50083,0.19730,1.44078,0.19900,1.55865,0.19797
184,18500,1.49949,0.19817,1.40627,0.19746,1.57867,0.19735
185,18600,1.49567,0.19980,1.40830,0.19619,1.60977,0.20019
186,18700,1.49902,0.20010,1.43708,0.19806,1.60950,0.19838
187,18800,1.50831,0.19836,1.40820,0.19878,1.56260,0.19846
188,18900,1.47316,0.19705,1.45001,0.19921,1.61347,0.19914
189,19000,1.43933,0.19922,1.37177,0.19769,1.60509,0.19772
190,19100,1.47689,0.19697,1.40629,0.19662,1.61687,0.19861
191,19200,1.49789,0.19879,1.41855,0.19852,1.61776,0.19879
192,19300,1.51460,0.19903,1.36741,0.19715,1.60816,0.19648
193,19400,1.51070,0.19955,1.38635,0.19851,1.59152,0.19902
194,19500,1.49920,0.19897,1.42565,0.19769,1.58438,0.19743
195,19600,1.42033,0.19689,1.48892,0.19700,1.64438,0.19759
196,19700,1.50045,0.19701,1.41573,0.19903,1.60478,0.19867
197,19800,1.49183,0.19733,1.41268,0.19775,1.62038,0.19723
198,19900,1.48217,0.19668,1.39912,0.19771,1.59049,0.19718
199,20000,1.49928,0.19744,1.41754,0.19811,1.56283,0.19774
200,20100,1.51447,0.19709,1.44769,0.19825,1.62161,0.19826
201,20200,1.48034,0.19946,1.42868,0.19852,1.62459,0.19782
202,20300,1.49341,0.19853,1.42114,0.19666,1.63585,0.19783
203,20400,1.48390,0.19624,1.41105,0.19861,1.62105,0.19774
204,20500,1.46518,0.19545,1.43153,0.19736,1.60993,0.19622
205,20600,1.51405,0.19811,1.41871,0.19670,1.62071,0.19673
206,20700,1.49574,0.19612,1.39958,0.19617,1.63291,0.19742
207,20800,1.46259,0.19841,1.42377,0.19656,1.61817,0.19875
208,20900,1.52563,0.19469,1.41122,0.19670,1.62935,0.19775
209,21000,1.49415,0.19705,1.42175,0.19726,1.65829,0.19692
210,21100,1.51708,0.19782,1.43514,0.19775,1.61923,0.19636
211,21200,1.47864,0.19714,1.44037,0.19706,1.57378,0.19348
212,21300,1.51750,0.19502,1.41583,0.19543,1.63177,0.19667
213,21400,1.52855,0.19770,1.41804,0.19553,1.59231,0.19605
214,21500,1.47817,0.19433,1.41744,0.19706,1.60815,0.19616
215,21600,1.47552,0.19680,1.42887,0.19574,1.64342,0.19459
216,21700,1.54867,0.19466,1.41996,0.19623,1.63043,0.19583
217,21800,1.49075,0.19516,1.39922,0.19444,1.64543,0.19478
218,21900,1.54253,0.19542,1.42336,0.19621,1.61945,0.19565
