iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
44,4500,-11.03573,1.40127,0.19000,2.67038,-11.04396,1.13970,0.18823,2.67070,-10.99515,1.11165,0.18840,2.67104
45,4600,-11.05259,1.32735,0.18273,2.66930,-10.84580,1.32224,0.18278,2.66883,-10.99614,1.18515,0.18359,2.66891
46,4700,-11.00514,1.09921,0.17878,2.66628,-10.77295,1.32839,0.17690,2.66704,-10.77511,1.08740,0.17749,2.66616
47,4800,-10.82805,1.04156,0.17243,2.66529,-10.83891,0.99432,0.17224,2.66518,-10.80862,1.00677,0.17258,2.66437
48,4900,-10.75869,1.04860,0.16765,2.66254,-10.67961,1.03921,0.16754,2.66304,-10.66447,1.21142,0.16704,2.66270
49,5000,-10.62951,1.17543,0.16242,2.66007,-10.57074,0.99741,0.16219,2.66007,-10.58691,1.02333,0.16263,2.66056
50,5100,-10.74039,1.29404,0.15804,2.65780,-10.45758,1.02832,0.15894,2.65664,-10.50767,1.10660,0.15748,2.65797
51,5200,-10.44968,1.24227,0.15422,2.65514,-10.31667,1.16466,0.15347,2.65522,-10.36465,1.11736,0.15364,2.65496
52,5300,-10.32351,1.14761,0.14947,2.65324,-10.38327,1.14205,0.14983,2.65224,-10.36087,1.05376,0.15029,2.65154
53,5400,-10.22868,1.06694,0.14607,2.64972,-10.23149,1.07707,0.14528,2.65038,-10.28732,1.06020,0.14520,2.65006
54,5500,-10.07170,1.26522,0.14166,2.64733,-10.13808,1.09858,0.14181,2.64809,-10.27461,1.13272,0.14161,2.64775
55,5600,-9.98935,1.54561,0.13925,2.64407,-10.02246,1.30925,0.13808,2.64442,-10.10370,1.09296,0.13727,2.64440
56,5700,-9.85167,1.26966,0.13474,2.64213,-9.98887,1.04405,0.13397,2.64259,-9.98651,1.10669,0.13358,2.64241
57,5800,-9.74086,1.13570,0.13054,2.63889,-9.83486,1.03354,0.13083,2.63843,-9.75795,1.09641,0.13059,2.63881
58,5900,-9.70222,1.11572,0.12755,2.63563,-9.74479,1.09018,0.12755,2.63563,-9.68688,1.05968,0.12827,2.63425
59,6000,-9.57028,1.23249,0.12533,2.63230,-9.74425,1.26838,0.12474,2.63286,-9.74651,1.25389,0.12494,2.63299
60,6100,-9.51398,1.12815,0.12239,2.62984,-9.51660,1.09657,0.12205,2.62941,-9.49626,1.13655,0.12293,2.62868
61,6200,-9.30402,1.29406,0.11921,2.62618,-9.44023,1.04293,0.11902,2.62635,-9.42197,1.01960,0.11931,2.62673
62,6300,-9.37716,1.15792,0.11693,2.62372,-9.33892,1.07793,0.11676,2.62350,-9.44180,1.25810,0.11645,2.62352
63,6400,-9.23938,1.11462,0.11456,2.62035,-9.42441,1.29781,0.11380,2.61940,-9.29210,0.99823,0.11434,2.62006
64,6500,-9.07895,1.04009,0.11176,2.61740,-9.18313,1.06299,0.11312,2.61665,-9.18054,1.05792,0.11184,2.61761
65,6600,-9.12275,1.08022,0.11058,2.61250,-9.13079,0.91195,0.10965,2.61318,-8.99604,1.13761,0.11017,2.61327
66,6700,-8.91877,0.98009,0.10781,2.60982,-9.00505,1.01380,0.10775,2.61116,-8.87119,1.07656,0.10775,2.60922
67,6800,-8.76815,1.00341,0.10543,2.60741,-8.84236,1.19529,0.10612,2.60645,-8.94422,1.03862,0.10611,2.60566
68,6900,-8.77965,1.24716,0.10370,2.60252,-8.84278,1.01232,0.10363,2.60279,-8.77575,1.03427,0.10396,2.60289
69,7000,-8.70053,1.23015,0.10189,2.59860,-8.71766,1.05380,0.10216,2.59786,-8.67616,0.90588,0.10183,2.59885
70,7100,-8.54016,1.11878,0.10043,2.59389,-8.57698,1.25205,0.10059,2.59455,-8.59558,0.99324,0.10055,2.59395
71,7200,-8.40014,1.14908,0.09963,2.58941,-8.52402,0.99252,0.09875,2.59195,-8.48892,1.05070,0.09894,2.59198
72,7300,-8.31451,1.03409,0.09809,2.58577,-8.45420,1.13515,0.09720,2.58686,-8.39056,1.14963,0.09756,2.58698
73,7400,-8.25262,1.12476,0.09647,2.58178,-8.34715,1.07335,0.09573,2.58176,-8.32616,1.01341,0.09654,2.58119
74,7500,-8.14551,1.10340,0.09487,2.57782,-8.23615,0.98592,0.09470,2.57777,-8.15852,0.99658,0.09471,2.57877
75,7600,-8.01438,1.04584,0.09338,2.57334,-8.12241,1.03215,0.09371,2.57410,-8.13682,0.99315,0.09307,2.57339
76,7700,-7.93383,1.18032,0.09228,2.56939,-8.06986,1.05432,0.09216,2.56813,-8.08788,0.99893,0.09211,2.57013
77,7800,-7.83201,0.98764,0.09059,2.56480,-7.91135,0.96926,0.09116,2.56371,-7.96535,1.00700,0.09073,2.56504
78,7900,-7.77927,1.01192,0.08983,2.56141,-7.86878,1.11229,0.08993,2.55937,-7.94564,1.23132,0.09037,2.56047
