iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss
89,9000,1.12127,0.15821,1.09858,1.04586,0.24140,1.60528
90,9100,0.95493,0.15583,1.09860,1.08475,0.23808,1.60523
91,9200,0.90515,0.15327,1.09863,1.02520,0.23587,1.60543
92,9300,1.01983,0.15089,1.09852,0.89879,0.23368,1.60488
93,9400,0.96809,0.14860,1.09852,1.04009,0.23057,1.60504
94,9500,0.95474,0.14638,1.09844,1.01695,0.22694,1.60501
95,9600,0.83093,0.14394,1.09843,0.88096,0.22477,1.60472
96,9700,1.01452,0.14176,1.09862,0.98830,0.22179,1.60459
97,9800,1.04410,0.13957,1.09858,0.98885,0.21891,1.60470
98,9900,1.00959,0.13735,1.09867,1.03014,0.21604,1.60495
99,10000,1.09889,0.13509,1.09855,1.03382,0.21382,1.60488
100,10100,0.99017,0.13282,1.09845,1.04091,0.21133,1.60456
101,10200,1.11954,0.13064,1.09870,0.98936,0.20892,1.60449
102,10300,0.88117,0.12838,1.09839,0.94027,0.20573,1.60480
103,10400,0.87026,0.12635,1.09853,0.89710,0.20410,1.60431
104,10500,1.01619,0.12424,1.09862,0.98233,0.20147,1.60416
105,10600,0.99910,0.12211,1.09845,1.07681,0.19919,1.60445
106,10700,0.95256,0.12016,1.09855,1.09200,0.19697,1.60429
107,10800,1.04383,0.11815,1.09849,0.88662,0.19443,1.60461
108,10900,1.02406,0.11614,1.09854,1.00892,0.19218,1.60438
109,11000,1.03178,0.11402,1.09852,0.90999,0.18981,1.60395
110,11100,0.88640,0.11213,1.09854,0.96688,0.18744,1.60428
111,11200,0.95204,0.11018,1.09846,0.95132,0.18504,1.60441
112,11300,1.15398,0.10826,1.09843,0.93129,0.18253,1.60415
113,11400,1.03995,0.10652,1.09851,0.95269,0.18061,1.60402
114,11500,0.90256,0.10455,1.09856,0.98213,0.17860,1.60431
115,11600,0.99556,0.10269,1.09838,1.02496,0.17624,1.60428
116,11700,0.90503,0.10091,1.09829,1.01569,0.17413,1.60392
117,11800,1.08908,0.09921,1.09833,1.03676,0.17252,1.60392
118,11900,1.02053,0.09746,1.09842,0.98991,0.17030,1.60364
119,12000,1.23074,0.09567,1.09829,0.93499,0.16792,1.60388
120,12100,1.03861,0.09402,1.09829,0.92802,0.16582,1.60389
121,12200,1.04945,0.09220,1.09846,1.07564,0.16403,1.60364
122,12300,0.94234,0.09064,1.09830,0.98811,0.16158,1.60398
123,12400,1.01873,0.08905,1.09828,1.03753,0.16024,1.60377
124,12500,1.02474,0.08737,1.09845,0.96482,0.15783,1.60325
125,12600,0.94584,0.08578,1.09842,1.02778,0.15607,1.60370
126,12700,1.05250,0.08421,1.09828,0.94707,0.15398,1.60357
127,12800,1.06026,0.08262,1.09834,0.95736,0.15201,1.60338
128,12900,0.95171,0.08114,1.09845,0.99289,0.15038,1.60312
129,13000,0.89446,0.07959,1.09826,1.03043,0.14871,1.60308
130,13100,0.94631,0.07808,1.09851,1.07882,0.14685,1.60295
131,13200,1.00500,0.07657,1.09830,0.96213,0.14472,1.60283
132,13300,1.00596,0.07515,1.09847,1.05257,0.14284,1.60244
133,13400,1.24621,0.07388,1.09841,1.07849,0.14105,1.60285
134,13500,0.90408,0.07236,1.09830,1.00826,0.13966,1.60294
135,13600,1.02474,0.07108,1.09833,1.04906,0.13796,1.60278
136,13700,0.99622,0.06979,1.09855,0.98032,0.13640,1.60250
137,13800,0.86469,0.06834,1.09853,0.94343,0.13422,1.60250
138,13900,0.95307,0.06714,1.09841,1.06161,0.13305,1.60241
139,14000,1.05324,0.06578,1.09841,1.08049,0.13122,1.60265
140,14100,1.07025,0.06459,1.09833,0.91746,0.12982,1.60185
141,14200,1.06410,0.06329,1.09833,0.91067,0.12739,1.60235
142,14300,0.93931,0.06204,1.09857,0.92944,0.12613,1.60246
143,14400,0.95977,0.06078,1.09850,0.99999,0.12466,1.60218
144,14500,1.05888,0.05963,1.09840,0.90081,0.12315,1.60189
145,14600,1.14965,0.05850,1.09817,0.90006,0.12163,1.60168
146,14700,0.87289,0.05732,1.09814,0.95666,0.11993,1.60199
147,14800,0.96802,0.05628,1.09820,0.99085,0.11842,1.60169
148,14900,1.02494,0.05511,1.09804,0.95124,0.11717,1.60142
149,15000,1.07704,0.05403,1.09808,1.00374,0.11552,1.60160
150,15100,1.07111,0.05293,1.09794,1.08826,0.11398,1.60178
151,15200,0.93153,0.05189,1.09793,0.99396,0.11264,1.60130
152,15300,0.82466,0.05092,1.09782,0.90560,0.11135,1.60115
153,15400,0.97281,0.04996,1.09805,0.93339,0.10980,1.60118
154,15500,1.00315,0.04901,1.09779,0.92272,0.10842,1.60093
155,15600,0.99107,0.04803,1.09772,0.90339,0.10710,1.60109
156,15700,1.03523,0.04718,1.09794,1.07426,0.10571,1.60110
157,15800,0.97745,0.04630,1.09745,0.82478,0.10431,1.60065
158,15900,0.93506,0.04544,1.09782,1.12341,0.10308,1.60088
159,16000,0.95259,0.04468,1.09761,0.89993,0.10188,1.60081
160,16100,1.03463,0.04392,1.09782,1.09048,0.10068,1.60048
161,16200,0.99377,0.04311,1.09767,0.94822,0.09928,1.60030
162,16300,1.07111,0.04238,1.09786,0.98721,0.09786,1.60062
163,16400,0.98011,0.04161,1.09746,1.09967,0.09699,1.60040
164,16500,1.06919,0.04090,1.09761,0.96791,0.09555,1.60000
