iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
0,100,3.92577,0.29044,2.95192,0.25894,2.55704,0.24107,2.29530,0.22772
1,200,1.62929,0.20580,1.61504,0.19906,1.69500,0.19519,1.62158,0.18910
2,300,1.76788,0.19810,1.89386,0.19356,1.65291,0.19208,1.53815,0.18967
3,400,1.52972,0.19543,1.78826,0.19220,1.56194,0.19013,1.72540,0.18751
4,500,1.76769,0.19568,1.56272,0.19415,1.53144,0.19117,1.65263,0.19149
5,600,1.92627,0.19748,2.07929,0.19505,1.56481,0.19347,1.50535,0.19227
6,700,1.76474,0.19542,1.64859,0.19059,1.51864,0.19245,1.51077,0.19095
7,800,1.64543,0.19375,1.74049,0.19285,1.57218,0.19092,1.62148,0.19198
8,900,1.82138,0.19419,1.51356,0.19276,1.73131,0.19173,1.64540,0.19142
9,1000,1.53561,0.19296,1.73496,0.19193,1.86113,0.19300,1.68973,0.19127
10,1100,1.77798,0.19567,1.76230,0.19421,1.62058,0.19174,1.48512,0.19061
11,1200,1.73837,0.19493,1.84382,0.19285,1.53212,0.19213,1.59502,0.19289
12,1300,1.49157,0.19305,1.65345,0.19427,1.82610,0.19145,1.43808,0.19319
13,1400,1.59248,0.19395,1.50298,0.19176,1.34331,0.18906,1.52515,0.19077
14,1500,1.50189,0.19328,1.53327,0.19082,1.58356,0.19049,1.50552,0.19145
15,1600,1.58854,0.19280,1.77217,0.19065,1.53544,0.19180,1.55221,0.18984
16,1700,1.75813,0.19472,1.48615,0.19080,1.60170,0.19074,1.56470,0.19187
17,1800,1.45890,0.19262,1.60327,0.19503,1.75445,0.19050,1.38482,0.19071
18,1900,1.62999,0.19186,1.56745,0.19177,1.86620,0.19230,1.43424,0.18923
19,2000,1.74346,0.19019,1.73471,0.18986,1.49405,0.19025,1.58088,0.19123
20,2100,1.50537,0.19035,1.49463,0.18926,1.70947,0.18969,1.52405,0.18952
21,2200,1.43966,0.19043,1.50872,0.18921,1.58963,0.18865,1.57825,0.19023
22,2300,1.77118,0.18972,1.68068,0.19026,1.67481,0.18788,1.56603,0.18923
23,2400,1.50235,0.18861,1.70550,0.18918,1.49940,0.18806,1.55684,0.18729
24,2500,1.62711,0.18691,1.45316,0.18743,1.55371,0.18779,1.50750,0.18682
25,2600,1.65068,0.18869,1.69417,0.18861,1.73643,0.18614,1.50202,0.18864
26,2700,1.49560,0.18702,1.69117,0.18844,1.80059,0.18710,1.51822,0.18911
27,2800,1.64864,0.18938,1.52460,0.18556,1.51459,0.18640,1.37348,0.18654
28,2900,1.64195,0.18689,1.54051,0.18697,1.70469,0.18793,1.45710,0.18688
29,3000,1.65363,0.18873,1.54572,0.18606,1.60839,0.18530,1.48679,0.18623
30,3100,1.44573,0.18670,1.42643,0.18721,1.51318,0.18626,1.33344,0.18617
31,3200,1.78437,0.18414,1.81174,0.18270,1.61914,0.18615,1.47898,0.18379
32,3300,1.76510,0.18669,1.69112,0.18502,1.64680,0.18436,1.53648,0.18569
33,3400,1.65178,0.18532,1.67826,0.18565,1.55478,0.18327,1.41519,0.18464
34,3500,1.68771,0.18453,1.41118,0.18340,1.69807,0.18337,1.39938,0.18342
35,3600,1.63645,0.18405,1.52028,0.18437,1.61843,0.18303,1.37218,0.18369
36,3700,1.36136,0.18129,1.57427,0.18063,1.59092,0.18243,1.51189,0.18069
37,3800,1.44712,0.18239,1.59090,0.18137,1.71010,0.18271,1.50453,0.18175
38,3900,1.51859,0.17923,1.68593,0.18256,1.46725,0.18008,1.43554,0.18045
39,4000,1.34328,0.18206,1.41907,0.18145,1.53481,0.18032,1.42233,0.18128
40,4100,1.84289,0.18212,1.59134,0.18174,1.46805,0.17932,1.48757,0.18057
41,4200,1.62666,0.18271,1.88507,0.18128,1.51092,0.18121,1.38846,0.18132
42,4300,1.65155,0.18119,1.78580,0.18076,1.57681,0.18057,1.41667,0.18062
43,4400,1.82344,0.17987,1.54697,0.18021,1.57633,0.18078,1.47064,0.18056
44,4500,1.71866,0.17922,1.64457,0.18016,1.60497,0.18160,1.33869,0.17849
45,4600,1.79554,0.17949,1.58113,0.18161,1.58538,0.17966,1.40846,0.17942
46,4700,1.58025,0.17849,1.66477,0.17901,1.65565,0.17944,1.44629,0.17974
47,4800,1.95146,0.18067,1.56074,0.17858,1.57987,0.18051,1.40787,0.17861
48,4900,1.54829,0.17861,1.57630,0.17995,1.49735,0.17752,1.39888,0.17857
49,5000,1.55402,0.17799,1.74869,0.18052,1.57667,0.17859,1.30192,0.17800
50,5100,1.74229,0.17902,1.62629,0.17555,1.76234,0.17844,1.32955,0.17757
51,5200,1.51144,0.17745,1.77982,0.17795,1.71603,0.17782,1.34945,0.17940
52,5300,1.58978,0.17785,1.55837,0.17903,1.57775,0.17665,1.36473,0.17786
53,5400,1.61517,0.17841,1.51084,0.17775,1.49849,0.17892,1.48732,0.17635
54,5500,1.62836,0.17683,1.62646,0.17748,1.64225,0.17765,1.43105,0.17775
55,5600,1.62774,0.17891,1.54877,0.17759,1.63049,0.17764,1.35440,0.17760
56,5700,1.80605,0.17760,1.50242,0.17589,1.73663,0.17594,1.39666,0.17641
57,5800,1.73183,0.17518,1.75834,0.17699,1.75318,0.17742,1.35172,0.17574
58,5900,1.65354,0.17713,1.55649,0.17591,1.55463,0.17690,1.32146,0.17501
59,6000,1.60240,0.17756,1.73484,0.17623,1.95353,0.17676,1.39832,0.17608
60,6100,1.67321,0.17837,1.55331,0.17673,1.53186,0.17680,1.37241,0.17580
61,6200,1.57842,0.17652,1.85965,0.17678,1.53661,0.17464,1.41920,0.17501
62,6300,1.67465,0.17536,1.74950,0.17665,1.57745,0.17398,1.43758,0.17358
63,6400,1.51558,0.17371,1.88088,0.17661,1.80474,0.17576,1.37893,0.17622
64,6500,1.46165,0.17691,1.52883,0.17601,1.44884,0.17437,1.43067,0.17554
65,6600,1.36055,0.17635,1.51582,0.17632,1.61987,0.17495,1.37933,0.17637
66,6700,1.53052,0.17486,1.44284,0.17645,1.87864,0.17361,1.36391,0.17514
67,6800,1.73946,0.17703,1.45907,0.17335,1.53418,0.17477,1.33707,0.17465
68,6900,1.64950,0.17433,1.68339,0.17434,1.39234,0.17468,1.38478,0.17381
69,7000,1.73229,0.17544,1.65380,0.17473,1.76213,0.17532,1.35071,0.17329
70,7100,1.65914,0.17210,1.67983,0.17262,1.54321,0.17351,1.33092,0.17245
71,7200,1.70598,0.17322,1.59921,0.17248,1.57592,0.17308,1.30149,0.17243
72,7300,1.59302,0.17404,1.84628,0.17456,1.70228,0.17350,1.36285,0.17252
73,7400,1.60218,0.17145,1.52739,0.17198,1.69641,0.17620,1.39246,0.17372
74,7500,1.59760,0.17226,1.76532,0.17336,1.53045,0.17240,1.35139,0.17296
75,7600,1.74181,0.17320,1.58903,0.17343,1.40415,0.17264,1.38880,0.17428
76,7700,1.61153,0.17216,1.51233,0.17125,1.49123,0.17345,1.31153,0.17216
77,7800,1.87189,0.17311,1.63340,0.17278,1.52516,0.17243,1.35162,0.17106
78,7900,1.35080,0.17322,1.55717,0.17192,1.57962,0.17151,1.36570,0.17195
79,8000,1.55637,0.17201,1.59672,0.17079,1.69625,0.17308,1.36703,0.17289
80,8100,1.53051,0.17114,1.78337,0.17235,1.70102,0.17331,1.27625,0.17053
81,8200,1.52477,0.17261,1.56904,0.17379,1.58442,0.16931,1.32322,0.17189
82,8300,1.66125,0.17114,1.37904,0.17044,1.51261,0.16880,1.33241,0.17039
83,8400,1.67442,0.16989,1.53606,0.16937,1.60452,0.17019,1.30509,0.17085
84,8500,1.41251,0.17055,1.62338,0.17174,1.66154,0.16946,1.23852,0.17102
85,8600,1.55035,0.16893,1.40115,0.17041,1.43048,0.17038,1.38556,0.16983
86,8700,1.73232,0.16881,1.50991,0.16862,1.66349,0.16963,1.32617,0.16935
87,8800,1.46827,0.16864,1.65827,0.16845,1.50575,0.16826,1.33711,0.16910
88,8900,1.50939,0.16871,1.42985,0.17050,1.56178,0.16778,1.30955,0.16905
89,9000,1.46476,0.16712,1.49156,0.16688,1.60830,0.16730,1.34710,0.16689
90,9100,1.70740,0.16800,1.33479,0.16760,1.37839,0.16625,1.28411,0.16640
91,9200,1.95188,0.16675,1.65292,0.16689,1.57572,0.16832,1.33532,0.16716
92,9300,1.54095,0.16762,1.51578,0.16783,1.69667,0.16419,1.31623,0.16626
93,9400,1.55847,0.16509,1.58660,0.16675,1.45928,0.16750,1.31172,0.16726
94,9500,1.42668,0.16632,1.37885,0.16580,1.51850,0.16700,1.47174,0.16749
95,9600,1.75346,0.16660,1.72916,0.16514,1.66852,0.16522,1.34146,0.16736
96,9700,1.63772,0.16470,1.44264,0.16573,1.44863,0.16428,1.32792,0.16600
97,9800,1.49103,0.16575,1.72079,0.16535,1.92032,0.16478,1.25108,0.16515
98,9900,1.71107,0.16371,1.52179,0.16412,1.67253,0.16470,1.28496,0.16375
99,10000,1.57927,0.16471,1.86117,0.16528,1.70723,0.16313,1.43723,0.16403
100,10100,1.68741,0.16476,1.72845,0.16444,1.46743,0.16354,1.36886,0.16453
101,10200,1.89738,0.16231,1.62656,0.16248,1.45864,0.16262,1.31342,0.16318
102,10300,1.67164,0.16274,1.30223,0.16436,1.68369,0.16207,1.25124,0.16268
103,10400,1.75529,0.16259,1.36916,0.16125,1.53900,0.16006,1.27792,0.16109
104,10500,1.51517,0.16350,1.45368,0.16265,1.48177,0.16228,1.25838,0.16091
105,10600,1.68258,0.16002,1.70697,0.16102,1.66889,0.16044,1.27833,0.15984
106,10700,1.57417,0.16086,1.49599,0.16082,1.52259,0.15957,1.18608,0.16093
107,10800,1.50811,0.15986,1.37838,0.16044,1.56889,0.16139,1.31045,0.16056
108,10900,1.63985,0.16051,1.62631,0.15963,1.48456,0.15946,1.24194,0.15924
109,11000,1.89374,0.16039,1.26927,0.16007,1.90165,0.16030,1.29960,0.16044
110,11100,1.56515,0.15842,1.38892,0.15911,1.69673,0.15882,1.32170,0.15855
111,11200,2.00678,0.15805,1.78012,0.15805,1.79632,0.15737,1.21073,0.15880
112,11300,1.66927,0.15726,1.50907,0.15914,1.67955,0.15716,1.32857,0.15766
113,11400,1.47375,0.15911,1.61013,0.15420,1.84440,0.15806,1.27445,0.15786
114,11500,1.63074,0.15761,1.57506,0.15583,1.64005,0.15661,1.33161,0.15891
115,11600,1.53936,0.15791,1.71370,0.15745,1.83336,0.15733,1.35874,0.15823
116,11700,1.63721,0.15660,1.76059,0.15751,1.50989,0.15678,1.31193,0.15634
117,11800,1.95308,0.15616,1.59429,0.15614,1.80233,0.15614,1.22417,0.15625
118,11900,1.65456,0.15573,1.65977,0.15678,1.76848,0.15507,1.33831,0.15614
119,12000,1.66157,0.15738,1.62078,0.15561,1.79561,0.15548,1.23304,0.15452
120,12100,1.77613,0.15764,1.48341,0.15456,1.59711,0.15495,1.28186,0.15470
121,12200,1.73781,0.15630,1.62332,0.15629,1.72116,0.15450,1.22406,0.15516
122,12300,1.64943,0.15348,1.56002,0.15428,1.88625,0.15567,1.29706,0.15638
123,12400,1.62616,0.15616,1.72713,0.15533,1.70502,0.15539,1.35940,0.15387
124,12500,1.53363,0.15508,1.73622,0.15734,1.70388,0.15425,1.30334,0.15399
125,12600,2.12765,0.15576,1.72696,0.15518,1.49400,0.15622,1.34855,0.15614
126,12700,1.54971,0.15432,1.41562,0.15557,1.62914,0.15457,1.28693,0.15453
127,12800,1.96146,0.15606,1.72940,0.15469,1.90824,0.15494,1.26608,0.15639
128,12900,1.62714,0.15419,1.73977,0.15403,1.89956,0.15562,1.20912,0.15509
129,13000,1.47842,0.15416,1.68128,0.15441,1.57617,0.15368,1.33447,0.15464
130,13100,1.73792,0.15608,1.53551,0.15466,1.62439,0.15446,1.29562,0.15454
