iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
126,12700,1.01334,0.00096,4.41434,0.15512
127,12800,1.06388,0.00096,4.16696,0.15631
128,12900,1.01474,0.00096,4.47376,0.15580
129,13000,0.97713,0.00095,4.79650,0.15602
130,13100,0.99270,0.00095,4.48054,0.15595
131,13200,0.98326,0.00095,4.29323,0.15613
132,13300,1.04754,0.00094,4.30011,0.15509
133,13400,1.00413,0.00094,4.30601,0.15246
134,13500,1.00743,0.00094,4.37578,0.15343
135,13600,1.01976,0.00093,4.09047,0.15283
136,13700,0.99082,0.00093,4.77164,0.15215
137,13800,0.99514,0.00092,4.32973,0.15199
138,13900,1.00275,0.00092,4.38700,0.14960
139,14000,1.04162,0.00092,4.52371,0.15224
140,14100,0.99911,0.00091,4.49313,0.15241
141,14200,0.95648,0.00091,4.30708,0.15130
142,14300,0.98119,0.00091,4.38059,0.15050
143,14400,0.92114,0.00091,4.42747,0.15089
144,14500,0.98485,0.00090,4.28104,0.15068
145,14600,1.04344,0.00090,4.30876,0.14940
146,14700,1.02707,0.00090,4.28999,0.15054
147,14800,0.99655,0.00089,4.43718,0.14744
148,14900,0.97181,0.00089,4.42003,0.15041
149,15000,0.98336,0.00089,4.45331,0.14953
150,15100,0.96282,0.00088,4.39021,0.15005
151,15200,1.01224,0.00088,4.31859,0.14978
152,15300,1.04754,0.00088,4.36079,0.14678
153,15400,1.04159,0.00088,4.38064,0.14872
154,15500,0.97966,0.00087,4.22936,0.14617
155,15600,0.99075,0.00087,4.17903,0.14755
156,15700,1.06964,0.00087,4.52979,0.14737
157,15800,1.00500,0.00086,4.17440,0.14641
158,15900,1.03659,0.00086,4.39153,0.14572
159,16000,0.96548,0.00086,4.09512,0.14525
160,16100,0.95480,0.00086,4.22604,0.14442
161,16200,0.95990,0.00085,4.15819,0.14552
162,16300,0.99304,0.00085,4.21202,0.14518
163,16400,0.98693,0.00085,4.34961,0.14345
164,16500,0.96056,0.00085,4.49211,0.14530
165,16600,0.96808,0.00084,4.43954,0.14243
166,16700,0.99615,0.00084,4.49220,0.14394
167,16800,1.00712,0.00084,4.38770,0.14469
168,16900,0.96365,0.00083,4.19806,0.14325
169,17000,1.02566,0.00083,4.42331,0.14328
170,17100,0.99420,0.00083,3.96542,0.14377
171,17200,1.01324,0.00083,4.01981,0.14205
172,17300,0.96183,0.00083,4.28462,0.14264
173,17400,1.00413,0.00082,4.21244,0.14033
174,17500,1.00589,0.00082,4.10165,0.14369
175,17600,0.99525,0.00082,4.14516,0.14050
176,17700,0.98843,0.00082,4.22149,0.14104
177,17800,1.01383,0.00081,3.99530,0.14184
178,17900,0.96949,0.00081,4.13852,0.14082
179,18000,1.03877,0.00081,4.26619,0.14176
180,18100,1.00955,0.00081,4.07786,0.14077
181,18200,1.01914,0.00080,4.23378,0.14105
182,18300,0.98789,0.00080,4.03048,0.13928
183,18400,1.00535,0.00080,4.32774,0.14084
184,18500,1.00545,0.00080,4.00838,0.14085
185,18600,0.99982,0.00080,3.86864,0.14143
186,18700,0.97016,0.00079,3.98108,0.13952
187,18800,0.99183,0.00079,3.92875,0.14142
188,18900,0.97917,0.00079,4.08773,0.13935
189,19000,1.00318,0.00079,4.29098,0.13824
190,19100,0.97940,0.00079,3.95762,0.13892
191,19200,0.97558,0.00078,3.90530,0.13952
192,19300,1.03224,0.00078,4.06235,0.13929
193,19400,1.02089,0.00078,4.03350,0.14066
194,19500,0.97962,0.00078,4.06709,0.14064
195,19600,0.97315,0.00078,4.07778,0.13701
196,19700,0.97189,0.00077,4.12205,0.13925
197,19800,0.96957,0.00077,4.20313,0.13690
198,19900,1.01382,0.00077,3.92999,0.13709
199,20000,1.00163,0.00077,4.18303,0.13802
200,20100,1.03801,0.00077,4.32796,0.13698
201,20200,0.95646,0.00076,4.00387,0.13792
202,20300,0.95386,0.00076,4.01696,0.13748
203,20400,0.97992,0.00076,3.87370,0.13632
204,20500,0.97438,0.00076,3.99951,0.13724
205,20600,1.04350,0.00076,4.11837,0.13458
206,20700,1.00192,0.00075,4.07165,0.13503
207,20800,0.97510,0.00075,3.99946,0.13729
208,20900,0.93591,0.00075,4.02761,0.13546
209,21000,1.00986,0.00075,4.08204,0.13620
210,21100,1.00165,0.00075,3.92912,0.13566
211,21200,1.05098,0.00075,3.84334,0.13631
212,21300,1.00734,0.00074,4.15243,0.13708
213,21400,0.98476,0.00074,3.95014,0.13414
214,21500,0.98753,0.00074,4.05300,0.13500
215,21600,0.98575,0.00074,3.82663,0.13487
216,21700,1.01173,0.00074,3.92770,0.13475
217,21800,1.01113,0.00073,3.86655,0.13406
218,21900,1.00164,0.00073,3.91164,0.13398
219,22000,0.98406,0.00073,3.87007,0.13403
220,22100,0.97288,0.00073,3.77132,0.13336
221,22200,0.96951,0.00073,3.81582,0.13317
222,22300,1.02061,0.00073,3.88585,0.13324
223,22400,0.95112,0.00072,4.02809,0.13258
224,22500,0.98229,0.00072,3.72800,0.13298
225,22600,1.01118,0.00072,4.00927,0.13245
226,22700,1.00347,0.00072,3.84083,0.13446
227,22800,1.02213,0.00072,3.96256,0.13314
228,22900,0.96913,0.00072,4.05128,0.13373
229,23000,0.98143,0.00072,3.92946,0.13157
230,23100,0.99741,0.00071,3.72076,0.13163
231,23200,1.00406,0.00071,4.09298,0.12954
232,23300,1.01574,0.00071,3.86381,0.13235
233,23400,1.00918,0.00071,3.82666,0.13110
234,23500,1.05015,0.00071,3.80080,0.13109
235,23600,1.00477,0.00071,3.73168,0.13087
236,23700,1.02264,0.00070,3.61627,0.13189
237,23800,1.00887,0.00070,3.80192,0.13047
238,23900,0.99147,0.00070,3.64630,0.13010
239,24000,1.00699,0.00070,3.82570,0.13062
240,24100,0.96940,0.00070,3.61603,0.13240
241,24200,1.02291,0.00070,3.97488,0.12872
242,24300,1.03712,0.00070,3.77832,0.12983
243,24400,1.00798,0.00069,3.72796,0.13073
244,24500,0.96156,0.00069,4.00167,0.13031
245,24600,0.99412,0.00069,3.84905,0.12975
246,24700,0.96611,0.00069,3.67664,0.12881
247,24800,0.97336,0.00069,3.90363,0.12957
248,24900,1.02177,0.00069,4.03946,0.12713
