iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
33,3400,-4.09413,1.04360,0.06258,2.85856,-4.00665,0.96277,0.06309,2.85822,-3.97188,0.99699,0.06306,2.85813,-3.78970,0.89830,0.06282,2.85811
34,3500,-3.92940,1.07704,0.06226,2.85113,-3.96375,0.98273,0.06243,2.85094,-3.98723,1.05422,0.06257,2.84953,-3.75030,1.04186,0.06221,2.85082
35,3600,-3.95438,1.07634,0.06210,2.84186,-4.01727,1.04120,0.06201,2.84310,-3.96311,0.96288,0.06203,2.84288,-3.74114,1.00164,0.06188,2.84252
36,3700,-3.96808,1.02598,0.06186,2.83260,-3.95743,1.09199,0.06173,2.83308,-3.98729,0.98630,0.06174,2.83203,-3.72258,0.96198,0.06184,2.83269
37,3800,-3.94909,0.95708,0.06164,2.82299,-3.99442,0.97550,0.06154,2.82362,-3.94923,1.06036,0.06120,2.82215,-3.71454,0.94382,0.06150,2.82406
38,3900,-3.99496,1.08250,0.06143,2.81270,-3.94874,1.03980,0.06129,2.81350,-3.92765,1.00171,0.06131,2.81293,-3.70565,1.01028,0.06128,2.81398
39,4000,-3.91180,1.04026,0.06163,2.80239,-3.92655,1.00734,0.06184,2.80076,-3.93742,1.02611,0.06154,2.80124,-3.68811,0.90331,0.06146,2.80114
40,4100,-3.95604,1.08121,0.06174,2.78958,-3.97303,1.10257,0.06176,2.78937,-3.97302,0.96151,0.06168,2.78911,-3.68510,1.05295,0.06185,2.78703
41,4200,-3.97780,1.07298,0.06210,2.77555,-3.91176,1.00366,0.06244,2.77456,-3.87404,1.07026,0.06201,2.77620,-3.67907,0.96999,0.06250,2.77708
42,4300,-3.97441,1.03024,0.06272,2.76278,-3.98570,1.02702,0.06244,2.76433,-3.94201,0.98152,0.06271,2.76294,-3.60411,1.01323,0.06248,2.76248
43,4400,-4.00460,1.05679,0.06298,2.75019,-3.92073,1.03628,0.06303,2.74837,-3.97327,1.05947,0.06286,2.75083,-3.59457,0.97837,0.06286,2.75237
44,4500,-4.05019,1.14612,0.06343,2.73837,-4.01254,1.05570,0.06338,2.73701,-3.92395,0.95235,0.06320,2.73506,-3.59749,0.96499,0.06313,2.73653
45,4600,-4.08541,0.96985,0.06369,2.72310,-3.97560,1.04966,0.06374,2.72328,-3.90355,1.10130,0.06419,2.72000,-3.62341,0.93096,0.06365,2.72178
46,4700,-4.04947,1.09466,0.06456,2.70717,-4.01380,1.06798,0.06423,2.70377,-3.96703,1.05827,0.06444,2.70900,-3.59717,0.97772,0.06430,2.70837
47,4800,-4.04431,1.17026,0.06489,2.69084,-4.00825,1.05237,0.06437,2.69298,-3.93141,0.95122,0.06490,2.69215,-3.61368,0.94888,0.06441,2.69700
48,4900,-4.00599,1.07558,0.06567,2.67520,-4.02395,1.06437,0.06543,2.67750,-3.85655,0.96338,0.06551,2.67642,-3.62908,0.96882,0.06569,2.67523
49,5000,-4.10731,1.08668,0.06632,2.65950,-4.06930,1.08648,0.06598,2.66157,-3.85009,0.93413,0.06587,2.65932,-3.56022,0.94186,0.06585,2.65897
50,5100,-4.08512,1.07784,0.06625,2.63988,-4.04554,1.11600,0.06680,2.64130,-3.96510,1.13804,0.06676,2.63903,-3.60562,0.92143,0.06654,2.64036
51,5200,-4.08449,1.18190,0.06744,2.62546,-4.05789,1.11450,0.06737,2.62311,-3.91566,1.10121,0.06720,2.62572,-3.55988,0.98717,0.06732,2.62383
52,5300,-4.03669,1.16164,0.06775,2.60626,-4.08207,1.15116,0.06754,2.60385,-3.89350,1.13058,0.06782,2.60702,-3.62434,0.91419,0.06745,2.60874
53,5400,-4.07267,1.34337,0.06819,2.59093,-4.04438,1.09885,0.06816,2.58861,-3.91331,1.04515,0.06789,2.58695,-3.58861,0.97099,0.06820,2.58674
54,5500,-4.03973,1.24339,0.06831,2.56923,-4.07853,1.17036,0.06873,2.56933,-3.88912,1.20347,0.06816,2.56755,-3.61767,0.91769,0.06863,2.56846
55,5600,-3.93670,1.16373,0.06920,2.55194,-4.03212,1.24606,0.06885,2.55006,-3.83087,1.22082,0.06909,2.54942,-3.62944,0.83249,0.06929,2.55045
56,5700,-3.99103,1.20689,0.06936,2.53417,-4.00428,1.12779,0.06923,2.52762,-3.84729,1.14838,0.06896,2.52837,-3.62519,0.86885,0.06868,2.53073
57,5800,-3.94416,1.17830,0.06919,2.51128,-3.98311,1.13176,0.06968,2.51204,-3.77451,1.22936,0.06937,2.50869,-3.60575,0.87589,0.06908,2.51230
58,5900,-3.95793,1.15719,0.06969,2.48729,-3.94313,1.16697,0.06976,2.48856,-3.79596,1.20907,0.06919,2.49101,-3.67009,0.85422,0.06960,2.49048
59,6000,-3.94714,1.16065,0.06952,2.47175,-3.95639,1.12685,0.06954,2.47385,-3.79707,1.29079,0.06900,2.47463,-3.64627,0.89362,0.06992,2.47688
60,6100,-3.92454,1.23432,0.06960,2.45370,-3.93936,1.20628,0.06957,2.45160,-3.78746,1.26856,0.06984,2.45545,-3.65197,0.89158,0.06944,2.45422
61,6200,-3.83791,1.17180,0.06960,2.43466,-3.94777,1.16067,0.06953,2.43417,-3.76989,1.19252,0.06998,2.42835,-3.66793,0.90225,0.06911,2.43344
62,6300,-3.79944,1.12226,0.06927,2.41434,-3.95727,1.20260,0.06919,2.41800,-3.82188,1.23733,0.06916,2.41017,-3.65763,0.90419,0.06940,2.41779
63,6400,-3.80902,1.13092,0.06919,2.39344,-3.88919,1.19094,0.06920,2.39260,-3.77491,1.26692,0.06860,2.39152,-3.67214,0.86586,0.06878,2.39606
64,6500,-3.83773,1.23828,0.06850,2.37480,-3.95011,1.21674,0.06862,2.37876,-3.78724,1.26723,0.06843,2.37803,-3.66426,0.88935,0.06864,2.38094
65,6600,-3.87845,1.10519,0.06862,2.35614,-3.92807,1.21756,0.06828,2.35953,-3.76417,1.19281,0.06859,2.36046,-3.62454,0.89106,0.06819,2.36143
66,6700,-3.80304,1.12985,0.06746,2.34594,-3.94870,1.27285,0.06769,2.34272,-3.74752,1.26142,0.06762,2.34695,-3.63022,0.96015,0.06749,2.35230
67,6800,-3.77582,1.15406,0.06716,2.33539,-3.94622,1.30081,0.06679,2.33369,-3.75306,1.27521,0.06694,2.33104,-3.65934,0.89721,0.06696,2.32675
68,6900,-3.76259,1.12258,0.06624,2.31130,-3.87963,1.19179,0.06618,2.31453,-3.70342,1.24171,0.06675,2.30878,-3.64250,0.99123,0.06640,2.30994
69,7000,-3.77776,1.16598,0.06562,2.30424,-3.84303,1.30265,0.06563,2.29534,-3.68878,1.22293,0.06533,2.30310,-3.60370,0.89952,0.06560,2.30249
70,7100,-3.73519,1.08981,0.06470,2.29360,-3.84650,1.24029,0.06467,2.29435,-3.62666,1.27066,0.06485,2.29260,-3.63471,0.93783,0.06485,2.28231
71,7200,-3.75353,1.09179,0.06408,2.26681,-3.72027,1.18549,0.06400,2.27979,-3.56223,1.28288,0.06387,2.28176,-3.62183,1.02064,0.06406,2.28564
72,7300,-3.71314,1.06057,0.06300,2.27438,-3.63667,1.18033,0.06319,2.27248,-3.49104,1.30319,0.06299,2.26639,-3.66966,0.97568,0.06302,2.26923
73,7400,-3.65844,1.08366,0.06178,2.26292,-3.64601,1.23934,0.06224,2.26212,-3.49945,1.19606,0.06199,2.26840,-3.65940,0.98297,0.06170,2.26035
74,7500,-3.67722,1.03491,0.06103,2.25680,-3.59264,1.17148,0.06104,2.25613,-3.40474,1.25189,0.06085,2.26096,-3.62020,0.93841,0.06127,2.26230
75,7600,-3.63763,1.07433,0.05990,2.24893,-3.53741,1.19256,0.05999,2.24803,-3.33350,1.22433,0.06001,2.25345,-3.65206,0.97085,0.05999,2.24375
76,7700,-3.64522,1.02131,0.05886,2.24541,-3.49484,1.19515,0.05918,2.24894,-3.29948,1.18656,0.05895,2.23445,-3.67135,0.95720,0.05904,2.24527
77,7800,-3.59090,1.06813,0.05792,2.24195,-3.45019,1.08578,0.05754,2.24671,-3.25447,1.14487,0.05785,2.24192,-3.65215,1.04035,0.05812,2.24347
78,7900,-3.55492,1.05182,0.05701,2.23738,-3.45500,1.14108,0.05689,2.23505,-3.25120,1.12054,0.05697,2.23733,-3.66299,0.93515,0.05683,2.24113
79,8000,-3.51983,0.98769,0.05599,2.23435,-3.44349,1.07877,0.05588,2.22624,-3.20501,1.05061,0.05578,2.22630,-3.66495,0.96774,0.05575,2.22478
80,8100,-3.48062,0.98798,0.05498,2.22607,-3.37553,1.08846,0.05497,2.22778,-3.16152,1.09321,0.05491,2.22607,-3.68756,1.00856,0.05500,2.23006
81,8200,-3.42169,1.00268,0.05417,2.20963,-3.33380,1.04419,0.05421,2.21697,-3.11987,1.02555,0.05390,2.22359,-3.64801,0.93402,0.05411,2.22095
82,8300,-3.42823,1.00088,0.05294,2.20670,-3.30938,0.95793,0.05295,2.21813,-3.11817,1.04723,0.05318,2.21015,-3.67635,0.95209,0.05293,2.22375
83,8400,-3.35144,0.99216,0.05226,2.20999,-3.25969,0.95798,0.05222,2.21168,-3.04869,1.10013,0.05204,2.21248,-3.65203,0.89322,0.05208,2.20872
84,8500,-3.30571,1.00106,0.05121,2.20350,-3.23926,1.02038,0.05138,2.21379,-2.94813,0.98597,0.05107,2.21527,-3.68608,0.89913,0.05102,2.21311
