iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
90,9100,2.84126,0.19839,2.19660,0.19992,2.36856,0.19864
91,9200,2.77750,0.20027,2.16168,0.19524,2.34418,0.19745
92,9300,2.85772,0.19692,2.15174,0.19717,2.32009,0.20071
93,9400,2.78697,0.19723,2.20407,0.19653,2.39123,0.19863
94,9500,2.75283,0.19796,2.26389,0.19802,2.33685,0.19722
95,9600,2.71132,0.19790,2.23562,0.19811,2.38492,0.19742
96,9700,2.85766,0.19714,2.20347,0.19524,2.39115,0.19659
97,9800,2.79780,0.19811,2.17933,0.19802,2.32901,0.19494
98,9900,2.71908,0.19726,2.20875,0.19639,2.39657,0.19369
99,10000,2.78514,0.19609,2.24545,0.19560,2.37684,0.19759
100,10100,2.76180,0.19707,2.19778,0.19705,2.39710,0.19668
101,10200,2.79179,0.19621,2.27031,0.19589,2.31048,0.19386
102,10300,2.66582,0.19483,2.17164,0.19557,2.37905,0.19554
103,10400,2.49817,0.19571,2.12972,0.19267,2.35329,0.19626
104,10500,2.70065,0.19450,2.15966,0.19427,2.36733,0.19708
105,10600,2.61120,0.19415,2.18933,0.19510,2.33826,0.19502
106,10700,2.66703,0.19479,2.13620,0.19504,2.33257,0.19489
107,10800,2.54096,0.19405,2.21902,0.19405,2.33101,0.19405
108,10900,2.64760,0.19551,2.19756,0.19598,2.30765,0.19248
109,11000,2.61678,0.19315,2.20450,0.19418,2.39555,0.19404
110,11100,2.55204,0.19359,2.19248,0.19328,2.22152,0.19224
111,11200,2.59708,0.19234,2.24956,0.19430,2.32892,0.19334
112,11300,2.47561,0.19178,2.21739,0.19266,2.34631,0.19220
113,11400,2.68152,0.19296,2.28563,0.19305,2.37332,0.19443
114,11500,2.58922,0.19289,2.20727,0.19318,2.35302,0.19240
115,11600,2.54406,0.19265,2.23093,0.19118,2.31048,0.19135
116,11700,2.47522,0.19239,2.21211,0.19160,2.35652,0.19370
117,11800,2.52589,0.19197,2.23646,0.19183,2.40699,0.19300
118,11900,2.57286,0.19404,2.19517,0.19390,2.29541,0.19103
119,12000,2.53327,0.19298,2.16987,0.19286,2.39093,0.19181
120,12100,2.50147,0.19366,2.20061,0.19460,2.32560,0.19206
121,12200,2.44721,0.19107,2.21191,0.19176,2.38025,0.19142
122,12300,2.44083,0.19203,2.25273,0.19262,2.36840,0.19180
123,12400,2.39614,0.19270,2.20305,0.19168,2.34335,0.19073
124,12500,2.44230,0.18918,2.23108,0.19190,2.29764,0.19048
125,12600,2.50614,0.19183,2.25235,0.19235,2.33275,0.19031
126,12700,2.33579,0.19102,2.19571,0.19147,2.30624,0.19235
127,12800,2.36651,0.19106,2.17556,0.19108,2.31871,0.18980
128,12900,2.37384,0.19132,2.17379,0.19161,2.35511,0.19353
129,13000,2.41754,0.19317,2.26201,0.19341,2.35480,0.19133
130,13100,2.46592,0.19362,2.22683,0.19255,2.33105,0.19144
131,13200,2.41936,0.19134,2.21313,0.19130,2.37001,0.19247
132,13300,2.43385,0.19116,2.16984,0.19279,2.34862,0.19372
133,13400,2.41369,0.19292,2.25430,0.19120,2.31134,0.19178
134,13500,2.43334,0.19165,2.23909,0.19264,2.26000,0.19181
135,13600,2.41218,0.19194,2.19126,0.19077,2.36531,0.19323
136,13700,2.39643,0.19214,2.19673,0.19093,2.30988,0.19165
137,13800,2.39515,0.19217,2.18531,0.19212,2.25956,0.18935
138,13900,2.34134,0.19047,2.24444,0.19094,2.30765,0.19161
139,14000,2.41037,0.19141,2.21813,0.19228,2.28948,0.19147
140,14100,2.30371,0.19141,2.27500,0.19234,2.28729,0.19149
141,14200,2.38342,0.19332,2.25019,0.19052,2.30031,0.19000
142,14300,2.36225,0.19043,2.27155,0.19149,2.29467,0.19070
143,14400,2.34743,0.19047,2.26107,0.19114,2.30449,0.19032
144,14500,2.33750,0.19108,2.30349,0.19073,2.25479,0.19088
145,14600,2.36347,0.19120,2.22725,0.18937,2.36993,0.18913
146,14700,2.42874,0.18989,2.22512,0.18939,2.26143,0.19008
147,14800,2.34941,0.19030,2.27648,0.18914,2.26835,0.19039
148,14900,2.39336,0.18867,2.27215,0.19082,2.30112,0.18997
149,15000,2.30822,0.18983,2.27667,0.19006,2.25012,0.19019
150,15100,2.30750,0.19190,2.33974,0.19034,2.24044,0.18985
151,15200,2.38368,0.18755,2.20358,0.18942,2.24082,0.18958
152,15300,2.35000,0.19134,2.28794,0.18927,2.26516,0.19013
153,15400,2.40074,0.18863,2.29822,0.18795,2.24631,0.18794
154,15500,2.45930,0.18914,2.30172,0.19088,2.26091,0.18810
155,15600,2.32712,0.18782,2.30351,0.18886,2.37324,0.18906
156,15700,2.35907,0.18735,2.29813,0.18922,2.29455,0.18937
157,15800,2.34522,0.18850,2.28134,0.18835,2.28996,0.18682
158,15900,2.44622,0.18905,2.23900,0.18907,2.27717,0.18832
159,16000,2.39259,0.19005,2.27762,0.19052,2.23480,0.18870
160,16100,2.25815,0.18895,2.33007,0.18841,2.30002,0.18831
161,16200,2.36013,0.18635,2.31796,0.18716,2.29854,0.18917
162,16300,2.39341,0.18804,2.35112,0.18979,2.35777,0.18874
