iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
47,4800,1.23871,0.47392,1.62287,1.00673,0.46888,1.62168,1.08125,0.46807,1.62910,0.85103,0.40163,1.61489
48,4900,1.17826,0.47045,1.62232,1.06839,0.46745,1.62050,0.92446,0.46186,1.62885,1.01008,0.39772,1.61443
49,5000,0.76003,0.46731,1.62196,1.03330,0.46144,1.62099,0.91055,0.45708,1.62914,0.85418,0.39310,1.61401
50,5100,1.19909,0.46026,1.62269,0.95423,0.45783,1.61952,0.94472,0.45407,1.62891,0.83130,0.38885,1.61438
51,5200,0.79218,0.45759,1.62192,1.38463,0.45471,1.62004,1.02966,0.44908,1.62876,0.83884,0.38479,1.61401
52,5300,0.96216,0.45174,1.62137,1.18392,0.44912,1.61968,1.04787,0.44484,1.63032,0.90498,0.38084,1.61382
53,5400,1.01051,0.44802,1.62186,0.78981,0.44556,1.61956,1.04146,0.44092,1.62895,1.00364,0.37729,1.61431
54,5500,0.95566,0.44411,1.62049,0.89731,0.44180,1.61935,0.84793,0.43687,1.62886,0.94537,0.37238,1.61405
55,5600,1.11568,0.43951,1.62088,1.00310,0.43662,1.61891,0.95182,0.43256,1.62850,0.89317,0.36844,1.61373
56,5700,1.28491,0.43494,1.62096,0.97802,0.42957,1.61845,1.03023,0.42789,1.62962,0.95850,0.36451,1.61381
57,5800,1.13037,0.42983,1.61915,1.07896,0.42657,1.61811,1.22370,0.42187,1.62766,0.85547,0.36034,1.61363
58,5900,1.08052,0.42531,1.62003,1.35240,0.42259,1.62016,0.87341,0.41876,1.62778,0.77307,0.35472,1.61332
59,6000,1.11924,0.42119,1.61921,1.18241,0.42111,1.61884,1.30573,0.41620,1.62716,0.83797,0.35153,1.61368
60,6100,0.94594,0.41778,1.62060,0.92261,0.41463,1.61883,1.07899,0.41167,1.62804,0.86670,0.34629,1.61324
61,6200,0.96166,0.41336,1.61960,0.98604,0.41288,1.61769,0.92277,0.40614,1.62788,0.94598,0.34433,1.61362
62,6300,1.14142,0.40877,1.62006,1.12457,0.40785,1.61839,1.14168,0.40220,1.62703,0.86652,0.34038,1.61366
63,6400,1.08994,0.40321,1.61866,1.09385,0.40508,1.61861,1.05339,0.39717,1.62690,0.92718,0.33646,1.61391
