iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
33,3400,-10.10280,1.12239,0.26381,1.61352,-9.64154,1.05463,0.25774,1.60550,-9.76022,1.38637,0.26434,1.58088,-7.98920,0.99988,0.20975,1.61335
34,3500,-10.28376,1.33507,0.25750,1.61343,-9.68268,1.10611,0.25182,1.60483,-9.61537,1.30468,0.25819,1.58132,-7.99333,1.05453,0.20480,1.61272
35,3600,-10.20430,1.31744,0.25060,1.61214,-9.70498,1.17722,0.24611,1.60570,-9.86852,1.32885,0.25404,1.58174,-8.01502,1.04387,0.20167,1.61191
36,3700,-10.18559,1.15278,0.24492,1.61189,-9.97496,1.27482,0.23978,1.60567,-9.76581,1.05713,0.24798,1.58167,-7.99549,0.99185,0.19698,1.61159
37,3800,-10.24343,1.22300,0.23900,1.61149,-9.88876,1.03873,0.23518,1.60585,-9.84803,1.12139,0.24313,1.58150,-7.96881,1.10738,0.19280,1.61146
38,3900,-10.23567,1.34434,0.23407,1.61079,-9.82156,1.03204,0.22931,1.60526,-9.84311,1.16104,0.23757,1.58079,-8.06358,1.05706,0.18832,1.61110
39,4000,-10.09889,1.22761,0.22908,1.61068,-9.77454,1.17703,0.22494,1.60486,-9.90446,1.04606,0.23207,1.58183,-8.06394,1.04025,0.18408,1.61002
40,4100,-10.09600,1.28680,0.22349,1.61059,-9.78522,1.31140,0.21929,1.60520,-9.88473,1.14010,0.22757,1.58148,-8.06161,1.01113,0.18026,1.61041
41,4200,-10.07273,1.12957,0.21842,1.60981,-9.80501,1.13016,0.21435,1.60448,-9.79921,1.09761,0.22308,1.58062,-8.07792,1.03073,0.17670,1.60898
42,4300,-10.29814,1.43411,0.21360,1.60957,-9.75178,1.07844,0.20987,1.60469,-9.94945,1.30892,0.21710,1.58213,-8.01149,1.43017,0.17379,1.60938
