iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-1.83180,3.82597,0.29475,-1.77142,2.92477,0.26398,-1.70804,2.78957,0.24435,-1.64148,2.47433,0.23164
1,200,-1.46215,1.67288,0.20015,-1.46866,1.48437,0.19513,-1.43748,1.42082,0.18723,-1.28013,1.33648,0.18477
2,300,-1.63200,1.32933,0.18699,-1.67956,1.49921,0.18485,-1.64602,1.24100,0.18125,-1.51573,1.38537,0.17944
3,400,-1.87016,1.61012,0.18697,-1.92005,1.36777,0.18307,-1.93720,1.53210,0.18208,-1.76783,1.29937,0.17864
4,500,-2.19981,1.85095,0.18798,-2.23388,1.22487,0.18508,-2.22457,1.45883,0.18339,-2.10124,1.26631,0.18311
5,600,-2.41535,1.50500,0.18900,-2.47074,1.69077,0.18642,-2.50745,1.51709,0.18416,-2.36532,1.17150,0.18226
6,700,-2.62939,1.34818,0.18455,-2.74959,1.43158,0.18292,-2.71710,1.62837,0.18268,-2.56646,1.22282,0.18146
7,800,-2.87504,1.56387,0.18453,-2.94379,1.52529,0.18285,-2.94319,1.62760,0.18114,-2.75061,1.26547,0.18103
8,900,-3.08586,1.45413,0.18206,-3.20586,1.20659,0.18145,-3.04478,1.47445,0.17941,-2.96934,1.20115,0.17952
9,1000,-3.32190,1.74986,0.18240,-3.29269,1.37955,0.17964,-3.26917,1.57362,0.18035,-3.14892,1.21345,0.17858
10,1100,-3.58568,1.76988,0.18336,-3.59819,1.69090,0.18136,-3.50867,1.76368,0.18043,-3.35119,1.30459,0.18046
11,1200,-3.77289,1.50438,0.18320,-3.85420,1.32356,0.18261,-3.63488,1.51524,0.18155,-3.60305,1.25581,0.18086
12,1300,-3.95502,1.63345,0.18337,-4.00379,1.53393,0.18079,-3.82950,1.49481,0.18095,-3.82858,1.43224,0.18204
13,1400,-4.16743,1.64538,0.18154,-4.29599,1.56390,0.18187,-4.10937,1.55369,0.18045,-4.05388,1.36181,0.18076
14,1500,-4.43622,1.45299,0.18011,-4.49219,1.24671,0.17959,-4.29878,1.40152,0.17806,-4.25110,1.35095,0.18028
15,1600,-4.50111,1.48470,0.17947,-4.65437,1.24718,0.17943,-4.49921,1.46529,0.17834,-4.50400,1.29479,0.17753
16,1700,-4.77985,1.82122,0.17804,-4.89267,1.80477,0.17875,-4.73377,1.24700,0.17966,-4.77677,1.21936,0.17915
17,1800,-4.97633,1.67900,0.17977,-5.14746,1.51997,0.17733,-5.02640,1.38064,0.17918,-4.96818,1.30105,0.17774
18,1900,-5.29854,1.31623,0.17825,-5.37576,1.67180,0.17770,-5.21201,1.56443,0.17827,-5.19875,1.43342,0.17796
19,2000,-5.49508,1.68582,0.17802,-5.75063,1.35521,0.18105,-5.45027,1.43396,0.17854,-5.39601,1.34079,0.17808
20,2100,-5.77296,1.77879,0.17977,-5.86881,1.57161,0.17896,-5.67972,1.47348,0.17861,-5.53551,1.42966,0.17893
21,2200,-5.97880,1.48784,0.17982,-6.07218,1.32679,0.17913,-5.87413,1.50931,0.17912,-5.84689,1.38098,0.17806
22,2300,-6.01009,1.41520,0.17996,-6.27799,1.43491,0.18025,-6.16551,1.38922,0.18024,-6.11098,1.21427,0.17970
23,2400,-6.40702,1.62460,0.18145,-6.53722,1.35339,0.18037,-6.41638,1.32161,0.18073,-6.38279,1.24166,0.18026
24,2500,-6.64033,1.72555,0.17896,-6.65148,1.61959,0.18009,-6.60382,1.47207,0.18164,-6.58829,1.39177,0.18026
25,2600,-6.83065,1.40883,0.18029,-6.91012,1.51754,0.18087,-6.84952,1.52472,0.17992,-6.73067,1.26002,0.18022
26,2700,-6.98558,1.74262,0.18207,-7.13156,1.95243,0.18043,-7.01104,1.42229,0.17953,-6.95423,1.22136,0.18036
27,2800,-7.19539,1.20547,0.18050,-7.30526,1.57948,0.18220,-7.26358,1.26215,0.17837,-7.11539,1.42854,0.17862
28,2900,-7.37151,1.27517,0.18191,-7.55694,1.52797,0.17959,-7.45473,1.39050,0.18041,-7.38738,1.38182,0.17990
29,3000,-7.53953,1.64759,0.18018,-7.74783,1.59961,0.18003,-7.72028,1.50764,0.17955,-7.50803,1.31997,0.18028
30,3100,-7.89846,1.41623,0.18370,-8.06360,1.60789,0.18211,-7.85892,1.23080,0.17980,-7.66518,1.56452,0.18067
31,3200,-8.22661,1.63427,0.18228,-8.38017,1.22700,0.18284,-8.18146,1.35349,0.17964,-8.01017,1.40746,0.17980
32,3300,-8.44790,1.44617,0.18312,-8.66873,1.96575,0.18188,-8.47039,1.54551,0.18362,-8.24270,1.30423,0.18149
33,3400,-8.60333,1.45053,0.18302,-8.87282,1.26671,0.18368,-8.71915,1.52601,0.18281,-8.49131,1.46695,0.18367
34,3500,-8.93838,1.48125,0.18610,-9.12151,1.64844,0.18551,-8.89942,1.83067,0.18386,-8.77168,1.58522,0.18440
35,3600,-9.07837,1.66887,0.18686,-9.32177,1.60277,0.18393,-9.14477,1.51121,0.18438,-8.86983,1.97505,0.18300
36,3700,-9.46540,1.86887,0.18538,-9.54357,1.61447,0.18601,-9.32392,1.44468,0.18652,-9.24875,1.89371,0.18562
37,3800,-9.42842,1.48976,0.18629,-9.72689,1.82384,0.18740,-9.52621,1.63943,0.18511,-9.30589,1.50712,0.18581
38,3900,-9.62232,1.59621,0.18463,-10.00608,1.98272,0.18661,-9.76129,1.34286,0.18831,-9.51667,1.44592,0.18392
39,4000,-9.94076,1.45954,0.18679,-10.20941,1.70378,0.18537,-10.01598,1.60631,0.18793,-9.76833,1.48584,0.18691
40,4100,-10.00887,1.44866,0.18636,-10.37587,1.85538,0.18723,-10.18655,1.35843,0.18676,-9.83132,1.41305,0.18449
41,4200,-10.22211,1.58714,0.18498,-10.59695,1.39882,0.18443,-10.24268,1.55249,0.18719,-10.03167,1.44182,0.18502
42,4300,-10.31887,1.82470,0.18616,-10.76749,1.60050,0.18494,-10.58056,1.46788,0.18558,-10.27256,1.66701,0.18704
43,4400,-10.58289,1.63542,0.18695,-10.99258,1.82101,0.18568,-10.65422,1.71994,0.18462,-10.49936,1.39517,0.18697
44,4500,-10.73735,1.52179,0.18601,-11.15654,1.78384,0.18432,-10.91663,1.90824,0.18481,-10.57129,1.68648,0.18710
45,4600,-11.01567,1.74662,0.18656,-11.33450,1.27811,0.18709,-11.14192,1.58105,0.18639,-10.78910,1.53273,0.18634
