iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
47,4800,0.92452,0.18377,1.61031,1.01784,0.18682,1.60587,1.06072,0.18575,1.60538,0.95837,0.15348,1.60931
48,4900,0.92583,0.18012,1.61030,0.91903,0.18153,1.60593,0.98036,0.18117,1.60574,0.88384,0.15095,1.60896
49,5000,1.00126,0.17553,1.60957,0.98933,0.17806,1.60557,1.04721,0.17669,1.60493,0.92107,0.14746,1.60919
50,5100,0.96887,0.17160,1.60948,1.03799,0.17267,1.60564,0.95086,0.17295,1.60538,0.99560,0.14379,1.60913
51,5200,1.07085,0.16793,1.60961,1.04396,0.16973,1.60556,1.00937,0.16897,1.60492,0.95509,0.14068,1.60902
52,5300,0.96282,0.16389,1.60925,0.94892,0.16546,1.60505,1.00811,0.16428,1.60490,0.94618,0.13763,1.60905
53,5400,0.97770,0.16014,1.60936,0.95097,0.16147,1.60556,0.95336,0.16048,1.60399,0.99939,0.13420,1.60909
54,5500,0.98671,0.15629,1.60929,1.00066,0.15770,1.60559,1.01993,0.15661,1.60406,0.88923,0.13207,1.60880
55,5600,1.01510,0.15274,1.60908,1.01836,0.15421,1.60545,0.95131,0.15260,1.60374,0.98910,0.12855,1.60891
56,5700,1.00715,0.14880,1.60879,0.98384,0.15057,1.60478,0.99888,0.14913,1.60468,0.87400,0.12604,1.60907
57,5800,0.92276,0.14517,1.60893,1.01021,0.14706,1.60475,0.92633,0.14576,1.60373,0.99345,0.12320,1.60848
58,5900,1.02013,0.14238,1.60874,0.88825,0.14372,1.60501,0.92745,0.14259,1.60357,0.94322,0.12012,1.60873
59,6000,1.01945,0.13994,1.60823,1.01537,0.14005,1.60446,1.00957,0.13992,1.60402,0.93808,0.11720,1.60905
60,6100,0.97230,0.13626,1.60829,1.04944,0.13767,1.60460,1.00273,0.13580,1.60393,0.96747,0.11479,1.60910
61,6200,1.04199,0.13340,1.60759,1.04785,0.13371,1.60481,1.04617,0.13298,1.60406,0.95723,0.11268,1.60918
