iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
44,4500,-15.79804,2.72777,0.36243,-15.32012,2.55648,0.35448,-15.69567,2.38169,0.34847,-14.55071,2.35752,0.32567
45,4600,-16.11236,2.69660,0.36390,-15.54875,2.58045,0.35752,-15.97394,2.22601,0.34972,-14.87821,2.21177,0.32454
46,4700,-16.25630,2.48820,0.36286,-15.62027,2.81987,0.35581,-16.18580,2.40831,0.35425,-14.79325,2.13106,0.32023
47,4800,-16.41072,2.42232,0.36253,-15.86814,2.81159,0.35751,-16.25374,2.49042,0.35156,-14.98503,2.23762,0.32313
48,4900,-16.66590,2.80892,0.36475,-16.07992,2.48560,0.35625,-16.48971,2.34977,0.34893,-15.09690,2.26180,0.31862
49,5000,-16.80117,2.90579,0.36404,-16.31877,2.61829,0.35705,-16.76189,2.38660,0.35071,-15.28525,2.36578,0.31970
50,5100,-16.95999,2.87227,0.36421,-16.47453,2.65261,0.35691,-17.09000,2.78850,0.35091,-15.40260,2.74949,0.31366
51,5200,-16.99604,3.00324,0.36498,-16.65675,2.57416,0.35600,-17.17638,2.54707,0.35081,-15.37719,3.37074,0.31165
52,5300,-17.27065,2.97946,0.36640,-16.81097,2.49757,0.35764,-17.35558,2.54789,0.35115,-15.43674,2.49521,0.31507
53,5400,-17.52850,3.21809,0.36609,-17.13371,3.18609,0.36112,-17.57535,2.32980,0.35128,-15.63385,2.50778,0.31380
54,5500,-17.54679,3.05868,0.36363,-17.27984,2.89631,0.35754,-17.77654,2.23245,0.35107,-15.76708,2.61679,0.31082
55,5600,-17.91036,2.72664,0.36483,-17.47383,2.37794,0.36002,-18.01423,2.52755,0.35449,-15.71051,2.44696,0.30875
56,5700,-17.92713,2.48007,0.36844,-17.75533,2.48778,0.35954,-18.00711,3.28055,0.35381,-15.82855,2.41588,0.30540
57,5800,-18.25393,2.46692,0.36278,-17.86680,3.10490,0.35910,-18.28619,2.72649,0.35102,-15.83110,2.60865,0.30428
58,5900,-18.32692,3.06286,0.36299,-17.80326,2.72578,0.35515,-18.58794,3.01039,0.35484,-15.90535,2.28495,0.30078
59,6000,-18.41401,2.71254,0.36420,-18.17857,2.37135,0.35886,-18.71402,2.54202,0.35187,-15.84608,2.34693,0.30100
60,6100,-18.79038,3.09127,0.36206,-18.33551,2.49174,0.35904,-18.89831,2.46887,0.35491,-15.91571,2.55824,0.30192
61,6200,-18.82620,2.57953,0.36478,-18.42556,2.67303,0.35528,-19.03898,2.62545,0.35244,-15.99264,2.57231,0.29997
62,6300,-18.92594,2.48424,0.36645,-18.68978,2.63227,0.35475,-19.29760,2.56253,0.35596,-16.10960,2.27267,0.30017
63,6400,-19.17002,2.42075,0.36319,-18.78323,2.58871,0.35918,-19.41245,2.48300,0.35465,-16.14010,2.36006,0.29966
64,6500,-19.34320,2.82067,0.36512,-18.84127,2.74495,0.35796,-19.53819,2.38605,0.35707,-16.09676,2.45815,0.29669
65,6600,-19.34489,2.57093,0.36541,-18.90092,3.10552,0.35637,-19.73777,2.86140,0.35648,-16.19938,2.10180,0.29601
66,6700,-19.64110,3.01707,0.36441,-18.94127,2.65762,0.35815,-19.84197,2.77422,0.35616,-16.21080,2.56763,0.29373
67,6800,-19.86090,3.29465,0.36280,-19.43380,2.75425,0.35813,-20.03389,2.57780,0.35714,-16.26666,2.50544,0.29660
68,6900,-19.89047,3.09516,0.36258,-19.56273,2.56030,0.36011,-20.12897,2.60431,0.35605,-16.27948,2.32515,0.29444
