iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
66,6700,-5.87127,0.21656,0.04946,1.89785,-5.93366,0.24467,0.04952,1.89779
67,6800,-5.84315,0.20789,0.04927,1.89330,-5.96864,0.25505,0.04932,1.89274
68,6900,-5.90485,0.20570,0.04907,1.88889,-5.97950,0.24515,0.04933,1.88889
69,7000,-5.83414,0.19495,0.04913,1.88379,-6.01777,0.22309,0.04919,1.88292
70,7100,-5.86526,0.23557,0.04901,1.88090,-5.99604,0.26431,0.04905,1.87678
71,7200,-5.82286,0.33208,0.04892,1.87312,-5.98551,0.18694,0.04893,1.87351
72,7300,-5.89930,0.19648,0.04897,1.86882,-5.96438,0.23820,0.04905,1.87053
73,7400,-5.85432,0.22804,0.04914,1.86486,-5.97898,0.18634,0.04905,1.86232
74,7500,-5.80714,0.19144,0.04914,1.85819,-6.00324,0.20033,0.04901,1.85680
75,7600,-5.91590,0.24834,0.04901,1.85027,-5.97356,0.22985,0.04890,1.85443
76,7700,-5.86959,0.25246,0.04928,1.84628,-6.02994,0.23139,0.04883,1.84773
77,7800,-5.90214,0.23033,0.04897,1.84356,-6.05670,0.21945,0.04917,1.84213
78,7900,-5.90362,0.21240,0.04926,1.83504,-6.04434,0.28028,0.04910,1.83741
79,8000,-5.95973,0.20812,0.04940,1.83020,-6.03485,0.27160,0.04926,1.83137
80,8100,-5.94685,0.24311,0.04930,1.82429,-6.06879,0.22461,0.04916,1.82564
81,8200,-5.92016,0.20220,0.04927,1.81815,-6.10771,0.19151,0.04915,1.81892
82,8300,-5.93135,0.22578,0.04949,1.81199,-6.10405,0.22861,0.04939,1.81115
83,8400,-5.92842,0.21434,0.04940,1.80628,-6.11903,0.19450,0.04937,1.80670
84,8500,-5.93714,0.21786,0.04957,1.80222,-6.14844,0.25218,0.04979,1.79660
85,8600,-5.96743,0.29261,0.04931,1.79474,-6.10594,0.28914,0.04965,1.79256
86,8700,-5.97625,0.20591,0.04995,1.78496,-6.16438,0.22389,0.04989,1.78567
87,8800,-5.95446,0.21061,0.04952,1.78180,-6.12307,0.19541,0.04972,1.77613
88,8900,-6.04291,0.21466,0.04965,1.77665,-6.17073,0.23523,0.04988,1.77404
89,9000,-6.01399,0.23468,0.04982,1.76649,-6.22518,0.19856,0.04990,1.76935
90,9100,-6.03102,0.24592,0.05017,1.76087,-6.18589,0.29485,0.04992,1.76175
91,9200,-6.03855,0.23569,0.04992,1.75761,-6.20803,0.19999,0.04987,1.75808
92,9300,-6.02891,0.22402,0.04972,1.74879,-6.28253,0.19967,0.05009,1.74948
93,9400,-6.07205,0.21203,0.04982,1.74264,-6.24428,0.18276,0.05006,1.73810
94,9500,-6.04026,0.29088,0.05012,1.73376,-6.30779,0.18576,0.04992,1.73621
95,9600,-6.03722,0.39843,0.05018,1.72807,-6.28234,0.17908,0.05002,1.72528
96,9700,-6.04237,0.23607,0.04996,1.72057,-6.30336,0.18723,0.05000,1.72170
97,9800,-6.04232,0.28180,0.05024,1.71336,-6.36691,0.21013,0.04982,1.71387
98,9900,-6.10808,0.22650,0.04996,1.70436,-6.32928,0.22707,0.05014,1.70415
99,10000,-6.18219,0.23176,0.05009,1.69731,-6.34583,0.25163,0.05029,1.69487
100,10100,-6.11785,0.24876,0.04973,1.69473,-6.37189,0.30125,0.05010,1.69308
101,10200,-6.14012,0.21672,0.04996,1.68401,-6.38418,0.20793,0.04985,1.68380
102,10300,-6.08561,0.22007,0.04997,1.67616,-6.41345,0.26723,0.04997,1.67089
103,10400,-6.16304,0.26776,0.04975,1.66962,-6.41721,0.18728,0.04987,1.66880
104,10500,-6.14382,0.26825,0.04988,1.65904,-6.42292,0.18404,0.04990,1.65912
105,10600,-6.15690,0.23989,0.04963,1.65257,-6.41394,0.26835,0.04985,1.64894
106,10700,-6.17152,0.21332,0.04989,1.64634,-6.41856,0.24252,0.04969,1.64798
107,10800,-6.23017,0.21135,0.04933,1.63544,-6.45037,0.21606,0.04928,1.63884
108,10900,-6.18029,0.27253,0.04944,1.63289,-6.50165,0.18965,0.04922,1.62499
109,11000,-6.22900,0.23301,0.04924,1.62104,-6.50384,0.22763,0.04899,1.62293
110,11100,-6.21717,0.23672,0.04899,1.61252,-6.47887,0.19883,0.04854,1.62038
111,11200,-6.18880,0.27764,0.04904,1.60459,-6.49334,0.22972,0.04884,1.60998
112,11300,-6.25946,0.24580,0.04862,1.59803,-6.47468,0.23859,0.04871,1.59659
113,11400,-6.17799,0.27858,0.04854,1.58939,-6.45086,0.21914,0.04863,1.59366
114,11500,-6.20751,0.24202,0.04835,1.58619,-6.51544,0.20450,0.04861,1.57887
115,11600,-6.24763,0.30115,0.04800,1.57398,-6.42524,0.23576,0.04861,1.57294
116,11700,-6.20349,0.25710,0.04816,1.57019,-6.54384,0.23270,0.04808,1.57126
117,11800,-6.19789,0.26509,0.04816,1.56365,-6.47562,0.27660,0.04767,1.56814
118,11900,-6.23658,0.23127,0.04794,1.54925,-6.49752,0.27540,0.04776,1.55685
119,12000,-6.18999,0.25248,0.04798,1.54911,-6.54618,0.29918,0.04814,1.54048
120,12100,-6.24722,0.23920,0.04787,1.53634,-6.55463,0.24802,0.04796,1.53294
121,12200,-6.20764,0.22183,0.04793,1.52568,-6.53162,0.24762,0.04796,1.52992
122,12300,-6.21541,0.32086,0.04804,1.52427,-6.54395,0.22442,0.04802,1.52636
123,12400,-6.20022,0.27726,0.04816,1.51448,-6.54163,0.24108,0.04818,1.51377
124,12500,-6.20911,0.26291,0.04854,1.50125,-6.57687,0.20228,0.04827,1.50968
125,12600,-6.19701,0.22443,0.04820,1.51003,-6.54235,0.19783,0.04848,1.49740
126,12700,-6.17032,0.23198,0.04850,1.49005,-6.55419,0.20476,0.04842,1.49418
127,12800,-6.18157,0.25809,0.04887,1.48691,-6.56891,0.28339,0.04910,1.47838
128,12900,-6.18975,0.26325,0.04912,1.48265,-6.59515,0.22294,0.04895,1.47863
129,13000,-6.18557,0.30495,0.04930,1.46722,-6.58012,0.19363,0.04945,1.47475
130,13100,-6.16595,0.25655,0.04957,1.46590,-6.59993,0.22639,0.04971,1.46814
131,13200,-6.25957,0.27048,0.05005,1.46627,-6.60834,0.20329,0.04982,1.45935
132,13300,-6.18286,0.34641,0.05008,1.46363,-6.58589,0.18593,0.05010,1.45570
133,13400,-6.22620,0.31332,0.05054,1.45526,-6.58206,0.18174,0.05041,1.45671
134,13500,-6.24431,0.23240,0.05078,1.44140,-6.63762,0.16801,0.05075,1.45210
135,13600,-6.22300,0.21882,0.05124,1.43430,-6.61326,0.22169,0.05130,1.44158
136,13700,-6.29051,0.27333,0.05179,1.43567,-6.64173,0.21196,0.05189,1.43140
137,13800,-6.29240,0.18826,0.05145,1.42254,-6.59123,0.27235,0.05213,1.43446
138,13900,-6.22107,0.18794,0.05231,1.41577,-6.68526,0.20519,0.05238,1.42855
139,14000,-6.25892,0.20394,0.05293,1.41904,-6.58546,0.15254,0.05263,1.42228
140,14100,-6.24878,0.28685,0.05312,1.40913,-6.65692,0.16300,0.05262,1.41355
141,14200,-6.28425,0.22381,0.05383,1.40768,-6.63442,0.17108,0.05346,1.40238
142,14300,-6.28728,0.23823,0.05389,1.39711,-6.69232,0.16072,0.05426,1.39902
143,14400,-6.25766,0.22929,0.05382,1.39805,-6.72410,0.18993,0.05411,1.39328
144,14500,-6.32991,0.24290,0.05493,1.38169,-6.66612,0.17838,0.05480,1.38947
145,14600,-6.34781,0.21585,0.05513,1.39015,-6.70419,0.18894,0.05481,1.38058
146,14700,-6.28816,0.23288,0.05499,1.37868,-6.74347,0.22210,0.05586,1.38240
147,14800,-6.32328,0.23126,0.05615,1.36843,-6.69007,0.21830,0.05612,1.36846
148,14900,-6.33399,0.27760,0.05666,1.36197,-6.76220,0.18156,0.05685,1.36589
149,15000,-6.33810,0.27278,0.05721,1.35880,-6.71915,0.27143,0.05639,1.36324
150,15100,-6.36607,0.26508,0.05626,1.35404,-6.69776,0.22633,0.05723,1.35695
151,15200,-6.35292,0.23870,0.05733,1.35944,-6.75755,0.18886,0.05766,1.35786
152,15300,-6.36864,0.25936,0.05767,1.34822,-6.76425,0.19564,0.05777,1.35246
153,15400,-6.36402,0.25305,0.05878,1.34000,-6.77608,0.20139,0.05843,1.34624
154,15500,-6.41356,0.22811,0.05796,1.32968,-6.82727,0.23338,0.05874,1.34334
155,15600,-6.40697,0.18460,0.05853,1.33630,-6.76802,0.22921,0.05938,1.33356
156,15700,-6.33578,0.20775,0.05922,1.32066,-6.80951,0.23808,0.05947,1.32074
