iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
44,4500,-29.39958,3.75339,0.73390,-36.55121,1.66805,0.91435,-31.61989,1.83487,0.78065,-28.23043,1.29380,0.67461
45,4600,-29.83655,1.90127,0.72421,-36.68706,1.60063,0.91257,-31.69545,2.37025,0.77126,-28.22141,1.18097,0.66245
46,4700,-29.68459,2.10951,0.71475,-36.87555,1.35412,0.89548,-32.04540,1.83357,0.76011,-28.46341,1.11521,0.65830
47,4800,-29.88442,1.78832,0.71067,-37.12025,1.65538,0.88461,-32.21939,2.53684,0.75380,-28.47413,1.01470,0.64626
48,4900,-30.13733,1.31235,0.70130,-37.41887,1.48084,0.87645,-31.84971,1.94344,0.75408,-28.36503,1.11534,0.64024
49,5000,-29.87113,1.32843,0.69189,-37.25718,2.88597,0.86513,-32.16290,1.80993,0.73940,-28.51658,1.18071,0.63373
50,5100,-30.02085,1.31598,0.68337,-37.86870,5.90857,0.85564,-32.12474,1.60358,0.73279,-28.52972,1.09341,0.62189
51,5200,-30.02292,1.24312,0.67274,-37.28797,3.17195,0.84091,-32.18451,1.73138,0.72112,-28.69825,2.46190,0.61433
52,5300,-29.94077,2.50934,0.66516,-37.26026,2.35807,0.83285,-32.16759,1.66001,0.71331,-28.68611,4.56078,0.60405
53,5400,-29.92665,2.78837,0.65423,-37.15552,1.96607,0.81937,-32.28045,1.40437,0.70546,-28.36258,3.81000,0.59525
54,5500,-29.61089,2.80665,0.64731,-37.34305,2.05357,0.80537,-32.33902,1.73268,0.69593,-28.90332,3.44504,0.58303
55,5600,-30.06645,3.73232,0.64126,-37.38872,1.84742,0.79288,-32.23974,1.69334,0.68449,-28.53326,4.09041,0.57780
56,5700,-30.09296,1.62475,0.63344,-37.60363,2.35805,0.78000,-32.32455,1.55247,0.67833,-28.17535,3.54853,0.56936
57,5800,-29.79357,1.53369,0.62452,-37.54975,1.80517,0.76682,-32.27344,1.62549,0.66746,-28.47612,3.95504,0.55971
58,5900,-29.81220,1.54114,0.61480,-37.45714,1.33150,0.76215,-32.48996,2.24164,0.66195,-28.08674,1.72014,0.55197
59,6000,-30.08720,2.26130,0.60554,-37.25415,1.64925,0.75346,-32.59215,2.61160,0.65269,-28.02504,3.07393,0.54303
60,6100,-29.73351,2.41133,0.59566,-37.29028,2.96667,0.74222,-32.22975,2.62364,0.63968,-27.95331,1.92803,0.53528
61,6200,-29.71613,1.62252,0.59155,-36.89619,3.47663,0.73797,-32.15028,1.70841,0.63117,-28.01109,1.84937,0.52782
62,6300,-29.30707,1.48960,0.57918,-37.17226,1.80346,0.72550,-32.07001,2.02847,0.62532,-27.78219,1.76601,0.51584
63,6400,-29.53868,2.34367,0.57200,-37.07295,2.07305,0.71690,-32.29353,3.65130,0.61961,-27.70720,1.61548,0.51157
64,6500,-29.57953,2.11898,0.56319,-36.90449,2.13870,0.70558,-32.33730,1.72557,0.61146,-27.77431,1.30401,0.50406
65,6600,-29.35340,1.70967,0.55899,-37.17004,1.38493,0.69752,-31.98198,1.56752,0.60216,-27.42929,1.12969,0.49885
66,6700,-29.46707,2.16813,0.54894,-36.86888,1.24392,0.68408,-31.57357,2.14084,0.59373,-27.76446,2.41077,0.49241
67,6800,-29.16750,2.43979,0.54408,-36.42496,1.31828,0.67699,-31.82676,1.82875,0.58211,-27.16119,2.72635,0.48292
68,6900,-28.91750,1.78148,0.53330,-36.57987,2.37565,0.67133,-31.81107,2.94887,0.57852,-27.19605,5.32760,0.47431
69,7000,-28.79195,2.12064,0.52994,-36.05641,2.99281,0.66595,-31.11105,3.33569,0.56901,-27.36485,1.12749,0.46766
70,7100,-28.84255,3.27663,0.52000,-36.42163,3.89621,0.65107,-31.39971,1.88514,0.56059,-27.10518,1.02533,0.45823
71,7200,-28.62141,1.92897,0.51315,-36.23927,2.18076,0.64296,-31.23745,1.59488,0.55626,-27.27952,1.60879,0.45422
72,7300,-28.30557,1.57447,0.50738,-36.19174,1.86101,0.63609,-30.69461,1.58449,0.54896,-27.03135,1.28899,0.44632
73,7400,-28.10755,1.54971,0.50038,-35.56399,1.99724,0.62361,-30.77417,2.96328,0.53904,-26.96331,1.35563,0.44077
74,7500,-27.99172,1.49270,0.49585,-35.17948,2.03475,0.61364,-30.73288,1.93416,0.53933,-26.59474,1.20807,0.43254
75,7600,-28.21580,1.99661,0.49128,-35.18751,1.80698,0.60774,-30.32297,1.60579,0.52517,-26.27348,2.38405,0.42683
76,7700,-27.56651,3.74211,0.47909,-35.04950,1.91034,0.59825,-29.98636,1.57565,0.52025,-26.29586,2.20846,0.42345
77,7800,-27.39412,3.00143,0.47691,-35.01578,2.01554,0.58394,-30.20210,3.32117,0.51646,-26.07292,1.39595,0.41513
78,7900,-27.54038,1.95014,0.46728,-34.55422,2.59254,0.58213,-29.49461,2.72115,0.51016,-26.27643,2.66851,0.40804
79,8000,-27.60083,2.56784,0.46248,-34.42228,1.41456,0.56870,-29.48595,2.10925,0.50192,-26.03028,2.64536,0.40432
80,8100,-27.15424,2.06924,0.45617,-34.02540,1.27474,0.56142,-29.25303,1.87672,0.49461,-25.80075,1.25731,0.39783
81,8200,-26.94506,2.05726,0.45005,-33.74955,1.29585,0.55515,-29.24069,2.78326,0.49111,-25.50372,1.47553,0.39241
82,8300,-26.78637,1.91647,0.44366,-33.65205,2.65011,0.54139,-29.40348,1.54309,0.48164,-25.49991,2.35164,0.38716
83,8400,-26.71999,1.85280,0.43868,-33.69705,3.91603,0.53496,-28.93770,1.45569,0.47715,-25.63022,5.37478,0.38118
84,8500,-26.51016,3.44949,0.43261,-33.65295,1.99801,0.52570,-28.58371,1.22544,0.47047,-25.57875,1.65327,0.37497
85,8600,-26.43683,2.55060,0.42753,-32.79586,3.22829,0.52063,-28.47516,1.47774,0.46356,-25.13906,1.49572,0.36908
86,8700,-26.14262,1.30635,0.42122,-32.92171,1.77729,0.51010,-28.32666,1.25285,0.45529,-25.23132,1.36658,0.36443
87,8800,-26.38500,2.56402,0.41431,-32.54165,2.02466,0.50143,-28.10811,1.54062,0.45012,-24.88552,2.91864,0.35897
88,8900,-25.98618,2.16719,0.40981,-32.34272,3.70044,0.49354,-27.77784,1.40823,0.44335,-25.02730,1.98763,0.35486
89,9000,-25.39811,1.68430,0.40470,-32.07507,1.80333,0.48506,-27.73361,1.17861,0.43984,-24.43275,1.45156,0.34924
