iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,-2.43465,1.68233,0.38753,1.09772,-2.75444,1.78883,0.47162,1.61028
1,200,-2.70843,0.50011,0.37799,1.09612,-3.17732,0.55166,0.46722,1.60640
2,300,-2.97885,0.38309,0.37202,1.09728,-3.34725,0.34937,0.43891,1.60742
3,400,-3.24533,0.40876,0.36756,1.09906,-3.67720,0.32908,0.42706,1.60844
4,500,-3.52848,0.38329,0.36116,1.09946,-3.99324,0.27468,0.41431,1.60932
5,600,-3.82638,0.40127,0.35446,1.09934,-4.33293,0.28223,0.40177,1.61000
6,700,-4.01224,0.38146,0.34618,1.09817,-4.63588,0.27842,0.39177,1.61020
7,800,-4.27821,0.26385,0.33852,1.09736,-4.87020,0.27132,0.38008,1.61012
8,900,-4.49168,0.25239,0.32950,1.09614,-5.11288,0.25781,0.36964,1.61019
9,1000,-4.73399,0.26372,0.32205,1.09616,-5.33322,0.26666,0.36011,1.61001
10,1100,-5.00014,0.27259,0.31449,1.09606,-5.60847,0.26299,0.34958,1.60970
11,1200,-5.17086,0.22585,0.30728,1.09634,-5.77930,0.23979,0.34176,1.60983
12,1300,-5.38545,0.23631,0.30025,1.09674,-6.03351,0.26775,0.33318,1.60953
13,1400,-5.62104,0.28550,0.29302,1.09675,-6.24103,0.20690,0.32421,1.60850
14,1500,-5.68347,0.18656,0.28625,1.09694,-6.32454,0.21209,0.31629,1.60877
15,1600,-5.97106,0.26306,0.27947,1.09670,-6.61800,0.23143,0.30989,1.60819
16,1700,-6.06928,0.20694,0.27303,1.09637,-6.88638,0.19363,0.30335,1.60786
17,1800,-6.07154,0.19155,0.26664,1.09585,-6.93897,0.18383,0.29657,1.60780
18,1900,-6.36069,0.30564,0.26053,1.09558,-7.22617,0.20051,0.28949,1.60636
19,2000,-6.55719,0.20830,0.25453,1.09532,-7.32563,0.32923,0.28224,1.60656
20,2100,-6.71887,0.20468,0.24833,1.09485,-7.57422,0.21703,0.27626,1.60648
21,2200,-6.71372,0.23270,0.24256,1.09462,-7.66288,0.25035,0.26947,1.60596
22,2300,-6.69525,0.24406,0.23681,1.09440,-7.67958,0.18322,0.26408,1.60611
23,2400,-7.02971,0.25294,0.23082,1.09421,-7.95611,0.26993,0.25792,1.60510
24,2500,-7.12187,0.15979,0.22508,1.09391,-8.08949,0.24041,0.25230,1.60500
25,2600,-7.23298,0.32896,0.21978,1.09355,-8.22399,0.25213,0.24685,1.60456
26,2700,-7.40361,0.20956,0.21446,1.09304,-8.42360,0.25016,0.24008,1.60368
27,2800,-7.46872,0.17726,0.20905,1.09271,-8.52431,0.29132,0.23477,1.60361
28,2900,-7.57336,0.27127,0.20385,1.09237,-8.63787,0.23206,0.23020,1.60372
29,3000,-7.61049,0.22743,0.19889,1.09197,-8.65420,0.24616,0.22444,1.60299
30,3100,-7.73120,0.21919,0.19355,1.09148,-8.78902,0.26710,0.21905,1.60305
31,3200,-7.84664,0.28862,0.18872,1.09132,-8.85820,0.22085,0.21383,1.60228
32,3300,-7.88954,0.34021,0.18399,1.09105,-8.92648,0.47587,0.20919,1.60185
33,3400,-7.94155,0.46887,0.17924,1.09081,-8.91977,0.39665,0.20424,1.60124
34,3500,-7.91770,0.32848,0.17441,1.09027,-8.98572,0.34554,0.20032,1.60164
35,3600,-7.95853,0.34694,0.16997,1.09004,-9.07064,0.41665,0.19446,1.60063
36,3700,-8.01098,0.30960,0.16559,1.08970,-9.17132,0.48434,0.19050,1.60057
37,3800,-8.12269,0.45870,0.16085,1.08859,-9.13260,0.57871,0.18570,1.60027
38,3900,-8.14885,0.50498,0.15657,1.08833,-9.25842,0.47892,0.18118,1.59943
39,4000,-8.14315,0.42708,0.15252,1.08796,-9.26011,0.45962,0.17705,1.59908
40,4100,-8.21555,0.47154,0.14804,1.08747,-9.30135,0.40065,0.17313,1.59931
41,4200,-8.15721,0.55865,0.14388,1.08691,-9.36423,0.28350,0.16842,1.59852
42,4300,-8.24564,0.53119,0.14000,1.08685,-9.37630,0.26108,0.16523,1.59875
43,4400,-8.24132,0.48060,0.13597,1.08611,-9.43479,0.43392,0.16074,1.59790
44,4500,-8.25370,0.38442,0.13195,1.08576,-9.46181,0.37303,0.15655,1.59784
45,4600,-8.30397,0.46547,0.12790,1.08538,-9.53836,0.36677,0.15283,1.59688
46,4700,-8.29892,0.42167,0.12407,1.08516,-9.56976,0.50470,0.14884,1.59653
47,4800,-8.28896,0.54130,0.12019,1.08496,-9.49666,0.46408,0.14529,1.59655
48,4900,-8.32198,0.56699,0.11673,1.08421,-9.56502,0.53739,0.14170,1.59634
49,5000,-8.37958,0.53852,0.11328,1.08397,-9.58569,0.48246,0.13803,1.59577
50,5100,-8.31655,0.60962,0.10973,1.08404,-9.66180,0.55072,0.13506,1.59522
51,5200,-8.42487,0.61626,0.10630,1.08380,-9.59355,0.63687,0.13144,1.59504
52,5300,-8.32798,0.60993,0.10295,1.08342,-9.66614,0.39274,0.12793,1.59481
53,5400,-8.34357,0.48872,0.09978,1.08334,-9.67581,0.45016,0.12533,1.59379
54,5500,-8.31320,0.40426,0.09636,1.08261,-9.60856,0.68522,0.12215,1.59351
55,5600,-8.28860,0.66793,0.09299,1.08216,-9.55757,0.54484,0.11923,1.59373
56,5700,-8.26228,0.48451,0.08993,1.08190,-9.57359,0.46996,0.11582,1.59298
57,5800,-8.30081,0.69787,0.08695,1.08173,-9.60911,0.51582,0.11310,1.59321
58,5900,-8.27364,0.57739,0.08416,1.08230,-9.59350,0.50536,0.11064,1.59224
59,6000,-8.23906,0.60775,0.08138,1.08243,-9.56111,0.57828,0.10781,1.59176
60,6100,-8.23569,0.59911,0.07842,1.08157,-9.51920,0.79479,0.10486,1.59167
61,6200,-8.22621,0.78435,0.07558,1.08101,-9.54294,0.60749,0.10200,1.59162
62,6300,-8.19709,0.50422,0.07266,1.08110,-9.54335,0.66206,0.09974,1.59114
63,6400,-8.12774,0.54935,0.07001,1.08034,-9.48625,0.83337,0.09705,1.59034
64,6500,-8.07663,0.58498,0.06750,1.08033,-9.43287,0.57618,0.09487,1.59024
65,6600,-8.11244,0.40684,0.06485,1.07998,-9.42848,0.74428,0.09259,1.58991
66,6700,-8.02082,0.65065,0.06260,1.07962,-9.39023,0.56918,0.09026,1.59017
67,6800,-8.07323,0.69317,0.06015,1.07956,-9.43639,0.49796,0.08790,1.58818
68,6900,-7.92247,0.56845,0.05792,1.07949,-9.36077,0.69218,0.08558,1.58805
69,7000,-7.88986,0.62061,0.05551,1.07890,-9.30363,0.68208,0.08370,1.58863
70,7100,-7.84942,0.50962,0.05344,1.07882,-9.32286,0.70116,0.08166,1.58751
71,7200,-7.79528,0.48524,0.05124,1.07833,-9.21530,0.65987,0.07985,1.58777
72,7300,-7.80994,0.38245,0.04933,1.07920,-9.17953,0.64460,0.07814,1.58764
73,7400,-7.74349,0.39378,0.04740,1.07814,-9.19096,0.83696,0.07605,1.58722
74,7500,-7.67020,0.36175,0.04523,1.07801,-9.18476,0.65937,0.07410,1.58633
75,7600,-7.67948,0.23215,0.04330,1.07738,-9.15007,0.34372,0.07267,1.58562
76,7700,-7.57706,0.28252,0.04160,1.07779,-9.01135,0.49487,0.07113,1.58571
77,7800,-7.51021,0.36061,0.03978,1.07712,-9.05500,0.48803,0.06941,1.58580
78,7900,-7.47876,0.41968,0.03801,1.07686,-8.94500,0.56056,0.06831,1.58503
79,8000,-7.41699,0.52433,0.03641,1.07680,-8.92209,0.59177,0.06675,1.58483
80,8100,-7.40753,0.55224,0.03472,1.07631,-8.88230,0.48848,0.06549,1.58368
