iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
116,11700,-1.49549,1.65541,-1.82199,1.71178
117,11800,-1.50556,1.70596,-1.67506,1.66169
118,11900,-1.43174,1.68135,-1.71663,1.74288
119,12000,-1.44802,1.75156,-1.87162,1.68448
120,12100,-1.51454,1.77215,-1.83682,1.73803
121,12200,-1.39505,1.77724,-1.75969,1.61884
122,12300,-1.48915,1.66545,-1.74577,1.62794
123,12400,-1.46759,1.73351,-1.74842,1.66506
124,12500,-1.48349,1.68983,-1.90393,1.68184
125,12600,-1.41865,1.72845,-1.83879,1.74517
126,12700,-1.52562,1.77956,-1.83750,1.61031
127,12800,-1.46413,1.70403,-1.84908,1.74647
128,12900,-1.41352,1.64513,-1.82856,1.64495
129,13000,-1.52556,1.59566,-1.83499,1.63189
130,13100,-1.46763,1.64067,-1.73793,1.69416
131,13200,-1.48565,1.74522,-1.85211,1.68776
132,13300,-1.46509,1.74614,-1.93850,1.61840
133,13400,-1.42669,1.61755,-1.83504,1.63053
134,13500,-1.58746,1.56630,-1.83698,1.60673
135,13600,-1.55595,1.66733,-1.87104,1.63263
136,13700,-1.49495,1.74529,-1.78278,1.59112
137,13800,-1.53958,1.64428,-1.85043,1.82951
138,13900,-1.48911,1.70024,-1.83821,1.67858
139,14000,-1.58759,1.78205,-1.89148,1.63398
140,14100,-1.53655,1.66182,-1.80537,1.70323
141,14200,-1.53434,1.64251,-1.83313,1.62179
142,14300,-1.56547,1.66917,-1.87137,1.63230
143,14400,-1.57333,1.68247,-1.74148,1.63503
144,14500,-1.46798,1.66876,-1.79753,1.61399
145,14600,-1.53399,1.64462,-1.84032,1.63300
146,14700,-1.42702,1.81704,-1.79369,1.71841
147,14800,-1.57092,1.71256,-1.76558,1.66493
148,14900,-1.47433,1.68282,-1.81552,1.50548
149,15000,-1.42938,1.75895,-1.78223,1.57491
150,15100,-1.48126,1.65958,-1.85554,1.71509
151,15200,-1.48052,1.71219,-1.70351,1.70174
152,15300,-1.55976,1.85726,-1.86911,1.56883
153,15400,-1.53709,1.70716,-1.71653,1.62815
154,15500,-1.43611,1.78459,-1.80990,1.72213
155,15600,-1.51680,1.63474,-1.79767,1.65850
156,15700,-1.47009,1.66747,-1.70018,1.73689
157,15800,-1.31601,1.74440,-1.78930,1.69419
158,15900,-1.38522,1.77882,-1.70602,1.62342
159,16000,-1.53588,1.64996,-1.76745,1.61722
160,16100,-1.51295,1.60850,-1.71786,1.65494
161,16200,-1.53921,1.70953,-1.78712,1.73875
162,16300,-1.50441,1.80735,-1.78547,1.58123
163,16400,-1.47887,1.79027,-1.80258,1.71821
164,16500,-1.49705,1.70420,-1.71738,1.81078
165,16600,-1.55516,1.74465,-1.65829,1.70393
166,16700,-1.45344,1.72974,-1.67651,1.66700
167,16800,-1.43874,1.73817,-1.67242,1.78236
168,16900,-1.56016,1.67328,-1.68120,1.76601
169,17000,-1.51387,1.84842,-1.69405,1.69530
170,17100,-1.43986,1.72382,-1.69611,1.66646
171,17200,-1.45260,1.73964,-1.67462,1.76515
172,17300,-1.50245,1.63725,-1.63855,1.66013
173,17400,-1.54921,1.80295,-1.67695,1.65796
174,17500,-1.52411,1.77247,-1.64306,1.76853
175,17600,-1.57384,1.78607,-1.71014,1.65070
176,17700,-1.58409,1.68808,-1.59945,1.68827
177,17800,-1.50863,1.79460,-1.73983,1.73773
178,17900,-1.53726,1.62649,-1.63104,1.71605
179,18000,-1.55109,1.84377,-1.65608,1.67034
180,18100,-1.56368,1.62043,-1.63541,1.66412
181,18200,-1.59962,1.83709,-1.63568,1.78607
182,18300,-1.41623,1.78015,-1.62071,1.70338
183,18400,-1.49635,1.55758,-1.61180,1.65619
184,18500,-1.52253,1.68955,-1.65611,1.72720
185,18600,-1.49990,1.71566,-1.68518,1.73014
186,18700,-1.48777,1.68942,-1.58451,1.85449
187,18800,-1.50772,1.70398,-1.59547,1.74343
188,18900,-1.45058,1.62499,-1.64340,1.81614
189,19000,-1.44925,1.57266,-1.63739,1.67141
190,19100,-1.54621,1.61872,-1.68853,1.62897
191,19200,-1.47930,1.65652,-1.71338,1.97969
192,19300,-1.47637,1.79241,-1.65038,1.82474
193,19400,-1.48454,1.85314,-1.69090,1.61298
194,19500,-1.54907,1.89840,-1.68647,1.82519
195,19600,-1.43337,1.83695,-1.72059,1.81937
196,19700,-1.46022,1.67123,-1.70637,1.74148
197,19800,-1.42325,1.65133,-1.69667,1.78999
198,19900,-1.47425,1.69915,-1.61650,1.77215
199,20000,-1.43887,1.83039,-1.64707,1.74690
200,20100,-1.39765,1.69186,-1.61890,1.74810
201,20200,-1.43062,1.64880,-1.66938,1.74409
202,20300,-1.50170,1.62991,-1.62651,1.76244
203,20400,-1.46651,1.71759,-1.53044,1.75992
204,20500,-1.56864,1.66053,-1.65175,1.69448
205,20600,-1.38922,1.75500,-1.52847,1.74935
206,20700,-1.52641,1.65372,-1.60394,1.72095
207,20800,-1.53836,1.66119,-1.58552,1.77244
208,20900,-1.42106,1.81095,-1.59303,1.60178
209,21000,-1.38974,1.80517,-1.63130,1.72063
210,21100,-1.42084,1.80212,-1.58317,1.79121
211,21200,-1.43072,1.66993,-1.70616,1.85310
212,21300,-1.47981,1.74426,-1.56347,1.73362
213,21400,-1.52828,1.77076,-1.63136,1.66102
214,21500,-1.51783,1.74608,-1.64175,1.89296
215,21600,-1.45010,1.76160,-1.68651,1.79228
216,21700,-1.45040,1.73333,-1.67223,1.71360
217,21800,-1.46817,1.73352,-1.69235,1.68474
218,21900,-1.43778,1.90547,-1.68119,1.67704
219,22000,-1.39145,1.68535,-1.67607,1.79581
220,22100,-1.40998,1.70278,-1.66409,1.83775
221,22200,-1.51043,1.81400,-1.77736,1.90605
222,22300,-1.40155,1.83400,-1.67921,1.81892
223,22400,-1.50430,1.94752,-1.70661,1.75253
224,22500,-1.38679,1.77533,-1.68443,1.81115
