iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-2.06170,4.09446,0.30177,-2.03236,3.27821,0.26941,-1.92525,2.78464,0.25024,-1.67697,2.54339,0.23748
1,200,-1.65490,1.60988,0.20495,-1.60746,1.56767,0.19812,-1.58551,1.47920,0.19572,-1.42446,1.45388,0.18995
2,300,-1.90232,1.61197,0.20126,-1.88980,1.55932,0.19624,-1.85397,1.37928,0.19257,-1.76476,1.43112,0.19153
3,400,-2.24008,1.53331,0.20129,-2.16139,1.57493,0.19734,-2.09592,1.38840,0.19330,-2.08556,1.38036,0.19387
4,500,-2.47930,1.39982,0.19735,-2.42285,1.42257,0.19524,-2.35130,1.27348,0.19377,-2.30843,1.38966,0.19251
5,600,-2.66066,1.43828,0.19528,-2.69246,1.42895,0.19367,-2.57561,1.33537,0.19216,-2.53391,1.39642,0.19108
6,700,-2.89977,1.58494,0.19233,-2.99433,1.30548,0.19265,-2.81981,1.52530,0.19156,-2.74435,1.28153,0.19122
7,800,-3.19676,1.53708,0.19204,-3.21213,1.50099,0.19062,-3.06968,1.62660,0.19158,-2.98021,1.32343,0.18809
8,900,-3.44143,1.49716,0.19442,-3.40233,1.60552,0.19125,-3.27476,1.46498,0.19060,-3.20836,1.35099,0.18986
9,1000,-3.68300,1.63907,0.19049,-3.68402,1.69033,0.19174,-3.47282,1.44355,0.19228,-3.52895,1.30489,0.18959
10,1100,-3.92063,1.44357,0.18943,-4.05058,1.41445,0.19020,-3.76986,1.57301,0.18778,-3.69938,1.25306,0.18751
11,1200,-4.19873,1.39977,0.18965,-4.25898,1.45215,0.18730,-4.06526,1.34613,0.18705,-3.93387,1.37212,0.18682
12,1300,-4.36081,1.35067,0.18674,-4.40612,1.50220,0.18684,-4.23516,1.43115,0.18740,-4.19444,1.18265,0.18521
13,1400,-4.61782,1.53259,0.18545,-4.67479,1.45081,0.18575,-4.46937,1.46873,0.18592,-4.37449,1.23999,0.18403
14,1500,-4.80378,1.60583,0.18413,-4.84302,1.40843,0.18389,-4.59952,1.40551,0.18432,-4.57876,1.21465,0.18409
15,1600,-5.02943,1.62316,0.18234,-5.06607,1.41913,0.18315,-4.87200,1.35827,0.18307,-4.72058,1.22194,0.18295
16,1700,-5.21905,1.47665,0.18399,-5.31479,1.26703,0.18353,-5.05907,1.54905,0.18107,-4.95382,1.34970,0.18377
17,1800,-5.38870,1.70241,0.18371,-5.67123,1.56084,0.18316,-5.26884,1.45097,0.18138,-5.14088,1.31091,0.18201
18,1900,-5.59772,1.65109,0.18353,-5.75281,1.62128,0.18349,-5.59186,1.90006,0.18365,-5.49824,1.33313,0.18457
19,2000,-5.83247,1.78147,0.18566,-6.03797,1.56847,0.18446,-5.79129,1.55200,0.18390,-5.63301,1.24663,0.18487
20,2100,-6.03368,1.60296,0.18495,-6.21925,1.53077,0.18408,-5.94193,1.59986,0.18339,-5.79449,1.31413,0.18328
21,2200,-6.24754,1.63946,0.18524,-6.35483,1.56581,0.18395,-6.04155,1.54907,0.18379,-6.03913,1.34703,0.18440
22,2300,-6.39833,1.61523,0.18513,-6.55414,1.71953,0.18631,-6.29610,1.62717,0.18358,-6.23822,1.44830,0.18482
23,2400,-6.65452,1.71888,0.18531,-6.82554,1.24769,0.18604,-6.59291,1.75372,0.18578,-6.44966,1.38137,0.18673
24,2500,-6.89181,1.36139,0.18837,-7.04948,1.44555,0.18465,-6.81858,1.30786,0.18711,-6.58849,1.63825,0.18640
25,2600,-7.00280,1.60257,0.18644,-7.25800,1.57085,0.18679,-6.92605,1.68108,0.18462,-6.83251,1.41883,0.18448
26,2700,-7.21144,1.65284,0.18760,-7.46938,1.93319,0.18606,-7.11257,1.50917,0.18729,-7.06654,1.29450,0.18621
27,2800,-7.45471,1.68827,0.18647,-7.50220,1.52378,0.18557,-7.37393,1.54792,0.18512,-7.22844,1.33054,0.18531
28,2900,-7.66468,1.68455,0.18722,-7.87357,1.66425,0.18704,-7.56095,1.43420,0.18762,-7.39607,1.39587,0.18577
29,3000,-7.96039,1.54415,0.18685,-8.11514,1.61765,0.18715,-7.82396,1.55540,0.18469,-7.65047,1.47483,0.18515
