iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
0,100,-2.16899,3.53580,0.37768,-2.11790,2.73396,0.33478
1,200,-2.11360,1.50882,0.25744,-2.04745,1.34951,0.24825
2,300,-2.41247,1.26494,0.25485,-2.33774,1.20118,0.24811
3,400,-2.95205,1.03220,0.26260,-2.85148,1.06308,0.25767
4,500,-3.44473,1.06827,0.26689,-3.28333,1.03305,0.26349
5,600,-3.65187,1.05852,0.26532,-3.60354,1.04782,0.26168
6,700,-4.04170,1.06210,0.26228,-3.92004,1.03745,0.25904
7,800,-4.35993,1.04648,0.26000,-4.21342,1.05817,0.25821
8,900,-4.61950,1.04036,0.25626,-4.49916,1.03435,0.25671
9,1000,-4.86948,0.97701,0.25062,-4.73912,0.96295,0.24894
10,1100,-5.10015,0.87208,0.24550,-5.03119,0.96455,0.24578
11,1200,-5.37022,0.94032,0.24330,-5.19720,0.89962,0.24021
12,1300,-5.57467,0.93862,0.23996,-5.44403,0.95625,0.23729
13,1400,-5.81750,0.86960,0.23700,-5.63545,0.91288,0.23366
14,1500,-5.97209,0.92147,0.23073,-5.87753,0.91429,0.23248
15,1600,-6.22578,1.03070,0.22794,-6.13537,0.92957,0.22793
16,1700,-6.45912,0.89879,0.22806,-6.38684,0.92788,0.22842
17,1800,-6.59492,0.89611,0.22434,-6.57019,0.86817,0.22298
18,1900,-6.79913,0.88446,0.22321,-6.78091,0.88940,0.21969
19,2000,-6.95951,0.87660,0.21824,-6.99701,0.93952,0.21679
20,2100,-7.12049,0.88312,0.21606,-7.13833,0.95577,0.21517
21,2200,-7.31631,0.85964,0.21088,-7.32901,0.81441,0.21077
22,2300,-7.43325,0.92824,0.21051,-7.51645,0.92982,0.21129
23,2400,-7.72151,1.04071,0.20924,-7.67776,0.98921,0.20822
24,2500,-7.87678,0.96084,0.20717,-7.87739,0.83554,0.20678
25,2600,-7.92845,0.94564,0.20334,-8.01165,0.79389,0.20385
26,2700,-8.08829,0.88282,0.20189,-8.13613,0.75027,0.19726
27,2800,-8.29627,0.81519,0.19805,-8.29965,0.91279,0.19862
28,2900,-8.41080,0.86280,0.19464,-8.45832,0.91211,0.19563
29,3000,-8.50354,0.88056,0.19459,-8.58623,0.90054,0.19272
30,3100,-8.68217,0.84539,0.19239,-8.78333,0.79349,0.19154
31,3200,-8.84743,0.80643,0.19198,-8.84238,0.88629,0.18989
32,3300,-8.96474,0.81802,0.19105,-8.98827,0.85977,0.18960
33,3400,-9.08527,0.82594,0.18890,-9.09378,0.76981,0.18844
34,3500,-9.21882,0.83113,0.18704,-9.22724,0.73917,0.18768
35,3600,-9.27570,0.78433,0.18620,-9.38946,0.84527,0.18544
36,3700,-9.36415,0.74750,0.18263,-9.50354,1.03948,0.18588
37,3800,-9.49679,0.76926,0.18271,-9.52988,0.82209,0.18305
38,3900,-9.57311,0.83144,0.18203,-9.66064,0.78942,0.17992
39,4000,-9.62507,0.81645,0.17948,-9.71378,0.83880,0.17920
40,4100,-9.76838,0.81912,0.17856,-9.78838,0.79685,0.17712
41,4200,-9.85752,0.90946,0.17953,-9.89075,0.77989,0.17817
42,4300,-9.96229,0.79885,0.17791,-9.95056,0.81754,0.17600
43,4400,-9.99597,0.84245,0.17632,-10.07703,0.77810,0.17576
44,4500,-10.07745,0.83307,0.17280,-10.09704,0.72598,0.17326
45,4600,-10.17794,0.78916,0.17381,-10.18246,0.83591,0.17460
46,4700,-10.24963,0.89392,0.17470,-10.18579,0.85455,0.17273
47,4800,-10.39752,0.80025,0.17329,-10.25429,0.79482,0.17175
48,4900,-10.35062,0.78027,0.17138,-10.41255,0.78137,0.17079
49,5000,-10.41115,0.78260,0.17097,-10.42275,0.79560,0.17141
50,5100,-10.47714,0.89322,0.17115,-10.42420,0.83713,0.17081
51,5200,-10.55957,0.99755,0.17082,-10.57615,0.87425,0.17071
52,5300,-10.59095,0.84692,0.16769,-10.59394,0.95143,0.16851
53,5400,-10.66129,0.87210,0.17004,-10.68201,0.83361,0.16874
54,5500,-10.65009,0.88158,0.17060,-10.68939,0.83437,0.17042
55,5600,-10.73353,0.88015,0.16928,-10.77981,0.89543,0.17126
56,5700,-10.78546,0.85884,0.16964,-10.84974,0.82536,0.16865
57,5800,-10.85011,0.98333,0.16910,-10.89071,0.95082,0.17017
58,5900,-10.92508,0.89051,0.17027,-10.92680,0.91369,0.16910
59,6000,-11.01154,0.90533,0.16954,-10.93468,0.87180,0.16584
60,6100,-11.01874,0.88705,0.16834,-11.09548,0.85641,0.16680
61,6200,-11.02011,0.91347,0.16700,-11.14170,0.85903,0.16672
62,6300,-11.17504,1.04961,0.16553,-11.18960,0.78778,0.16574
63,6400,-11.12756,0.97002,0.16716,-11.22716,0.78585,0.16431
64,6500,-11.27203,0.86968,0.16447,-11.28213,0.84844,0.16507
65,6600,-11.32782,0.88000,0.16743,-11.30515,0.90694,0.16637
66,6700,-11.32916,0.97625,0.16649,-11.37995,0.81622,0.16503
67,6800,-11.35854,0.95349,0.16594,-11.50111,0.85195,0.16579
68,6900,-11.33884,0.92022,0.16557,-11.55160,0.89710,0.16522
69,7000,-11.48006,0.91920,0.16589,-11.59618,0.85181,0.16547
70,7100,-11.43896,0.93518,0.16486,-11.66972,0.81364,0.16396
71,7200,-11.56326,0.92932,0.16569,-11.65006,0.85660,0.16411
72,7300,-11.62203,0.89825,0.16532,-11.71612,0.93649,0.16301
73,7400,-11.59585,0.85031,0.16417,-11.76103,0.96730,0.16437
74,7500,-11.70896,0.93780,0.16547,-11.81308,0.98752,0.16531
75,7600,-11.73351,0.97555,0.16271,-11.88627,0.89105,0.16327
76,7700,-11.69313,0.96372,0.16102,-11.79009,0.89018,0.16238
77,7800,-11.62319,0.94602,0.16154,-11.95924,0.93697,0.16122
78,7900,-11.70795,0.94243,0.16059,-11.94251,0.90255,0.15991
79,8000,-11.72937,0.92404,0.16014,-11.87186,0.82195,0.15948
80,8100,-11.84595,0.96841,0.16066,-12.01057,0.84050,0.15996
81,8200,-11.73622,0.94460,0.15644,-11.88187,0.84240,0.15918
82,8300,-11.73924,0.95674,0.15907,-11.94189,0.90565,0.16154
83,8400,-11.80174,0.95216,0.15855,-12.10548,0.96846,0.15911
84,8500,-11.78715,0.92361,0.15693,-12.00985,0.82460,0.15873
85,8600,-11.87616,0.93132,0.15932,-12.05259,0.88677,0.15745
86,8700,-11.90509,0.97369,0.15731,-12.10053,0.81668,0.15596
87,8800,-11.90562,0.97423,0.15748,-12.06482,0.79440,0.15681
88,8900,-11.86264,0.91616,0.15715,-12.08770,0.83898,0.15633
89,9000,-11.88014,0.93610,0.15566,-11.99968,0.86576,0.15441
90,9100,-11.86343,0.98271,0.15696,-12.17771,1.02817,0.15649
91,9200,-11.92898,0.87489,0.15504,-12.13325,0.78565,0.15509
92,9300,-11.96018,0.87538,0.15303,-12.14997,0.87587,0.15535
93,9400,-11.98054,0.94920,0.15388,-12.07207,0.90473,0.15595
94,9500,-11.91050,0.96071,0.15386,-12.10077,0.84670,0.15415
95,9600,-11.85753,0.86685,0.15161,-12.01095,0.81877,0.15128
96,9700,-11.98272,0.83477,0.15470,-12.09426,0.83193,0.15403
97,9800,-11.89882,0.82488,0.15158,-12.03533,0.81574,0.15036
98,9900,-11.85257,0.89046,0.15244,-12.07069,0.83453,0.15244
99,10000,-11.90822,0.79857,0.15129,-12.07296,0.78495,0.14959
100,10100,-11.87441,0.78213,0.15119,-12.12048,0.77544,0.15152
101,10200,-11.90433,0.83630,0.15033,-12.03744,0.77046,0.14879
102,10300,-11.92226,0.81482,0.14874,-12.10900,0.85014,0.15141
103,10400,-11.79210,0.82335,0.15040,-12.00501,0.89984,0.14844
104,10500,-11.81043,0.81009,0.15004,-12.04306,0.87170,0.15100
105,10600,-11.84629,0.82706,0.14938,-12.02585,0.80039,0.14873
106,10700,-11.79402,0.83502,0.14565,-11.96794,0.82215,0.14902
107,10800,-11.76728,0.79192,0.14634,-12.02343,0.77719,0.14852
108,10900,-11.69874,0.79447,0.14710,-11.94361,0.92483,0.14902
109,11000,-11.74275,0.88996,0.14775,-11.99472,0.76190,0.14583
110,11100,-11.69110,0.89861,0.14783,-11.92744,0.78235,0.14520
111,11200,-11.70718,0.87041,0.14517,-11.88784,0.77917,0.14777
112,11300,-11.68797,0.86147,0.14469,-11.88996,0.74217,0.14617
113,11400,-11.65878,0.80544,0.14590,-11.88851,0.80950,0.14551
114,11500,-11.60473,0.76206,0.14345,-11.83934,0.73358,0.14354
115,11600,-11.63433,0.87857,0.14546,-11.78178,0.73138,0.14548
116,11700,-11.60157,0.97041,0.14514,-11.81289,0.74952,0.14374
117,11800,-11.63399,0.88910,0.14372,-11.86749,0.86598,0.14540
118,11900,-11.62473,0.83268,0.14531,-11.82204,0.84918,0.14446
119,12000,-11.49523,0.84940,0.14413,-11.86003,0.72662,0.14271
120,12100,-11.51267,0.75243,0.14302,-11.80545,0.88960,0.14352
121,12200,-11.45586,0.73562,0.14253,-11.77940,0.81071,0.14288
122,12300,-11.48721,0.75076,0.14092,-11.70557,0.74196,0.14261
123,12400,-11.39980,0.73334,0.14070,-11.69288,0.74226,0.14375
124,12500,-11.40509,0.72866,0.14070,-11.69533,0.82226,0.14056
125,12600,-11.33352,0.74037,0.13973,-11.68553,0.74697,0.14127
126,12700,-11.35274,0.76427,0.13922,-11.65116,0.73359,0.14009
127,12800,-11.34494,0.78837,0.14018,-11.53580,0.74077,0.13911
128,12900,-11.32564,0.76325,0.14062,-11.59802,0.68956,0.13984
129,13000,-11.32465,0.76472,0.13905,-11.57250,0.68235,0.13806
130,13100,-11.29733,0.78233,0.13974,-11.53888,0.79174,0.13839
131,13200,-11.26833,0.72699,0.13858,-11.43708,0.78504,0.13884
132,13300,-11.21022,0.77794,0.14010,-11.50375,0.72057,0.13903
133,13400,-11.20150,0.75287,0.13743,-11.40826,0.73245,0.13853
134,13500,-11.21439,0.73861,0.13699,-11.45143,0.73891,0.13819
135,13600,-11.06985,0.72796,0.13762,-11.41901,0.75935,0.13855
136,13700,-11.09250,0.73036,0.13585,-11.42633,0.71052,0.13594
137,13800,-11.10070,0.75949,0.13865,-11.37760,0.74040,0.13775
138,13900,-11.16071,0.76698,0.13662,-11.30894,0.78205,0.13469
139,14000,-11.15629,0.72582,0.13672,-11.30609,0.75957,0.13527
140,14100,-11.10415,0.78978,0.13519,-11.28393,0.73120,0.13475
141,14200,-11.05795,0.73368,0.13473,-11.27400,0.68029,0.13431
142,14300,-10.96997,0.73632,0.13521,-11.23731,0.70553,0.13400
143,14400,-11.09730,0.83758,0.13426,-11.15072,0.74675,0.13349
144,14500,-10.96277,0.70262,0.13431,-11.17024,0.76746,0.13557
145,14600,-11.02604,0.77911,0.13341,-11.23453,0.72698,0.13509
146,14700,-10.93302,0.74480,0.13323,-11.15442,0.72238,0.13291
147,14800,-10.85539,0.66367,0.13443,-11.16532,0.74277,0.13535
148,14900,-10.83155,0.68418,0.13296,-10.99809,0.80147,0.13503
149,15000,-10.81854,0.70748,0.13178,-11.04724,0.76528,0.13283
150,15100,-10.77648,0.78873,0.13248,-11.01636,0.70656,0.13310
151,15200,-10.66145,0.86519,0.13215,-11.02411,0.73433,0.13185
152,15300,-10.69080,0.77517,0.13176,-10.94966,0.75131,0.13094
153,15400,-10.63267,0.72351,0.13213,-10.93358,0.67634,0.13126
154,15500,-10.66922,0.67747,0.13109,-10.92854,0.73568,0.13118
155,15600,-10.60670,0.71941,0.13186,-10.86242,0.74961,0.13041
156,15700,-10.58605,0.70084,0.13059,-10.84459,0.74818,0.13012
