iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
126,12700,1.23760,1.15447,1.51726,1.02058
127,12800,1.25393,1.10454,1.49992,1.06460
128,12900,1.25733,1.10939,1.58145,1.06045
129,13000,1.21197,1.21783,1.50123,1.03066
130,13100,1.30188,1.21486,1.51699,1.04496
131,13200,1.22090,1.17432,1.54692,1.10350
132,13300,1.24731,1.25454,1.55318,1.07190
133,13400,1.29347,1.22151,1.52539,1.08548
134,13500,1.25659,1.17855,1.57622,1.14457
135,13600,1.35204,1.23772,1.55859,1.04914
136,13700,1.27197,1.28488,1.63930,1.06727
137,13800,1.32586,1.27587,1.56640,1.05282
138,13900,1.28886,1.28540,1.57277,1.07311
139,14000,1.33150,1.29956,1.62079,1.03922
140,14100,1.31444,1.25033,1.60045,1.05298
141,14200,1.33520,1.29288,1.59005,1.05921
142,14300,1.29938,1.31018,1.54267,1.08940
143,14400,1.32773,1.26400,1.60583,1.13131
144,14500,1.32296,1.34267,1.60920,1.04956
145,14600,1.37161,1.31737,1.55000,1.09775
146,14700,1.36399,1.34792,1.60658,1.08257
147,14800,1.29068,1.38540,1.59517,1.10679
148,14900,1.37344,1.43878,1.60306,1.06668
149,15000,1.36696,1.33627,1.57121,1.08905
150,15100,1.32916,1.37590,1.62086,1.09054
151,15200,1.36289,1.35886,1.60877,1.06867
152,15300,1.40877,1.37033,1.59503,1.11692
153,15400,1.38414,1.37905,1.58585,1.04872
154,15500,1.41721,1.39047,1.60918,1.11973
155,15600,1.40269,1.40839,1.59003,1.09881
156,15700,1.34444,1.42178,1.59377,1.07219
157,15800,1.39657,1.41995,1.65738,1.07211
158,15900,1.43104,1.46952,1.55271,1.10764
159,16000,1.37105,1.44194,1.53883,1.08938
160,16100,1.42410,1.43710,1.56944,1.09746
161,16200,1.39500,1.43458,1.58031,1.15686
162,16300,1.39721,1.45732,1.61785,1.04826
163,16400,1.52335,1.40396,1.61532,1.07861
164,16500,1.42798,1.48891,1.57003,1.13157
165,16600,1.47097,1.42494,1.56689,1.08506
166,16700,1.45016,1.50699,1.59013,1.06727
167,16800,1.47732,1.47783,1.57037,1.09393
168,16900,1.46730,1.50175,1.58430,1.14682
169,17000,1.44332,1.49164,1.60641,1.03330
170,17100,1.43935,1.51499,1.63556,1.07783
171,17200,1.48168,1.47653,1.54195,1.13216
172,17300,1.50965,1.45841,1.55128,1.09061
173,17400,1.46614,1.54126,1.51632,1.09217
174,17500,1.48324,1.52521,1.53397,1.10665
175,17600,1.51290,1.51696,1.55348,1.03984
176,17700,1.50214,1.49063,1.57424,1.09836
177,17800,1.46971,1.42730,1.54397,1.08980
178,17900,1.50487,1.59775,1.56354,1.14098
179,18000,1.45097,1.51210,1.57148,1.08388
180,18100,1.50514,1.55005,1.53329,1.07221
181,18200,1.52251,1.51016,1.50262,1.09175
182,18300,1.52193,1.53819,1.62830,1.12176
183,18400,1.55995,1.49954,1.54770,1.10198
184,18500,1.56581,1.54036,1.54806,1.06771
185,18600,1.53395,1.56944,1.48495,1.07079
186,18700,1.53263,1.51301,1.54741,1.11869
187,18800,1.57724,1.55724,1.59534,1.07790
188,18900,1.59723,1.55189,1.55918,1.11149
189,19000,1.58639,1.57067,1.55006,1.12627
190,19100,1.54807,1.57822,1.58424,1.12824
191,19200,1.57922,1.63074,1.51154,1.15765
192,19300,1.57953,1.56689,1.54992,1.09192
193,19400,1.55385,1.62700,1.51469,1.06494
194,19500,1.56537,1.58312,1.52650,1.12679
195,19600,1.58968,1.59845,1.59642,1.12047
196,19700,1.54478,1.55682,1.53565,1.08147
197,19800,1.56271,1.61226,1.51213,1.13671
198,19900,1.57432,1.56294,1.53955,1.07659
199,20000,1.60622,1.62845,1.52076,1.11915
200,20100,1.60486,1.59095,1.54219,1.12437
201,20200,1.63277,1.64360,1.56056,1.12405
202,20300,1.61632,1.59645,1.58342,1.12409
203,20400,1.58648,1.59782,1.57389,1.11649
204,20500,1.58080,1.66498,1.58456,1.15852
205,20600,1.68681,1.61260,1.55534,1.16526
206,20700,1.59942,1.62777,1.51280,1.11002
207,20800,1.68624,1.61228,1.46969,1.12913
208,20900,1.64052,1.57295,1.50523,1.11239
209,21000,1.66226,1.64077,1.55023,1.09516
210,21100,1.60949,1.65409,1.53691,1.13745
211,21200,1.67750,1.64821,1.54322,1.14617
212,21300,1.64359,1.62995,1.55307,1.12670
213,21400,1.71627,1.63859,1.51010,1.14331
214,21500,1.71801,1.57691,1.54181,1.11635
215,21600,1.72242,1.68718,1.55246,1.15637
216,21700,1.66548,1.63760,1.60933,1.17217
217,21800,1.63208,1.59318,1.55434,1.13532
218,21900,1.70860,1.63796,1.54785,1.12091
219,22000,1.71653,1.59043,1.55883,1.12697
220,22100,1.63123,1.65327,1.57615,1.17606
221,22200,1.65400,1.63321,1.51093,1.16087
222,22300,1.71215,1.59436,1.52728,1.14405
223,22400,1.65887,1.71705,1.53854,1.17419
224,22500,1.75427,1.65361,1.53682,1.20636
225,22600,1.66084,1.62181,1.51422,1.14588
226,22700,1.72122,1.65216,1.49810,1.15302
227,22800,1.68124,1.72039,1.59875,1.22293
228,22900,1.70276,1.69352,1.60419,1.14863
229,23000,1.72692,1.64300,1.51982,1.14202
230,23100,1.71757,1.61525,1.57035,1.21468
231,23200,1.73183,1.60169,1.57508,1.20458
232,23300,1.76396,1.65111,1.55551,1.18874
233,23400,1.73064,1.62929,1.57419,1.24703
234,23500,1.70914,1.62016,1.58836,1.19290
235,23600,1.77240,1.68109,1.62494,1.20172
236,23700,1.76900,1.63630,1.54473,1.21611
237,23800,1.63379,1.64366,1.57077,1.22553
238,23900,1.84312,1.72369,1.59575,1.20659
239,24000,1.72824,1.68890,1.58343,1.21403
240,24100,1.74520,1.67231,1.55335,1.24289
241,24200,1.70381,1.70807,1.59847,1.17507
242,24300,1.75482,1.71620,1.59761,1.22319
243,24400,1.79909,1.63014,1.59229,1.23367
244,24500,1.78589,1.67225,1.51532,1.24001
245,24600,1.80497,1.66522,1.56172,1.17237
246,24700,1.70317,1.67215,1.52297,1.21991
247,24800,1.78480,1.61433,1.50593,1.29846
248,24900,1.81052,1.68590,1.49413,1.23159
