iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
69,7000,1.66976,0.18103,1.63843,0.18083,1.77249,0.18142,1.52240,0.17934
70,7100,1.76332,0.17919,1.71471,0.17772,1.65041,0.17931,1.40512,0.17860
71,7200,1.72416,0.17946,1.65250,0.17945,1.66755,0.17923,1.54640,0.17959
72,7300,1.72176,0.17866,1.66567,0.17927,1.66938,0.17816,1.52121,0.17842
73,7400,1.74684,0.17714,1.67781,0.17695,1.70669,0.18026,1.51289,0.17926
74,7500,1.67519,0.17735,1.64282,0.17770,1.72239,0.17763,1.50236,0.17812
75,7600,1.76339,0.17669,1.75662,0.17704,1.73067,0.17699,1.48159,0.17726
76,7700,1.67154,0.17578,1.64757,0.17578,1.75720,0.17568,1.52361,0.17593
77,7800,1.64711,0.17636,1.66056,0.17621,1.73181,0.17611,1.45480,0.17489
78,7900,1.70549,0.17594,1.63790,0.17576,1.71761,0.17455,1.43684,0.17558
79,8000,1.72509,0.17497,1.65609,0.17371,1.69638,0.17586,1.44322,0.17569
80,8100,1.66732,0.17447,1.64873,0.17559,1.69422,0.17578,1.43127,0.17373
81,8200,1.72438,0.17534,1.65727,0.17679,1.63414,0.17297,1.45609,0.17447
82,8300,1.69355,0.17362,1.64933,0.17300,1.66687,0.17054,1.39727,0.17304
83,8400,1.63619,0.17189,1.60116,0.17109,1.69163,0.17300,1.41502,0.17274
84,8500,1.74775,0.17282,1.66820,0.17443,1.71826,0.17215,1.38500,0.17256
85,8600,1.71498,0.17015,1.65870,0.17072,1.66131,0.17184,1.45335,0.17077
86,8700,1.67462,0.16957,1.62246,0.17096,1.69122,0.17093,1.40206,0.17187
87,8800,1.67548,0.17075,1.60277,0.17013,1.72206,0.17093,1.43987,0.17075
88,8900,1.81639,0.17001,1.60501,0.17153,1.70369,0.17032,1.40556,0.17070
89,9000,1.70830,0.16909,1.58368,0.16883,1.67216,0.16981,1.43041,0.16946
90,9100,1.71246,0.16924,1.61895,0.16954,1.76890,0.16814,1.45374,0.16881
91,9200,1.70408,0.16986,1.58663,0.16905,1.72052,0.16958,1.35415,0.16858
92,9300,1.68545,0.16721,1.58902,0.16923,1.66744,0.16695,1.41072,0.16632
93,9400,1.67091,0.16907,1.67866,0.16783,1.65224,0.16874,1.42161,0.17000
