iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
0,100,-0.07989,0.82973,-0.10934,0.73021,-0.13075,0.67358
1,200,-0.08857,0.51919,-0.11360,0.50794,-0.11988,0.48652
2,300,-0.07677,0.45180,-0.16159,0.41892,-0.17753,0.42398
3,400,-0.10205,0.40301,-0.20304,0.37272,-0.18751,0.38643
4,500,-0.09145,0.42159,-0.26571,0.32714,-0.25004,0.34297
5,600,-0.08643,0.41107,-0.24964,0.34299,-0.23763,0.36251
6,700,-0.07688,0.44206,-0.29637,0.35364,-0.25817,0.37197
7,800,-0.12216,0.43163,-0.28655,0.37633,-0.27599,0.38441
8,900,-0.12509,0.46402,-0.30736,0.40067,-0.29480,0.39212
9,1000,-0.16011,0.51647,-0.34553,0.44627,-0.28750,0.44077
10,1100,-0.14196,0.56519,-0.37298,0.46410,-0.31305,0.45801
11,1200,-0.13135,0.58124,-0.36698,0.49782,-0.31615,0.50158
12,1300,-0.16481,0.60492,-0.31853,0.52163,-0.31507,0.53641
13,1400,-0.22298,0.60832,-0.39684,0.56098,-0.32954,0.55668
14,1500,-0.21684,0.64255,-0.34223,0.56974,-0.33403,0.56573
15,1600,-0.24305,0.67088,-0.33411,0.59757,-0.32304,0.63753
16,1700,-0.28356,0.68872,-0.34557,0.67286,-0.30899,0.68203
17,1800,-0.29314,0.74612,-0.33987,0.69407,-0.29689,0.68400
18,1900,-0.35560,0.72199,-0.33176,0.67277,-0.29644,0.70536
19,2000,-0.35030,0.79179,-0.34237,0.74299,-0.30913,0.74298
20,2100,-0.37394,0.82894,-0.35363,0.75475,-0.30528,0.81102
21,2200,-0.39780,0.82802,-0.35883,0.80792,-0.32215,0.80695
22,2300,-0.39575,0.83846,-0.34127,0.85425,-0.31812,0.81361
23,2400,-0.44901,0.89476,-0.33737,0.85080,-0.26663,0.85172
24,2500,-0.42575,0.92636,-0.33166,0.86936,-0.33391,0.90836
25,2600,-0.52619,0.93505,-0.31335,0.90131,-0.28713,0.93638
26,2700,-0.51739,0.94119,-0.37285,0.95286,-0.27475,0.96796
27,2800,-0.49579,1.00390,-0.35879,0.99333,-0.30281,1.02594
28,2900,-0.51253,1.03278,-0.38818,1.06131,-0.34678,1.08553
29,3000,-0.55636,1.07703,-0.37210,1.06780,-0.29973,1.07289
30,3100,-0.54667,1.08899,-0.40755,1.14313,-0.34512,1.12585
31,3200,-0.53040,1.10195,-0.41230,1.14898,-0.39433,1.12843
32,3300,-0.53464,1.08917,-0.45096,1.17207,-0.41707,1.18573
33,3400,-0.54734,1.16807,-0.42376,1.19184,-0.40838,1.21837
34,3500,-0.59363,1.10961,-0.43339,1.21206,-0.36417,1.27091
35,3600,-0.58720,1.16780,-0.41107,1.28594,-0.35623,1.30165
36,3700,-0.59615,1.24135,-0.44033,1.29888,-0.40447,1.39083
37,3800,-0.60879,1.26507,-0.43806,1.34695,-0.42694,1.40369
38,3900,-0.59418,1.32289,-0.42226,1.39433,-0.33378,1.33091
39,4000,-0.59796,1.30210,-0.42779,1.39798,-0.41574,1.42499
40,4100,-0.62286,1.34262,-0.49178,1.41817,-0.47857,1.45603
41,4200,-0.61362,1.32882,-0.43423,1.46329,-0.42785,1.49527
42,4300,-0.60339,1.48549,-0.51692,1.42360,-0.45606,1.61405
43,4400,-0.61303,1.41550,-0.53810,1.59038,-0.54107,1.60154
44,4500,-0.63329,1.40565,-0.54577,1.50808,-0.43361,1.53397
45,4600,-0.62799,1.43040,-0.53717,1.60188,-0.45783,1.53444
46,4700,-0.69904,1.42501,-0.51667,1.58471,-0.55655,1.58394
47,4800,-0.69526,1.46149,-0.59537,1.64812,-0.57804,1.65962
48,4900,-0.68036,1.45920,-0.56257,1.63147,-0.56283,1.62585
49,5000,-0.67665,1.46668,-0.56759,1.65434,-0.58965,1.75501
50,5100,-0.68495,1.44081,-0.61414,1.66721,-0.63407,1.69383
51,5200,-0.67837,1.47500,-0.62078,1.79086,-0.54233,1.70205
52,5300,-0.70887,1.47647,-0.59786,1.66240,-0.56901,1.78052
53,5400,-0.74667,1.50342,-0.62351,1.75148,-0.58355,1.81082
54,5500,-0.71898,1.53483,-0.59454,1.81478,-0.58962,1.78076
55,5600,-0.74589,1.48030,-0.58916,1.78866,-0.52046,1.79698
56,5700,-0.75743,1.51600,-0.67744,1.88224,-0.57140,1.84304
57,5800,-0.73096,1.55611,-0.73886,1.92301,-0.61910,1.90081
58,5900,-0.79819,1.45414,-0.60349,1.82436,-0.58790,1.88743
59,6000,-0.81734,1.55487,-0.70486,1.93380,-0.57626,1.93095
60,6100,-0.75664,1.59379,-0.77021,1.88041,-0.68134,2.00395
61,6200,-0.73055,1.51457,-0.72852,1.95883,-0.59964,1.94183
62,6300,-0.81415,1.47768,-0.74983,1.93989,-0.63175,1.89245
63,6400,-0.75451,1.57462,-0.77642,2.02549,-0.69293,1.96712
64,6500,-0.79253,1.56043,-0.67688,1.97328,-0.66375,2.04935
65,6600,-0.76305,1.55626,-0.70120,2.02385,-0.66237,2.01287
66,6700,-0.83044,1.63116,-0.78470,1.96105,-0.64638,2.11534
