iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
69,7000,0.98176,0.52409,1.03101,0.53697,1.01128,0.53211,0.96552,0.40594
70,7100,1.06530,0.51752,1.00657,0.53043,1.01709,0.52243,0.96464,0.40066
71,7200,0.98106,0.51407,1.07584,0.52175,1.05885,0.51493,0.90991,0.39729
72,7300,1.03758,0.50773,1.09504,0.51601,0.96523,0.50895,0.92553,0.39046
73,7400,1.11698,0.49730,1.02642,0.50920,1.03743,0.50192,0.99262,0.38492
74,7500,1.04043,0.48978,1.04883,0.49980,0.99318,0.49525,0.91295,0.37857
75,7600,1.02629,0.48328,1.05420,0.49610,1.02602,0.48787,0.97305,0.37384
76,7700,0.93583,0.47780,1.00719,0.48510,1.02482,0.48249,0.97275,0.36757
77,7800,1.01787,0.47031,1.08019,0.47750,1.04709,0.47636,1.01099,0.36108
78,7900,1.07163,0.46224,1.04003,0.47364,0.99912,0.46818,1.01940,0.35604
79,8000,1.03320,0.45561,1.08438,0.46626,1.00385,0.46376,1.02858,0.35140
80,8100,1.01599,0.45168,0.98698,0.45929,0.99433,0.45905,1.01029,0.34543
81,8200,0.98768,0.44304,1.02570,0.44928,1.06935,0.44889,0.88495,0.34098
82,8300,0.98459,0.44051,0.95710,0.44824,0.99734,0.44514,0.97110,0.33651
83,8400,1.04487,0.43345,1.09991,0.43791,1.07559,0.43930,1.03912,0.33121
84,8500,1.04599,0.42619,1.01288,0.43347,0.95403,0.42943,1.02000,0.32736
85,8600,1.03896,0.42050,0.96480,0.42704,1.06590,0.42438,0.91035,0.32180
86,8700,0.98400,0.41397,1.09018,0.42009,1.06376,0.41832,0.93232,0.31866
87,8800,1.02954,0.41144,0.95934,0.41669,1.05967,0.41534,0.95712,0.31517
88,8900,1.01352,0.40197,1.00882,0.40862,1.08198,0.41042,1.06469,0.30838
89,9000,0.98371,0.40037,1.02615,0.40167,1.00141,0.40241,1.00725,0.30758
90,9100,0.95550,0.39291,1.02475,0.39772,0.99800,0.39535,1.05654,0.30254
91,9200,1.02324,0.38399,0.99885,0.39055,1.06624,0.39186,0.92178,0.29855
92,9300,1.07436,0.38047,1.00438,0.38679,1.06304,0.38605,0.99360,0.29334
93,9400,1.06440,0.37696,1.04379,0.37986,1.06678,0.38154,1.00617,0.28964
94,9500,1.04718,0.37251,1.06181,0.37281,0.97867,0.37791,0.96110,0.28763
95,9600,1.04524,0.36562,0.99194,0.37070,0.98521,0.37036,0.97168,0.28377
96,9700,0.96173,0.36063,1.03173,0.36655,0.99903,0.36661,0.99973,0.28001
97,9800,0.98293,0.35778,1.01283,0.35795,1.00690,0.36074,0.93694,0.27479
98,9900,1.00194,0.35114,1.03371,0.35168,0.99005,0.35742,0.95587,0.27326
99,10000,1.00390,0.34611,1.06369,0.34754,1.04610,0.35152,1.01767,0.26867
100,10100,0.91970,0.34234,1.00124,0.34392,0.91795,0.34601,0.98912,0.26544
101,10200,0.99319,0.33786,0.99608,0.33786,1.03523,0.34123,1.00737,0.26363
102,10300,1.01579,0.33284,1.01584,0.33361,1.01094,0.33644,0.99936,0.26118
103,10400,1.02442,0.32657,1.02890,0.32654,1.04470,0.33160,0.95666,0.25654
104,10500,0.96222,0.32320,1.01667,0.32571,0.99752,0.32562,0.96551,0.25515
105,10600,1.00800,0.31984,1.06166,0.31985,1.04648,0.32457,1.00275,0.25043
106,10700,0.98964,0.31355,0.97458,0.31562,1.01199,0.31762,0.97757,0.24927
107,10800,1.15772,0.30884,0.99534,0.31459,1.10485,0.31451,0.93434,0.24516
108,10900,1.04243,0.30500,0.94058,0.30730,0.99680,0.31111,1.00862,0.24215
109,11000,1.07289,0.30071,0.96569,0.30255,0.98662,0.30574,0.96339,0.23913
110,11100,0.98781,0.29779,1.01017,0.29883,0.94985,0.30391,0.96037,0.23703
111,11200,1.04272,0.29403,1.03333,0.29436,0.97538,0.29920,0.88258,0.23477
112,11300,1.01512,0.28872,1.02125,0.29192,1.00576,0.29436,0.95997,0.23306
