iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
44,4500,-10.28903,0.50200,0.19773,1.57302,-14.35507,0.49732,0.26866,1.59906,-13.84752,0.34923,0.26664,1.60350
45,4600,-10.17035,0.49684,0.19398,1.57246,-14.49503,0.41202,0.26137,1.59909,-13.86924,0.37538,0.26102,1.60349
46,4700,-10.18763,0.47067,0.18718,1.57164,-14.34543,0.38071,0.25519,1.59864,-13.85688,0.35272,0.25623,1.60321
47,4800,-10.06870,0.53543,0.18266,1.57202,-14.24682,0.38368,0.25138,1.59851,-13.76699,0.36890,0.24875,1.60313
48,4900,-10.09678,0.48634,0.17735,1.57160,-14.12710,0.35981,0.24378,1.59887,-13.81146,0.32444,0.24476,1.60314
49,5000,-9.95061,0.41567,0.17123,1.57040,-13.98343,0.37219,0.23763,1.59820,-13.61697,0.33607,0.23694,1.60325
50,5100,-9.93464,0.36799,0.16833,1.56849,-13.96093,0.36189,0.23245,1.59830,-13.71373,0.43686,0.23137,1.60354
51,5200,-9.85155,0.33846,0.16370,1.56797,-13.88103,0.41859,0.22572,1.59826,-13.51942,0.34111,0.22620,1.60317
52,5300,-9.87381,0.37029,0.16027,1.56615,-13.81811,0.62387,0.22021,1.59841,-13.46172,0.35458,0.22060,1.60293
53,5400,-9.80851,0.53595,0.15614,1.56506,-13.84111,0.41901,0.21583,1.59840,-13.50328,0.36365,0.21739,1.60207
54,5500,-9.81659,0.69831,0.15240,1.56466,-13.78830,0.53847,0.21014,1.59858,-13.43493,0.33965,0.21168,1.60202
55,5600,-9.62242,0.82136,0.14991,1.56229,-13.74389,0.34689,0.20591,1.59839,-13.35615,0.35818,0.20728,1.60137
56,5700,-9.49747,0.90472,0.14609,1.56186,-13.61129,0.30865,0.20169,1.59804,-13.19123,0.37201,0.20179,1.60076
57,5800,-9.38342,0.90538,0.14208,1.56009,-13.55024,0.35195,0.19593,1.59777,-13.11332,0.37489,0.19912,1.60058
58,5900,-9.42953,0.85295,0.13938,1.55894,-13.46448,0.51346,0.19162,1.59809,-13.04181,0.36059,0.19327,1.60080
59,6000,-9.12625,0.81790,0.13618,1.55762,-13.41686,0.38307,0.18777,1.59730,-12.99129,0.34979,0.18886,1.59984
60,6100,-9.19323,0.83967,0.13313,1.55603,-13.29514,0.46219,0.18381,1.59719,-12.86450,0.35781,0.18450,1.59992
61,6200,-8.97181,0.89437,0.13060,1.55549,-13.26208,0.59314,0.17869,1.59785,-12.81969,0.33821,0.18004,1.59994
62,6300,-8.84546,0.78506,0.12745,1.55338,-13.23121,0.46599,0.17384,1.59815,-12.72279,0.32278,0.17743,1.59975
63,6400,-8.65321,0.59878,0.12433,1.55163,-13.05926,0.31365,0.16999,1.59643,-12.69543,0.32949,0.17293,1.59945
64,6500,-8.66620,0.92682,0.12171,1.55000,-12.97673,0.26264,0.16570,1.59686,-12.55044,0.33948,0.16795,1.59970
65,6600,-8.48340,0.66643,0.11854,1.54926,-12.93695,0.26323,0.16140,1.59704,-12.50564,0.31818,0.16412,1.60024
66,6700,-8.32028,0.56612,0.11681,1.54719,-12.81244,0.27863,0.15834,1.59647,-12.39177,0.33065,0.15972,1.59958
67,6800,-8.15650,0.47189,0.11398,1.54666,-12.72724,0.27128,0.15438,1.59684,-12.32117,0.31919,0.15654,1.59938
68,6900,-8.13547,0.54445,0.11153,1.54536,-12.63092,0.44741,0.15064,1.59724,-12.19408,0.33619,0.15351,1.59940
69,7000,-7.91544,0.70303,0.10928,1.54365,-12.49970,0.43716,0.14778,1.59660,-12.16737,0.32777,0.14950,1.59948
70,7100,-7.91754,0.41647,0.10734,1.54340,-12.44427,0.55693,0.14397,1.59696,-12.06970,0.33578,0.14556,1.60030
71,7200,-7.82053,0.49053,0.10498,1.54289,-12.18438,0.41583,0.14107,1.59710,-11.92198,0.34022,0.14229,1.59998
72,7300,-7.80579,0.37338,0.10268,1.54094,-12.12784,0.31578,0.13713,1.59630,-11.89862,0.33579,0.13866,1.60042
73,7400,-7.74334,0.31958,0.10104,1.53970,-12.08986,0.52674,0.13407,1.59611,-11.72766,0.33781,0.13558,1.60069
74,7500,-7.70562,0.39620,0.09893,1.53834,-11.86828,0.43059,0.13047,1.59592,-11.62068,0.32952,0.13303,1.60008
75,7600,-7.50848,0.41140,0.09669,1.53677,-11.91919,0.40384,0.12766,1.59524,-11.52221,0.33388,0.12970,1.59998
76,7700,-7.56262,0.33260,0.09520,1.53517,-11.67638,0.40939,0.12465,1.59522,-11.50635,0.33207,0.12682,1.59994
77,7800,-7.47954,0.20199,0.09395,1.53436,-11.51043,0.37189,0.12192,1.59623,-11.31614,0.33314,0.12420,1.59952
78,7900,-7.40443,0.33683,0.09224,1.53381,-11.44740,0.34416,0.11950,1.59670,-11.23918,0.33095,0.12124,1.59959
79,8000,-7.43189,0.25857,0.09048,1.53231,-11.35899,0.35339,0.11640,1.59649,-11.15255,0.34719,0.11786,1.59949
80,8100,-7.32966,0.21954,0.08850,1.53045,-11.15958,0.47492,0.11345,1.59493,-11.02138,0.32765,0.11542,1.59944
81,8200,-7.24620,0.25056,0.08737,1.53024,-11.08629,0.34040,0.11047,1.59574,-10.92323,0.32538,0.11289,1.59935
82,8300,-7.23127,0.24628,0.08580,1.52786,-10.94820,0.40207,0.10805,1.59509,-10.83419,0.31158,0.10998,1.59898
83,8400,-7.16625,0.24054,0.08452,1.52617,-10.88254,0.38556,0.10604,1.59573,-10.72155,0.31304,0.10759,1.59883
84,8500,-7.15920,0.26179,0.08344,1.52648,-10.64563,0.38669,0.10292,1.59559,-10.63781,0.31880,0.10496,1.59912
85,8600,-7.02625,0.23157,0.08144,1.52437,-10.52146,0.30882,0.10174,1.59576,-10.54894,0.32866,0.10221,1.59865
86,8700,-6.99323,0.21938,0.08011,1.52194,-10.46320,0.29962,0.09843,1.59456,-10.39187,0.31654,0.10000,1.59953
87,8800,-6.97800,0.22314,0.07957,1.52102,-10.19657,0.30272,0.09682,1.59482,-10.22559,0.32853,0.09785,1.59878
88,8900,-6.89758,0.32219,0.07720,1.52132,-10.11904,0.29606,0.09480,1.59494,-10.10972,0.39171,0.09601,1.59837
89,9000,-6.93654,0.30207,0.07685,1.51896,-10.00213,0.30178,0.09245,1.59450,-10.02025,0.39851,0.09399,1.59886
90,9100,-6.81938,0.31687,0.07568,1.51798,-9.91812,0.30856,0.09030,1.59442,-9.89848,0.30058,0.09163,1.59833
91,9200,-6.83396,0.21396,0.07498,1.51617,-9.77055,0.30954,0.08806,1.59444,-9.77108,0.50847,0.08996,1.59811
92,9300,-6.71385,0.24857,0.07405,1.51537,-9.61794,0.29893,0.08617,1.59522,-9.70249,0.43118,0.08791,1.59802
93,9400,-6.67049,0.37239,0.07287,1.51392,-9.47705,0.31855,0.08443,1.59350,-9.58503,0.43416,0.08612,1.59740
94,9500,-6.67165,0.34611,0.07171,1.51110,-9.38429,0.30707,0.08222,1.59424,-9.42712,0.43496,0.08475,1.59804
95,9600,-6.62437,0.18930,0.07098,1.51151,-9.27492,0.29535,0.08061,1.59399,-9.26531,0.43847,0.08338,1.59709
96,9700,-6.55892,0.28153,0.07021,1.50988,-9.21753,0.31060,0.07928,1.59432,-9.17823,0.43434,0.08216,1.59745
97,9800,-6.53579,0.26858,0.06937,1.50744,-9.05088,0.30781,0.07768,1.59422,-9.13284,0.46496,0.08044,1.59693
98,9900,-6.53747,0.31302,0.06901,1.50805,-8.91563,0.29111,0.07646,1.59340,-9.01266,0.51891,0.07952,1.59655
99,10000,-6.46544,0.19508,0.06752,1.50608,-8.85430,0.30970,0.07517,1.59421,-8.92612,0.40379,0.07807,1.59665
100,10100,-6.39170,0.28001,0.06720,1.50339,-8.71476,0.30063,0.07343,1.59447,-8.82272,0.29459,0.07594,1.59621
101,10200,-6.35778,0.27835,0.06643,1.50207,-8.65978,0.29810,0.07233,1.59431,-8.74026,0.30646,0.07586,1.59613
102,10300,-6.29194,0.27789,0.06588,1.49918,-8.57276,0.30221,0.07088,1.59451,-8.64110,0.36835,0.07416,1.59585
103,10400,-6.25560,0.28837,0.06532,1.49773,-8.47988,0.29467,0.06993,1.59420,-8.53740,0.41853,0.07309,1.59523
104,10500,-6.24672,0.30855,0.06434,1.49823,-8.28315,0.36214,0.06903,1.59511,-8.47435,0.35609,0.07187,1.59481
105,10600,-6.11722,0.33139,0.06402,1.49485,-8.29821,0.33633,0.06718,1.59436,-8.38415,0.27355,0.07043,1.59605
106,10700,-6.09551,0.31983,0.06343,1.49318,-8.18813,0.35549,0.06629,1.59339,-8.30884,0.30102,0.06989,1.59571
107,10800,-6.09965,0.23102,0.06261,1.49212,-8.05689,0.48022,0.06573,1.59415,-8.18167,0.26985,0.06836,1.59590
108,10900,-5.98603,0.18781,0.06235,1.48988,-7.98874,0.29548,0.06420,1.59458,-8.09998,0.31983,0.06811,1.59496
109,11000,-5.88331,0.24351,0.06100,1.48899,-7.90608,0.31925,0.06352,1.59475,-8.00712,0.26832,0.06685,1.59611
110,11100,-5.83225,0.24190,0.06086,1.48534,-7.80207,0.33236,0.06271,1.59383,-7.90484,0.26795,0.06588,1.59491
111,11200,-5.83362,0.22101,0.06010,1.48575,-7.75541,0.30139,0.06183,1.59385,-7.88969,0.28716,0.06446,1.59629
112,11300,-5.76045,0.24896,0.05987,1.48081,-7.64196,0.34074,0.06092,1.59387,-7.85131,0.26457,0.06390,1.59586
113,11400,-5.69168,0.18841,0.05911,1.48008,-7.50120,0.28840,0.05999,1.59452,-7.72155,0.28229,0.06265,1.59526
114,11500,-5.66802,0.18933,0.05943,1.47707,-7.46413,0.29621,0.05958,1.59402,-7.68849,0.32175,0.06151,1.59616
115,11600,-5.62139,0.22378,0.05891,1.47550,-7.37939,0.30404,0.05832,1.59411,-7.54399,0.29241,0.06134,1.59613
116,11700,-5.59122,0.26335,0.05860,1.47737,-7.32455,0.30684,0.05789,1.59341,-7.51287,0.30330,0.06047,1.59628
117,11800,-5.57806,0.23975,0.05754,1.47166,-7.16982,0.31963,0.05630,1.59329,-7.45559,0.38142,0.05954,1.59515
118,11900,-5.46494,0.23226,0.05754,1.47113,-7.14603,0.31947,0.05606,1.59412,-7.31064,0.37782,0.05835,1.59620
119,12000,-5.45140,0.22123,0.05710,1.46977,-7.02959,0.33145,0.05524,1.59397,-7.17597,0.38420,0.05850,1.59534
120,12100,-5.41940,0.21398,0.05665,1.46921,-6.96113,0.32485,0.05463,1.59488,-7.16018,0.34582,0.05766,1.59502
121,12200,-5.37909,0.21252,0.05642,1.46489,-6.85397,0.31413,0.05429,1.59402,-7.13058,0.34931,0.05701,1.59520
122,12300,-5.38301,0.20701,0.05593,1.46471,-6.74327,0.33499,0.05343,1.59426,-7.06704,0.29891,0.05587,1.59538
123,12400,-5.40685,0.21403,0.05523,1.46046,-6.69919,0.31955,0.05357,1.59548,-6.89229,0.31704,0.05534,1.59445
124,12500,-5.26512,0.20371,0.05547,1.46426,-6.60689,0.30484,0.05236,1.59384,-6.80286,0.30247,0.05472,1.59417
125,12600,-5.23959,0.24365,0.05487,1.46036,-6.52723,0.32086,0.05181,1.59536,-6.78202,0.29743,0.05390,1.59575
126,12700,-5.25785,0.18994,0.05454,1.45963,-6.46062,0.36926,0.05116,1.59599,-6.68293,0.31469,0.05349,1.59458
127,12800,-5.26368,0.18596,0.05423,1.45803,-6.36636,0.28783,0.05080,1.59543,-6.52708,0.43515,0.05308,1.59475
128,12900,-5.29580,0.19442,0.05379,1.45645,-6.24786,0.33860,0.04987,1.59548,-6.56176,0.35986,0.05196,1.59553
129,13000,-5.18674,0.21851,0.05363,1.45230,-6.14080,0.33247,0.04943,1.59496,-6.47542,0.32794,0.05221,1.59403
130,13100,-5.16117,0.20871,0.05380,1.45398,-6.11318,0.30049,0.04898,1.59497,-6.36855,0.44710,0.05102,1.59410
131,13200,-5.15687,0.19789,0.05299,1.45068,-6.02300,0.30008,0.04845,1.59569,-6.34646,0.29325,0.05019,1.59424
132,13300,-5.09856,0.18137,0.05335,1.44893,-6.03232,0.28298,0.04789,1.59387,-6.25611,0.28562,0.05024,1.59395
133,13400,-5.07054,0.22609,0.05234,1.44990,-5.86167,0.28492,0.04769,1.59409,-6.16223,0.28310,0.05008,1.59356
134,13500,-5.12821,0.30004,0.05243,1.44568,-5.89213,0.28969,0.04695,1.59492,-6.11024,0.29229,0.04869,1.59300
135,13600,-5.11766,0.22705,0.05191,1.44618,-5.71104,0.28937,0.04655,1.59381,-6.04900,0.31138,0.04815,1.59211
136,13700,-5.07352,0.21018,0.05157,1.44406,-5.65616,0.29310,0.04601,1.59468,-5.97403,0.39178,0.04824,1.59238
137,13800,-5.08076,0.19021,0.05130,1.43864,-5.67252,0.48757,0.04529,1.59561,-5.94275,0.41513,0.04779,1.59300
138,13900,-5.01472,0.20014,0.05117,1.44118,-5.60836,0.31868,0.04495,1.59474,-5.84974,0.39174,0.04711,1.59240
139,14000,-5.00604,0.23391,0.05028,1.43731,-5.52373,0.29620,0.04467,1.59419,-5.78146,0.35706,0.04666,1.59328
140,14100,-4.98795,0.23274,0.05031,1.43595,-5.46702,0.38918,0.04406,1.59470,-5.72602,0.35461,0.04620,1.59269
141,14200,-4.98085,0.20663,0.04994,1.43470,-5.38102,0.36169,0.04417,1.59503,-5.65655,0.38758,0.04608,1.59259
142,14300,-4.99311,0.21534,0.05009,1.43312,-5.34722,0.32920,0.04346,1.59536,-5.52548,0.36479,0.04555,1.59212
143,14400,-4.94597,0.21922,0.04984,1.43237,-5.28611,0.30724,0.04332,1.59450,-5.50312,0.35940,0.04455,1.59190
144,14500,-4.88500,0.21469,0.04889,1.42987,-5.22551,0.34585,0.04271,1.59503,-5.48965,0.32415,0.04456,1.59038
145,14600,-4.97605,0.22762,0.04939,1.43134,-5.18591,0.31765,0.04213,1.59459,-5.37508,0.26838,0.04424,1.59179
146,14700,-4.92438,0.29558,0.04891,1.42976,-5.04475,0.31544,0.04213,1.59427,-5.35831,0.32717,0.04360,1.59250
147,14800,-4.96901,0.28939,0.04838,1.42452,-5.08343,0.29651,0.04148,1.59450,-5.29466,0.31618,0.04290,1.59164
148,14900,-4.88874,0.21507,0.04809,1.42433,-5.01169,0.32802,0.04150,1.59469,-5.18669,0.28911,0.04299,1.59056
149,15000,-4.87565,0.19637,0.04778,1.42764,-4.99943,0.30990,0.04076,1.59515,-5.19789,0.28784,0.04224,1.59091
150,15100,-4.89924,0.21035,0.04744,1.42441,-4.81516,0.27826,0.04070,1.59393,-5.10381,0.30262,0.04209,1.59047
151,15200,-4.84316,0.20233,0.04713,1.41937,-4.86703,0.29208,0.04033,1.59507,-5.08572,0.32757,0.04187,1.58997
152,15300,-4.84155,0.20462,0.04700,1.41761,-4.78376,0.30300,0.03983,1.59533,-5.07956,0.27655,0.04128,1.59018
153,15400,-4.81523,0.21928,0.04728,1.41771,-4.75383,0.28524,0.03959,1.59486,-5.01255,0.26816,0.04120,1.59008
154,15500,-4.79371,0.25202,0.04662,1.41605,-4.69194,0.29542,0.03915,1.59476,-4.94834,0.24240,0.04079,1.59061
155,15600,-4.80560,0.19967,0.04612,1.41316,-4.69359,0.29830,0.03868,1.59516,-4.87521,0.26163,0.04004,1.58957
156,15700,-4.80309,0.22820,0.04631,1.41236,-4.62490,0.29767,0.03862,1.59444,-4.82260,0.26403,0.04001,1.58854
157,15800,-4.73009,0.18801,0.04574,1.40898,-4.58314,0.27521,0.03842,1.59511,-4.81721,0.31756,0.03969,1.58794
158,15900,-4.75800,0.19145,0.04521,1.40934,-4.58300,0.28863,0.03790,1.59564,-4.77206,0.26953,0.03972,1.58851
159,16000,-4.75543,0.20278,0.04511,1.41150,-4.50730,0.32951,0.03772,1.59608,-4.76096,0.28106,0.03884,1.58918
160,16100,-4.66503,0.21945,0.04499,1.40684,-4.52107,0.31217,0.03693,1.59595,-4.69752,0.26779,0.03873,1.58832
161,16200,-4.68844,0.25376,0.04438,1.40336,-4.42017,0.30046,0.03736,1.59591,-4.64827,0.26837,0.03851,1.58800
162,16300,-4.69417,0.20861,0.04471,1.40262,-4.41936,0.28706,0.03707,1.59563,-4.63239,0.29449,0.03818,1.58765
