iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
44,4500,-5.55114,0.56311,0.08230,2.52236,-6.97668,0.26054,0.08209,2.52228,-6.94342,0.26838,0.08226,2.52104
45,4600,-5.55152,0.52840,0.08208,2.51369,-6.98494,0.27214,0.08173,2.51254,-6.94223,0.25530,0.08148,2.51322
46,4700,-5.37580,0.41799,0.08134,2.50654,-6.94119,0.44909,0.08129,2.50482,-6.87080,0.27929,0.08214,2.50471
47,4800,-5.43623,0.38931,0.08137,2.49595,-6.76319,0.29983,0.08193,2.49596,-6.80806,0.26083,0.08155,2.49642
48,4900,-5.47543,0.37493,0.08151,2.48567,-6.81610,0.28050,0.08147,2.48571,-6.78633,0.30091,0.08119,2.48551
49,5000,-5.44876,0.35879,0.07993,2.47846,-6.77369,0.24984,0.08078,2.47608,-6.74429,0.25021,0.08003,2.47771
50,5100,-5.52904,0.45070,0.08102,2.46661,-6.77380,0.34993,0.08083,2.46544,-6.71110,0.23359,0.08173,2.46532
51,5200,-5.41169,0.42318,0.07987,2.45625,-6.72271,0.33739,0.08063,2.45639,-6.74937,0.23818,0.08097,2.45583
52,5300,-5.36386,0.43615,0.08143,2.44407,-6.73852,0.31705,0.08033,2.44546,-6.71491,0.25402,0.08062,2.44713
53,5400,-5.31923,0.37935,0.08067,2.43507,-6.68960,0.33242,0.08128,2.43236,-6.63175,0.22437,0.08077,2.43554
54,5500,-5.27859,0.34954,0.08081,2.42385,-6.74850,0.28869,0.08115,2.42025,-6.68094,0.24982,0.08111,2.42318
55,5600,-5.24937,0.35511,0.08120,2.40888,-6.67611,0.26737,0.08117,2.41089,-6.60832,0.24371,0.08116,2.40997
56,5700,-5.16870,0.34379,0.08119,2.40053,-6.63341,0.23736,0.08135,2.39834,-6.54005,0.24324,0.08093,2.39676
57,5800,-5.23271,0.36311,0.08045,2.38805,-6.56171,0.29493,0.08138,2.38732,-6.53717,0.24793,0.08226,2.38625
58,5900,-5.33836,0.34898,0.08223,2.37564,-6.58929,0.25754,0.08184,2.37428,-6.53913,0.26486,0.08210,2.37769
59,6000,-5.39369,0.47265,0.08198,2.36475,-6.57613,0.46697,0.08294,2.36414,-6.47102,0.25315,0.08151,2.36428
60,6100,-5.32526,0.55962,0.08237,2.35105,-6.41159,0.57088,0.08307,2.34765,-6.45789,0.29163,0.08286,2.34681
61,6200,-5.27040,0.51873,0.08262,2.33797,-6.54195,0.50791,0.08292,2.33646,-6.49746,0.45807,0.08286,2.33991
62,6300,-5.25201,0.54092,0.08312,2.32645,-6.47651,0.38289,0.08298,2.32464,-6.39696,0.37929,0.08402,2.32504
63,6400,-5.19050,0.43170,0.08302,2.31160,-6.43560,0.24045,0.08293,2.31198,-6.42358,0.36028,0.08335,2.31236
64,6500,-5.16396,0.47710,0.08308,2.29925,-6.41619,0.26250,0.08350,2.30157,-6.40549,0.32376,0.08372,2.29670
65,6600,-5.07922,0.29046,0.08355,2.28380,-6.49564,0.24138,0.08350,2.28036,-6.54846,0.60371,0.08422,2.28046
66,6700,-4.97981,0.32365,0.08375,2.27204,-6.41469,0.23532,0.08396,2.26865,-6.41543,0.39334,0.08349,2.27117
67,6800,-4.98957,0.36580,0.08393,2.25621,-6.42926,0.24997,0.08467,2.25483,-6.42663,0.31388,0.08435,2.25420
68,6900,-4.92612,0.28120,0.08338,2.24503,-6.39251,0.22859,0.08380,2.24005,-6.36335,0.25679,0.08433,2.23812
69,7000,-5.02833,0.25936,0.08427,2.22945,-6.34451,0.24437,0.08439,2.22601,-6.34458,0.25880,0.08388,2.22625
70,7100,-4.95584,0.19170,0.08376,2.21721,-6.35993,0.28487,0.08406,2.21315,-6.30087,0.26566,0.08476,2.21301
71,7200,-4.92810,0.21102,0.08438,2.20031,-6.26713,0.28272,0.08432,2.20524,-6.25942,0.24302,0.08325,2.20137
72,7300,-4.96366,0.19231,0.08334,2.18991,-6.22724,0.24037,0.08400,2.19151,-6.25114,0.28207,0.08380,2.18822
73,7400,-4.90096,0.19740,0.08359,2.17674,-6.21984,0.24831,0.08283,2.17479,-6.20905,0.27151,0.08336,2.17559
74,7500,-4.93204,0.26641,0.08232,2.16003,-6.19680,0.24380,0.08222,2.16404,-6.18473,0.31585,0.08323,2.16190
75,7600,-4.96390,0.25613,0.08176,2.14798,-6.13889,0.25614,0.08213,2.14705,-6.12304,0.27812,0.08253,2.14675
76,7700,-4.95405,0.21370,0.08132,2.13876,-6.11731,0.25091,0.08149,2.13483,-6.10525,0.27984,0.08222,2.13859
77,7800,-5.00234,0.21192,0.08051,2.12743,-6.06048,0.24570,0.08006,2.11807,-6.10059,0.28164,0.08135,2.12385
78,7900,-4.90884,0.23082,0.08023,2.11488,-6.05198,0.25426,0.08054,2.11551,-6.01932,0.30671,0.08069,2.11481
79,8000,-4.98230,0.23862,0.07942,2.09716,-6.03642,0.26240,0.07951,2.09595,-5.95354,0.35968,0.07940,2.09992
80,8100,-4.98342,0.23806,0.07857,2.08737,-6.00600,0.27375,0.07832,2.09181,-5.99338,0.28533,0.07892,2.09038
81,8200,-5.00262,0.21806,0.07779,2.08295,-5.94570,0.27235,0.07735,2.08711,-5.94271,0.41078,0.07801,2.07879
82,8300,-5.01164,0.21087,0.07750,2.06562,-5.90126,0.26054,0.07653,2.07362,-5.86227,0.24662,0.07643,2.06629
83,8400,-4.99397,0.21672,0.07554,2.05073,-5.95171,0.23253,0.07598,2.06132,-5.89339,0.21774,0.07540,2.05753
84,8500,-4.99938,0.20725,0.07488,2.05293,-5.85848,0.22489,0.07426,2.04466,-5.87381,0.21299,0.07498,2.05275
85,8600,-4.98517,0.20528,0.07304,2.04476,-5.84889,0.36287,0.07383,2.04515,-5.77134,0.23220,0.07246,2.03613
86,8700,-4.98009,0.23713,0.07197,2.03225,-5.81128,0.28613,0.07141,2.03027,-5.76021,0.25504,0.07203,2.03896
87,8800,-5.01184,0.30946,0.07070,2.03542,-5.73288,0.20378,0.07056,2.02985,-5.72008,0.22129,0.07067,2.03081
88,8900,-4.98736,0.27095,0.06897,2.03047,-5.70514,0.19354,0.06926,2.01662,-5.63663,0.21658,0.06900,2.01593
89,9000,-5.05746,0.45098,0.06777,2.02277,-5.63232,0.20376,0.06843,2.02348,-5.63873,0.21273,0.06794,2.01011
90,9100,-4.92829,0.39646,0.06611,2.02264,-5.65206,0.23994,0.06575,2.01601,-5.68218,0.21635,0.06584,2.01653
91,9200,-4.94914,0.30434,0.06462,2.00179,-5.59434,0.25987,0.06473,2.00518,-5.57164,0.24837,0.06461,2.00424
92,9300,-4.89340,0.25796,0.06252,2.00932,-5.62621,0.22953,0.06308,2.00300,-5.53472,0.29589,0.06301,1.99235
93,9400,-4.84167,0.21123,0.06197,1.99873,-5.54849,0.22091,0.06163,2.00992,-5.52585,0.29680,0.06144,1.99828
94,9500,-4.82201,0.24537,0.06033,2.00140,-5.52866,0.22003,0.05988,1.99938,-5.43906,0.33993,0.06023,1.99985
95,9600,-4.78415,0.22757,0.05866,1.99557,-5.44923,0.21193,0.05870,1.99187,-5.43822,0.33840,0.05914,1.98752
96,9700,-4.81668,0.43748,0.05773,1.99834,-5.42109,0.22548,0.05730,1.99335,-5.41597,0.30791,0.05769,2.00138
