iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
33,3400,-11.39609,1.45781,0.36119,1.61419,-11.60474,1.35043,0.35708,1.59819,-11.65603,2.01379,0.36447,1.62408,-11.39046,0.98209,0.34638,1.62012
34,3500,-11.46952,1.53664,0.35789,1.61445,-11.67520,1.30527,0.35384,1.59917,-11.69831,1.62701,0.36103,1.62458,-11.44232,0.91303,0.34209,1.61962
35,3600,-11.58533,1.47302,0.35506,1.61440,-11.80605,1.46798,0.35037,1.59855,-11.82200,1.48675,0.35800,1.62387,-11.67122,1.49238,0.33919,1.61900
36,3700,-11.78121,1.63225,0.35169,1.61448,-11.97982,1.50786,0.34713,1.59817,-11.93323,1.56716,0.35514,1.62186,-11.82954,0.80945,0.33477,1.61821
37,3800,-11.82394,1.51129,0.34865,1.61481,-12.09015,1.50264,0.34369,1.59877,-12.08475,1.63204,0.35207,1.62207,-11.91851,0.79807,0.33172,1.61718
38,3900,-11.98797,1.68134,0.34575,1.61331,-12.07243,1.46783,0.34130,1.59747,-12.07088,1.55504,0.34906,1.62166,-12.07382,0.73317,0.32810,1.61694
39,4000,-11.82377,1.58915,0.34268,1.61411,-12.24298,1.64726,0.33795,1.59843,-12.25892,1.42351,0.34546,1.62345,-12.14558,0.64949,0.32448,1.61609
40,4100,-11.93301,1.54060,0.33967,1.61419,-12.26671,1.70010,0.33502,1.59669,-12.33044,1.73823,0.34245,1.62246,-12.20673,0.58184,0.32072,1.61573
41,4200,-12.03685,1.46687,0.33671,1.61519,-12.20687,1.26485,0.33190,1.59652,-12.36185,1.45111,0.33943,1.62289,-12.35854,0.58109,0.31747,1.61510
42,4300,-12.24768,1.54205,0.33328,1.61651,-12.27031,1.67224,0.32898,1.59623,-12.52224,1.35163,0.33621,1.62352,-12.39043,0.62594,0.31397,1.61449
43,4400,-12.12662,1.37439,0.33022,1.61655,-12.48045,1.44468,0.32573,1.59671,-12.44522,1.53501,0.33354,1.62261,-12.45233,0.57272,0.31075,1.61403
44,4500,-12.31709,1.72384,0.32681,1.61849,-12.46312,1.39618,0.32242,1.59702,-12.53691,1.50313,0.33063,1.62377,-12.52734,0.64815,0.30726,1.61357
45,4600,-12.29619,1.42779,0.32378,1.61823,-12.62435,1.39085,0.31999,1.59602,-12.53427,2.00294,0.32756,1.62381,-12.58624,0.65637,0.30356,1.61323
