iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
84,8500,-13.72291,1.75363,0.19453,-13.40651,1.80715,0.19267
85,8600,-13.85478,1.64170,0.19400,-13.56760,1.79858,0.18959
86,8700,-13.81694,1.60065,0.19177,-13.62418,1.81777,0.19175
87,8800,-13.92464,1.57040,0.19208,-13.71000,1.80782,0.19338
88,8900,-14.14332,1.78122,0.19377,-13.78076,1.64774,0.19368
89,9000,-14.09769,1.49296,0.19146,-13.93511,1.59151,0.19174
90,9100,-14.13553,1.53349,0.19211,-13.90213,1.62970,0.19046
91,9200,-14.15931,1.67870,0.19084,-14.03713,1.69820,0.19232
92,9300,-14.25394,1.62073,0.19139,-14.20696,1.64221,0.19349
93,9400,-14.27680,1.77669,0.19085,-14.16953,1.62031,0.18757
94,9500,-14.41205,1.57166,0.19060,-14.21332,1.61147,0.18812
95,9600,-14.38624,1.66740,0.19057,-14.31873,1.46956,0.19035
96,9700,-14.46033,1.58695,0.18857,-14.30281,1.61557,0.19084
97,9800,-14.42674,1.87108,0.19024,-14.37761,1.66296,0.18950
98,9900,-14.42796,1.74935,0.18999,-14.42898,1.62329,0.19062
99,10000,-14.51837,1.69903,0.18884,-14.40624,1.66888,0.18883
100,10100,-14.49634,1.88339,0.19009,-14.61046,1.60671,0.19122
101,10200,-14.64042,1.69269,0.19242,-14.66423,1.64412,0.19120
102,10300,-14.67299,1.59948,0.19239,-14.77654,1.73519,0.18978
103,10400,-14.74392,1.65536,0.19258,-14.94446,1.48346,0.19504
104,10500,-14.71054,1.81136,0.18942,-14.96922,1.54752,0.19152
105,10600,-14.77574,1.67560,0.18994,-14.99352,1.49562,0.19069
106,10700,-14.84017,1.58730,0.19036,-15.09363,1.52306,0.19290
107,10800,-14.79688,1.67619,0.18903,-15.14805,1.58556,0.19298
108,10900,-14.87207,1.62144,0.19303,-15.20324,1.61139,0.19285
109,11000,-14.79128,1.82366,0.18975,-15.30597,1.79080,0.19307
110,11100,-14.89025,1.92263,0.19204,-15.30157,1.56978,0.19064
111,11200,-14.90174,1.73585,0.19255,-15.33975,1.58290,0.18982
112,11300,-14.89737,1.64587,0.19160,-15.32335,1.62452,0.19154
113,11400,-14.91780,1.67468,0.19301,-15.36025,1.54067,0.19226
114,11500,-14.97831,1.64919,0.19290,-15.31086,1.56771,0.19028
115,11600,-15.00170,1.70172,0.19166,-15.40976,1.55225,0.19251
116,11700,-15.12048,1.71947,0.19297,-15.60324,1.52722,0.19315
117,11800,-15.14917,1.71489,0.19369,-15.65896,1.55492,0.19068
118,11900,-15.20483,1.64498,0.19405,-15.68827,1.51326,0.19122
119,12000,-15.41167,1.71564,0.19270,-15.80177,1.66374,0.19328
120,12100,-15.35505,1.64229,0.19274,-15.91738,1.57512,0.19139
121,12200,-15.51010,1.75859,0.19217,-15.91394,1.60442,0.19033
122,12300,-15.51326,1.53708,0.19234,-16.04319,1.65525,0.19120
123,12400,-15.48991,1.74046,0.19273,-16.10064,1.70990,0.19080
124,12500,-15.54671,1.74270,0.19164,-16.25270,1.42869,0.19324
125,12600,-15.60563,1.70647,0.19187,-16.24586,1.50478,0.19190
126,12700,-15.72252,1.44630,0.19141,-16.39789,1.53845,0.19207
127,12800,-15.66791,1.62995,0.19269,-16.37822,1.52401,0.19119
128,12900,-15.72634,1.78224,0.19258,-16.51636,1.59266,0.19433
129,13000,-15.82789,1.46833,0.19304,-16.71749,1.46980,0.19394
130,13100,-15.99608,1.72798,0.19374,-16.73444,1.57537,0.19150
131,13200,-15.99591,1.64976,0.19454,-16.86042,1.68719,0.19364
132,13300,-16.21874,1.36766,0.19549,-16.88332,1.78475,0.19329
133,13400,-16.29043,1.68804,0.19392,-17.05416,1.56966,0.19273
134,13500,-16.51648,1.69754,0.19486,-17.24366,1.81756,0.19402
135,13600,-16.56551,1.70934,0.19381,-17.45546,1.62020,0.19437
136,13700,-16.69429,1.75905,0.19495,-17.52889,1.57803,0.19489
137,13800,-16.87382,1.63477,0.19598,-17.55844,1.68054,0.19449
138,13900,-16.95289,1.83298,0.19537,-17.72982,1.49206,0.19636
139,14000,-17.09848,1.52789,0.19744,-17.81188,1.53442,0.19600
140,14100,-17.27452,1.55998,0.19464,-17.82801,1.52581,0.19216
141,14200,-17.51387,1.72915,0.19576,-17.88478,1.48600,0.19666
142,14300,-17.43043,1.48085,0.19677,-18.04445,1.65893,0.19494
143,14400,-17.57335,1.54727,0.19527,-18.08821,1.71062,0.19659
144,14500,-17.73540,1.84366,0.19935,-18.06944,1.95978,0.19400
145,14600,-17.65520,1.80619,0.19791,-18.07234,1.56785,0.19656
146,14700,-17.76292,1.70160,0.19427,-18.18416,1.59815,0.19660
147,14800,-17.77121,1.75577,0.19476,-18.24905,1.67107,0.19537
148,14900,-17.84090,1.71496,0.19497,-18.33962,1.81308,0.19741
149,15000,-17.90151,1.64891,0.19608,-18.34240,1.75907,0.19797
150,15100,-17.91756,1.83806,0.19626,-18.26132,1.70460,0.19469
151,15200,-17.96300,1.64412,0.19625,-18.40442,1.81698,0.19593
152,15300,-18.03580,1.62413,0.19562,-18.46373,1.86016,0.19775
153,15400,-18.05115,1.53236,0.19412,-18.46278,1.62850,0.19707
154,15500,-18.12177,1.74683,0.19652,-18.37822,1.81118,0.19785
155,15600,-18.10067,1.64521,0.19461,-18.40571,1.64469,0.19447
156,15700,-18.13830,1.56837,0.19447,-18.34909,1.68864,0.19300
