iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
0,100,-5.51488,5.90939,1.00677,-5.51285,5.90939,1.01281,-5.53747,5.98571,1.01020,-4.59234,5.85028,0.79947
1,200,-6.09309,1.07360,1.01532,-6.28176,1.10418,1.04162,-6.08562,1.07418,1.01934,-5.24836,0.89895,0.84999
2,300,-6.74593,1.06483,1.01425,-6.92606,1.04873,1.03871,-6.83661,1.01328,1.02219,-5.79157,0.82376,0.82499
3,400,-7.34898,0.99988,1.00651,-7.43183,1.07109,1.02330,-7.39073,0.99194,1.02454,-6.31662,0.80717,0.80940
4,500,-8.06327,1.03250,1.00313,-8.17538,1.03380,1.02143,-8.04586,1.06279,1.02583,-6.81486,0.67899,0.79900
5,600,-8.80227,1.11162,1.00085,-8.93692,1.23782,1.02349,-8.82482,1.23086,1.02260,-7.31211,1.00904,0.79122
6,700,-9.59358,1.60849,1.00230,-9.66216,1.45643,1.01754,-9.52888,1.37109,1.02336,-7.93962,1.21243,0.78310
7,800,-10.34824,1.86179,1.00872,-10.49597,1.77495,1.01109,-10.33366,1.65543,1.02140,-8.57192,1.29560,0.77794
8,900,-11.20166,1.84065,1.01243,-11.27317,1.76668,1.00756,-10.98313,1.90429,1.01837,-9.18721,1.44253,0.77533
9,1000,-11.95197,1.86515,1.01446,-12.00572,1.85208,1.00436,-11.77239,1.85824,1.01478,-9.77138,1.35354,0.77237
10,1100,-12.61103,2.11806,1.00918,-12.71121,2.03166,1.00428,-12.51312,1.81147,1.01331,-10.34015,1.17530,0.76579
11,1200,-13.50502,1.85542,1.00545,-13.36614,1.96362,1.00257,-13.17728,1.91305,1.01313,-10.96438,1.37296,0.76238
12,1300,-14.10970,1.97337,1.00132,-14.23197,1.83857,1.00153,-13.88310,2.11057,1.01185,-11.41973,1.38369,0.75758
13,1400,-14.96104,2.19232,0.99775,-14.97273,2.06914,1.00160,-14.83634,2.89448,1.01225,-12.03661,1.54616,0.75193
14,1500,-15.68186,2.57065,0.99446,-15.59472,2.02330,0.99908,-15.30874,2.55037,1.00960,-12.53150,1.76198,0.75038
15,1600,-16.57578,1.84888,0.99102,-16.36007,2.05508,0.99713,-16.01162,2.25842,1.00636,-13.08213,1.63447,0.74673
16,1700,-17.02764,2.10150,0.98965,-16.89233,2.59646,0.99486,-16.69083,2.34269,1.00394,-13.33875,1.61089,0.74252
17,1800,-17.81438,2.83705,0.98743,-17.75188,4.10217,0.99087,-17.35764,2.94667,1.00042,-13.79897,1.78476,0.74057
18,1900,-18.38746,2.50003,0.98442,-18.06036,3.11074,0.98770,-17.87092,3.17426,0.99731,-14.36862,2.23133,0.73693
19,2000,-19.20359,3.12358,0.98354,-19.16684,4.33256,0.98242,-18.78653,3.70229,0.99620,-14.89629,2.10832,0.73313
20,2100,-19.88867,2.51646,0.97971,-19.76930,3.42936,0.97903,-19.28245,3.55066,0.99589,-15.30845,2.02321,0.73019
21,2200,-20.45559,2.55452,0.97716,-20.23153,3.73504,0.97514,-20.04786,5.53239,0.99346,-15.67301,2.54481,0.72659
22,2300,-21.31651,3.62824,0.97517,-20.81406,4.26752,0.97109,-20.42708,5.80733,0.98957,-16.28430,2.51816,0.72420
23,2400,-21.57509,3.01338,0.97158,-21.48091,3.73385,0.96817,-21.04636,5.70586,0.98565,-16.69584,2.63067,0.72187
