iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
0,100,-0.03035,0.76047,-0.08006,0.78539,-0.04823,0.78702,-0.00612,0.78791
1,200,0.00184,0.54096,-0.03564,0.52079,-0.02189,0.53991,-0.05775,0.46572
2,300,0.08069,0.55519,0.03725,0.65332,0.05936,0.63900,-0.08383,0.30240
3,400,0.08400,0.58344,0.04060,0.67487,0.05582,0.66210,-0.11085,0.34598
4,500,0.07975,0.54728,0.04615,0.64615,0.06530,0.53729,-0.13928,0.35072
5,600,0.04891,0.69654,0.00482,0.65764,0.07072,0.60126,-0.18222,0.37372
6,700,0.06508,0.67362,0.01675,0.72355,0.06622,0.59885,-0.21891,0.44735
7,800,0.07274,0.67856,-0.01335,0.72889,0.07371,0.68101,-0.24449,0.44895
8,900,0.07614,0.68171,0.00849,0.72508,0.08281,0.64716,-0.26940,0.42993
9,1000,0.06786,0.73782,0.01094,0.66912,0.09520,0.60784,-0.28666,0.48574
10,1100,0.06696,0.68071,-0.00527,0.72664,0.09363,0.66085,-0.32268,0.49385
11,1200,0.06573,0.81777,0.01519,0.67905,0.09908,0.69528,-0.34104,0.49178
12,1300,0.06507,0.70221,0.02598,0.76192,0.07605,0.83333,-0.35553,0.54993
13,1400,0.07573,0.69860,0.01263,0.79247,0.08137,0.76400,-0.38978,0.53757
14,1500,0.05991,0.77372,0.01731,0.70571,0.07674,0.73809,-0.40450,0.58142
15,1600,0.06877,0.74049,0.03166,0.76621,0.09304,0.72814,-0.43597,0.56244
16,1700,0.05821,0.81689,0.03445,0.80987,0.07830,0.80502,-0.44537,0.58638
17,1800,0.05658,0.82976,0.00022,0.83360,0.06291,0.81342,-0.47579,0.55116
18,1900,0.05737,0.80579,0.01400,0.85476,0.06649,0.82087,-0.50532,0.68262
19,2000,0.04289,0.84151,0.01213,0.87229,0.06261,0.82233,-0.51031,0.62539
20,2100,0.02785,0.87803,0.03280,0.80999,0.05112,0.85444,-0.51366,0.70000
21,2200,0.03269,0.86038,0.02429,0.82096,0.06140,0.82463,-0.55540,0.61664
22,2300,0.03073,0.95685,0.04299,0.85511,0.05455,0.82679,-0.57149,0.72158
23,2400,0.02796,0.88579,0.01539,0.91530,0.04682,0.84090,-0.59675,0.67459
24,2500,0.03179,0.89547,0.01676,0.94993,0.01377,0.99183,-0.60396,0.73067
25,2600,0.02034,0.84583,-0.00885,0.91832,0.03172,0.85899,-0.61276,0.74697
26,2700,0.01469,0.92506,0.01034,0.88742,0.00803,0.86624,-0.64160,0.71353
27,2800,0.02490,0.84945,0.01333,0.92293,0.02242,0.94031,-0.63701,0.74325
28,2900,0.00260,0.83341,0.00837,0.92515,0.00165,0.99243,-0.65111,0.82511
29,3000,0.00181,0.90825,-0.00734,0.96392,-0.00110,0.90285,-0.66406,0.82585
30,3100,-0.00467,0.88706,0.01859,0.86984,-0.02398,1.01139,-0.65916,0.83865
31,3200,-0.00639,0.89054,-0.00345,0.88232,-0.03813,0.99875,-0.69040,0.75472
32,3300,-0.02003,0.98172,0.00930,1.01725,-0.01800,0.90301,-0.70274,0.83602
33,3400,-0.01259,0.97421,-0.00887,0.96591,-0.01784,0.90675,-0.72592,0.78832
34,3500,-0.02137,0.96355,-0.00458,0.96125,-0.02157,0.99778,-0.73028,0.81917
35,3600,-0.02611,0.99154,-0.02643,1.00176,-0.03293,0.96945,-0.75569,0.81709
36,3700,-0.03317,1.06865,-0.01905,0.99029,-0.04564,1.00832,-0.74034,0.84272
37,3800,-0.06071,1.03888,-0.00294,0.94368,-0.03470,1.01440,-0.76713,0.88283
38,3900,-0.03467,0.86863,-0.01283,0.95065,-0.03957,1.02173,-0.77174,0.86920
39,4000,-0.03635,0.99491,-0.02991,1.04833,-0.03989,0.97338,-0.80206,0.83398
40,4100,-0.07129,0.92692,-0.01629,1.02991,-0.02952,0.94279,-0.79577,0.89195
41,4200,-0.06931,0.94010,-0.02687,0.92255,-0.06230,1.05238,-0.79741,0.91159
42,4300,-0.04041,0.99036,-0.04132,1.01064,-0.04748,0.97028,-0.80612,0.88208
43,4400,-0.06046,1.07974,-0.05009,0.99539,-0.04257,0.99223,-0.79414,0.91001
44,4500,-0.06614,0.97821,-0.04303,1.03743,-0.06859,1.01372,-0.79242,0.90252
45,4600,-0.07286,1.06936,-0.05845,1.09293,-0.05831,0.98583,-0.79023,0.91220
46,4700,-0.08313,1.08149,-0.05644,1.14315,-0.05744,0.99030,-0.81624,0.91125
47,4800,-0.08496,1.02247,-0.06583,1.08059,-0.04178,1.00030,-0.81590,0.87744
48,4900,-0.09157,1.03431,-0.07388,1.08711,-0.05190,0.92433,-0.79578,0.90114
49,5000,-0.08558,1.05278,-0.05742,1.08643,-0.05717,1.05172,-0.84123,0.93450
50,5100,-0.08656,0.98761,-0.04739,1.02798,-0.08768,1.04460,-0.81738,0.91376
51,5200,-0.06046,1.07939,-0.07067,1.08240,-0.06891,1.00553,-0.81619,0.94853
52,5300,-0.11214,1.04657,-0.09105,1.13125,-0.06494,0.99345,-0.82861,0.90901
53,5400,-0.11055,1.04607,-0.08611,1.09483,-0.09233,1.11174,-0.81782,0.93680
54,5500,-0.10184,1.07211,-0.07458,1.12899,-0.07634,1.00045,-0.80009,0.93510
55,5600,-0.10897,1.09000,-0.09564,1.18908,-0.08229,1.06753,-0.81428,0.92292
56,5700,-0.11558,1.09409,-0.08581,1.12266,-0.06954,1.00128,-0.80126,0.95469
57,5800,-0.11268,1.05374,-0.08727,1.13324,-0.10029,1.10759,-0.82415,0.90494
58,5900,-0.13763,1.08857,-0.09178,1.10998,-0.08444,1.04174,-0.81613,1.00186
59,6000,-0.11912,1.03429,-0.08641,1.07143,-0.07082,1.00923,-0.79468,1.05412
60,6100,-0.12081,1.03638,-0.07676,1.01101,-0.08052,1.13242,-0.79615,0.96881
