iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
69,7000,1.09368,0.90711,1.05015,0.90462,1.16200,0.91080,1.05119,0.70863
70,7100,1.15253,0.90370,1.08512,0.90150,1.24332,0.90664,1.02740,0.70513
71,7200,1.14711,0.89962,1.19069,0.89703,1.19389,0.90259,1.02587,0.70156
72,7300,1.14563,0.89616,1.08217,0.89390,1.12320,0.90021,0.98309,0.69946
73,7400,1.14794,0.89333,1.11804,0.88961,1.10015,0.89650,1.03869,0.69536
74,7500,1.09012,0.88969,1.12266,0.88709,1.12681,0.89273,1.00766,0.69202
75,7600,1.13089,0.88619,1.21051,0.88350,1.20932,0.88910,1.01259,0.68842
76,7700,1.18001,0.88238,1.01512,0.88043,1.20010,0.88521,1.02338,0.68527
77,7800,1.09198,0.87959,1.13667,0.87657,1.08800,0.88202,1.03042,0.68202
78,7900,1.13262,0.87512,1.19298,0.87336,1.13793,0.87749,1.01328,0.67857
79,8000,1.20746,0.87302,1.12208,0.87051,1.11165,0.87368,0.98180,0.67530
80,8100,1.11207,0.86904,1.21167,0.86675,1.16889,0.86961,1.01615,0.67230
81,8200,1.18252,0.86566,1.09934,0.86359,1.11374,0.86677,1.04007,0.66861
82,8300,1.13654,0.86251,1.14545,0.85999,1.06862,0.86278,1.07211,0.66541
83,8400,1.13494,0.85932,1.14824,0.85640,1.20962,0.85926,1.04625,0.66231
84,8500,1.11589,0.85604,1.07319,0.85261,1.11325,0.85599,1.01476,0.65929
85,8600,1.10536,0.85203,1.22974,0.84939,1.13015,0.85232,1.01129,0.65483
86,8700,1.11374,0.84937,1.12778,0.84562,1.08881,0.84812,0.99302,0.65249
87,8800,1.09682,0.84526,1.07772,0.84264,1.14896,0.84514,1.04091,0.64900
88,8900,1.15101,0.84217,1.08641,0.83896,1.25080,0.84198,1.02087,0.64564
89,9000,1.07703,0.83858,1.09820,0.83699,1.13505,0.83820,0.99243,0.64337
90,9100,1.10508,0.83539,1.13408,0.83294,1.10850,0.83421,0.99467,0.63945
91,9200,1.13033,0.83156,1.16006,0.82912,1.15855,0.83144,0.98004,0.63591
92,9300,1.13683,0.82812,1.04607,0.82597,1.18267,0.82739,0.98513,0.63368
