iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-2.61292,3.46112,0.49646,-2.60062,3.43835,0.49438,-2.65438,3.52845,0.49658,-2.63134,3.46665,0.49896
1,200,-2.51212,1.78873,0.36188,-2.63680,1.83107,0.38193,-2.57839,1.78451,0.38121,-2.50955,1.84054,0.37198
2,300,-2.65085,2.07501,0.33900,-2.96003,1.91923,0.36924,-2.90449,1.88643,0.36610,-2.85503,1.78757,0.35899
3,400,-3.09322,2.06818,0.33473,-3.37382,2.01288,0.37208,-3.25085,1.83694,0.35608,-3.21790,1.43527,0.35942
4,500,-3.39215,2.02988,0.33777,-3.78913,1.96582,0.37153,-3.68647,2.08865,0.35995,-3.65681,1.49120,0.36153
5,600,-3.80126,2.04032,0.34155,-4.33492,2.03640,0.37316,-4.14943,2.03723,0.35871,-4.20713,1.42729,0.36124
6,700,-4.23066,1.97363,0.34178,-4.79686,1.96142,0.37469,-4.58972,1.98563,0.35854,-4.57575,1.48802,0.36054
7,800,-4.56894,1.86618,0.33746,-5.21878,1.99640,0.37510,-5.08231,1.90192,0.36315,-5.01445,1.65978,0.35757
8,900,-4.90970,1.89207,0.33566,-5.70630,1.94732,0.37454,-5.44813,1.98857,0.36416,-5.37674,1.66755,0.35805
9,1000,-5.25563,1.97077,0.32737,-6.04536,1.99738,0.37575,-5.83043,2.12730,0.36530,-5.83023,1.61601,0.35795
10,1100,-5.54798,2.08372,0.32894,-6.35929,2.04454,0.37547,-6.07695,2.16211,0.36215,-6.15219,1.62759,0.35525
11,1200,-5.88775,1.97004,0.32467,-6.80851,2.08477,0.37429,-6.53337,2.21348,0.36460,-6.58300,1.77410,0.36068
12,1300,-6.20990,2.00412,0.32123,-7.23323,1.99771,0.37526,-6.85811,2.09183,0.36345,-6.96258,1.78215,0.36078
13,1400,-6.42803,1.91476,0.31369,-7.55648,1.97990,0.37571,-7.21443,2.09946,0.36811,-7.34410,1.88042,0.36178
14,1500,-6.79195,2.06747,0.30983,-7.89114,1.99902,0.37276,-7.53840,2.03672,0.36619,-7.66063,1.75193,0.36158
