iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
33,3400,-8.30024,0.85291,0.15874,2.86545,-8.41272,1.10977,0.15854,2.86548,-8.36506,1.06755,0.15845,2.86434,-7.69229,0.98504,0.15896,2.86414
34,3500,-8.22381,1.54621,0.15350,2.86171,-8.36238,1.09969,0.15358,2.86098,-8.31641,1.16542,0.15330,2.85909,-7.57856,1.05294,0.15290,2.85984
35,3600,-8.14754,1.35032,0.14832,2.85674,-8.32134,1.37828,0.14832,2.85537,-8.25464,1.37009,0.14806,2.85541,-7.61450,1.10784,0.14844,2.85711
36,3700,-8.22089,1.36235,0.14317,2.85143,-8.23309,1.10326,0.14342,2.85271,-8.23355,0.90730,0.14329,2.85151,-7.63891,1.05832,0.14378,2.85094
37,3800,-8.10277,1.09912,0.13882,2.84737,-8.20300,1.40980,0.13915,2.84812,-8.15873,1.13443,0.13882,2.84703,-7.49778,1.19207,0.13906,2.84814
38,3900,-7.99907,1.18464,0.13485,2.84275,-8.12326,1.43518,0.13468,2.84336,-8.12070,1.21754,0.13467,2.84301,-7.67284,1.34186,0.13494,2.84222
39,4000,-7.96789,1.17186,0.13081,2.83903,-8.04600,1.00023,0.13057,2.84042,-8.04024,1.12862,0.13059,2.83869,-7.32448,1.12722,0.13117,2.83977
40,4100,-7.90522,1.03249,0.12744,2.83416,-8.05092,0.84787,0.12715,2.83582,-7.92279,1.11343,0.12741,2.83552,-7.38625,1.02064,0.12731,2.83364
41,4200,-7.81015,1.11574,0.12388,2.82985,-7.84055,0.99437,0.12430,2.82804,-7.89534,1.23615,0.12420,2.83065,-7.33202,1.04451,0.12408,2.82952
42,4300,-7.72409,1.14775,0.12112,2.82537,-7.81898,1.20927,0.12071,2.82377,-7.87826,0.87820,0.12059,2.82524,-7.28657,0.98051,0.12074,2.82455
43,4400,-7.64141,1.18051,0.11792,2.82052,-7.73488,0.89205,0.11836,2.82121,-7.75972,1.33549,0.11810,2.81972,-7.25276,0.83493,0.11805,2.82143
