iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value
126,12700,1.68280,0.18881,1.50725,0.18759
127,12800,1.72948,0.18690,1.46730,0.18530
128,12900,1.77484,0.18760,1.59471,0.18570
129,13000,1.76966,0.18823,1.59340,0.18680
130,13100,1.71294,0.18677,1.35739,0.18588
131,13200,1.77143,0.18530,1.60116,0.18539
132,13300,1.69979,0.18493,1.48998,0.18515
133,13400,1.70359,0.18529,1.50857,0.18512
134,13500,1.65113,0.18492,1.50461,0.18414
135,13600,1.76065,0.18433,1.57320,0.18478
136,13700,1.74369,0.18327,1.55536,0.18481
137,13800,1.61743,0.18638,1.47624,0.18365
138,13900,1.72477,0.18338,1.50830,0.18544
139,14000,1.67865,0.18415,1.63361,0.18390
140,14100,1.76458,0.18328,1.47737,0.18252
141,14200,1.73943,0.18333,1.45843,0.18359
142,14300,1.76637,0.18231,1.43382,0.18145
143,14400,1.73434,0.18135,1.44531,0.18158
144,14500,1.51127,0.18231,1.71520,0.18412
145,14600,1.80338,0.18282,1.58675,0.18349
146,14700,1.61293,0.18150,1.47900,0.18331
147,14800,1.59672,0.18270,1.56996,0.18214
148,14900,1.65680,0.18423,1.47414,0.18095
149,15000,1.72519,0.18179,1.46814,0.18251
150,15100,1.68078,0.18139,1.51023,0.18127
151,15200,1.70193,0.18191,1.52037,0.18214
152,15300,1.75820,0.18209,1.60124,0.18316
153,15400,1.67302,0.18121,1.52287,0.18347
154,15500,1.82770,0.18111,1.51966,0.18074
155,15600,1.55360,0.18244,1.55613,0.18201
156,15700,1.90998,0.18116,1.34462,0.18149
157,15800,1.69011,0.18138,1.53619,0.17998
158,15900,1.79486,0.17997,1.51794,0.18077
159,16000,1.75767,0.18072,1.48340,0.17979
160,16100,1.85044,0.18081,1.37169,0.17735
161,16200,1.69162,0.17962,1.48665,0.17952
162,16300,1.76038,0.17938,1.48457,0.18087
163,16400,1.78966,0.18242,1.42750,0.17978
164,16500,1.67714,0.18030,1.46584,0.18073
165,16600,1.74375,0.17837,1.52138,0.17989
166,16700,1.59339,0.17894,1.61645,0.17964
167,16800,1.79751,0.17918,1.62527,0.17771
168,16900,1.65882,0.18007,1.57951,0.17874
169,17000,1.73397,0.17987,1.47967,0.17946
170,17100,1.79437,0.17884,1.35494,0.17944
171,17200,1.74691,0.17796,1.59359,0.17888
172,17300,1.68213,0.18042,1.44131,0.18029
173,17400,1.62573,0.17877,1.44764,0.17902
174,17500,1.76773,0.18045,1.41295,0.17856
175,17600,1.52309,0.17891,1.52003,0.17811
176,17700,1.77198,0.17944,1.47298,0.18056
177,17800,1.90664,0.17926,1.50574,0.17923
178,17900,1.79757,0.17845,1.60931,0.17907
179,18000,1.72706,0.18131,1.45478,0.17983
180,18100,1.83184,0.17997,1.54385,0.17955
181,18200,1.65664,0.17993,1.48624,0.17824
182,18300,1.78511,0.17845,1.50181,0.17869
