iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
63,6400,-0.71249,1.06724,-0.31263,1.09294,-0.69186,0.67867,-0.50313,0.80208
64,6500,-0.68477,1.04344,-0.32128,0.92795,-0.66512,1.01659,-0.53813,0.79446
65,6600,-0.70162,1.30202,-0.31011,0.96967,-0.66932,0.88287,-0.53669,0.79813
66,6700,-0.68970,0.98292,-0.30144,0.98636,-0.62699,0.87532,-0.55759,0.78585
67,6800,-0.69063,1.06914,-0.29285,0.87152,-0.65764,1.29192,-0.58511,0.79651
68,6900,-0.68485,0.81791,-0.29832,0.87501,-0.62551,0.73638,-0.58868,0.81324
69,7000,-0.65279,0.80891,-0.30498,1.43234,-0.61442,0.87951,-0.61367,0.79954
70,7100,-0.64898,1.31010,-0.29643,0.83841,-0.59111,0.79590,-0.60298,0.80590
71,7200,-0.64453,1.07747,-0.28075,0.80290,-0.60343,0.81973,-0.61591,0.82367
72,7300,-0.64061,0.89455,-0.29085,0.92502,-0.58267,0.80801,-0.60703,0.79857
73,7400,-0.64083,0.94245,-0.25074,1.12077,-0.58026,1.67923,-0.60197,0.86775
74,7500,-0.63690,1.00322,-0.27013,0.88681,-0.58760,1.09973,-0.62223,0.83220
75,7600,-0.60520,1.01590,-0.28555,1.29722,-0.57411,0.83931,-0.63522,0.79736
76,7700,-0.60570,0.86504,-0.26513,0.93943,-0.57086,0.85087,-0.62329,0.79954
77,7800,-0.59631,0.72598,-0.27501,0.84928,-0.56206,0.87643,-0.61625,0.81020
78,7900,-0.60247,1.00639,-0.26454,1.34091,-0.53987,0.86796,-0.60566,0.85770
79,8000,-0.59892,0.98271,-0.27683,1.34736,-0.53961,0.74137,-0.59250,0.81984
80,8100,-0.59305,1.04981,-0.24776,0.79955,-0.54641,0.86564,-0.64040,0.78242
81,8200,-0.58698,0.84375,-0.23719,0.75832,-0.53556,1.05665,-0.62386,0.82588
82,8300,-0.58339,1.12236,-0.23639,0.90084,-0.52002,0.97677,-0.61123,0.82013
83,8400,-0.59255,0.93160,-0.26953,1.20926,-0.52257,0.82164,-0.62835,0.79937
84,8500,-0.53938,0.92978,-0.25751,0.82898,-0.52388,1.38100,-0.64472,0.79136
85,8600,-0.55030,0.85771,-0.28360,1.17457,-0.52543,1.04622,-0.67880,0.75884
86,8700,-0.56345,1.18623,-0.26470,1.18990,-0.53234,1.06101,-0.66726,0.82593
87,8800,-0.54392,0.97572,-0.23449,0.93022,-0.49973,1.13396,-0.65079,0.90028
88,8900,-0.57087,1.19804,-0.25120,1.06880,-0.49270,0.69071,-0.66390,0.83428
89,9000,-0.55160,0.88655,-0.27633,1.19812,-0.50289,0.90978,-0.65987,0.84867
90,9100,-0.53549,0.91148,-0.25616,1.01620,-0.48419,0.95920,-0.67400,0.79940
91,9200,-0.51641,0.89462,-0.24567,1.00053,-0.49694,0.95060,-0.66939,0.78131
92,9300,-0.52828,0.98041,-0.25086,0.91832,-0.48965,0.90849,-0.68328,0.79345
93,9400,-0.55942,1.07359,-0.25829,1.26119,-0.48165,1.17778,-0.67077,0.77702
94,9500,-0.53590,1.11525,-0.26875,0.93129,-0.47439,0.82808,-0.66188,0.84285
95,9600,-0.53454,1.01016,-0.25111,0.93588,-0.47182,1.00055,-0.67088,0.83296
